Date,Open,High,Low,Close,Volume
2008-8-1,0.026,0.0262,0.0258,0.0259,2529
2008-8-4,0.0259,0.0259,0.0258,0.0259,4325
2008-8-5,0.0258,0.0259,0.0258,0.0258,3047
2008-8-6,0.0258,0.0259,0.0257,0.0257,8675
2008-8-7,0.0259,0.026,0.0257,0.0259,4665
2008-8-8,0.0259,0.026,0.0257,0.0259,11726
2008-8-11,0.0258,0.026,0.0258,0.0259,2508
2008-8-12,0.0259,0.0261,0.0259,0.026,2188
2008-8-13,0.026,0.0261,0.0259,0.026,2871
2008-8-14,0.0259,0.0262,0.0259,0.026,5041
2008-8-15,0.026,0.0261,0.026,0.0261,3616
2008-8-18,0.026,0.0262,0.026,0.0261,726
2008-8-19,0.026,0.0262,0.026,0.0261,4924
2008-8-20,0.026,0.0261,0.026,0.0261,3714
2008-8-21,0.026,0.0261,0.026,0.026,3264
2008-8-22,0.026,0.0262,0.026,0.0261,7084
2008-8-25,0.026,0.0262,0.0259,0.026,5464
2008-8-26,0.0259,0.0261,0.0257,0.0257,2485
2008-8-27,0.0257,0.0259,0.0257,0.0258,2232
2008-8-28,0.0258,0.026,0.0258,0.0258,513
2008-8-29,0.0258,0.026,0.0257,0.0257,3558
2008-9-1,0.0259,0.0259,0.0258,0.0258,2121
2008-9-2,0.0258,0.026,0.0258,0.0258,2993
2008-9-3,0.0258,0.026,0.0256,0.0257,11894
2008-9-4,0.0257,0.0261,0.0257,0.026,6303
2008-9-5,0.0259,0.0261,0.0258,0.0259,7915
2008-9-8,0.0259,0.0261,0.0259,0.026,4868
2008-9-9,0.0259,0.026,0.0259,0.0259,7831
2008-9-10,0.0259,0.0261,0.0258,0.026,17005
2008-9-11,0.0258,0.0262,0.0257,0.0261,6909
2008-9-12,0.0261,0.0262,0.0249,0.026,10151
2008-9-15,0.0257,0.026,0.0257,0.0259,12599
2008-9-16,0.0258,0.026,0.0257,0.0257,14878
2008-9-17,0.0256,0.0258,0.0232,0.0236,14595
2008-9-19,0.0244,0.0254,0.024,0.025,3054
2008-9-22,0.0256,0.0257,0.0251,0.0255,2110
2008-9-23,0.025,0.0258,0.025,0.0254,5093
2008-9-24,0.0253,0.0257,0.0253,0.0254,2559
2008-9-25,0.0252,0.0257,0.0251,0.0253,6495
2008-9-26,0.0252,0.0254,0.0248,0.0249,8862
2008-9-29,0.0246,0.025,0.0244,0.025,1384
2008-9-30,0.024,0.0251,0.0233,0.0246,1221
2008-10-1,0.025,0.025,0.0241,0.0243,1083
2008-10-2,0.0243,0.0255,0.0243,0.0251,3571
2008-10-3,0.0245,0.0257,0.0245,0.0255,5096
2008-10-6,0.025,0.0253,0.0242,0.0246,17440
2008-10-7,0.0243,0.0247,0.0232,0.0237,10352
2008-10-8,0.0231,0.0231,0.0222,0.023,250
2008-10-9,0.0246,0.0246,0.0234,0.0236,24547
2008-10-13,0.0231,0.0233,0.0165,0.0165,16353
2008-10-14,0.0165,0.0165,0.0121,0.0121,96
2008-10-15,0.015,0.017,0.0105,0.0112,23450
2008-10-17,0.0105,0.011,0.0079,0.009,526
2008-10-20,0.009,0.0114,0.0087,0.011,1319
2008-10-21,0.0114,0.0139,0.0111,0.0129,437
2008-10-22,0.0133,0.015,0.011,0.014,1399
2008-10-23,0.0132,0.015,0.0126,0.014,546
2008-10-24,0.0132,0.0132,0.0105,0.0106,100
2008-10-28,0.013,0.013,0.0082,0.01,273
2008-10-29,0.0108,0.0119,0.0087,0.0099,894
2008-10-30,0.0109,0.0114,0.01,0.01,174
2008-10-31,0.0106,0.0121,0.0082,0.0105,942
2008-11-1,0.0098,0.0111,0.0098,0.0107,96
2008-11-5,0.0112,0.0119,0.0101,0.0104,204
2008-11-6,0.01,0.0117,0.01,0.0104,254
2008-11-7,0.0111,0.0111,0.0097,0.0108,151
2008-11-10,0.011,0.011,0.0093,0.0097,543
2008-11-11,0.0092,0.0097,0.0087,0.0087,224
2008-11-13,0.0089,0.0095,0.008,0.0091,169
2008-11-14,0.0103,0.0103,0.0082,0.0089,242
2008-11-17,0.0084,0.0095,0.0075,0.0084,306
2008-11-18,0.0076,0.008,0.0066,0.0077,115
2008-11-19,0.0082,0.0082,0.0065,0.0069,154
2008-11-20,0.0074,0.0074,0.0054,0.0057,223
2008-11-24,0.0074,0.0074,0.0074,0.0074,1
2008-11-26,0.0074,0.0074,0.0057,0.0067,1162
2008-11-27,0.0067,0.0068,0.0063,0.0066,1317
2008-11-28,0.0066,0.0068,0.006,0.0062,593
2008-12-1,0.0062,0.0064,0.0058,0.0062,565
2008-12-2,0.0058,0.0079,0.0058,0.007,1887
2008-12-3,0.0066,0.0084,0.0066,0.0079,1394
2008-12-4,0.0079,0.0095,0.0078,0.0086,685
2008-12-5,0.0089,0.0104,0.0082,0.0101,1520
2008-12-8,0.0108,0.0115,0.01,0.0109,2888
2008-12-9,0.011,0.011,0.0096,0.0102,1891
2008-12-10,0.0104,0.0108,0.0083,0.0096,904
2008-12-11,0.0095,0.0097,0.008,0.0089,2415
2008-12-12,0.0085,0.0085,0.0078,0.0081,620
2008-12-15,0.0091,0.0091,0.0076,0.008,778
2008-12-16,0.0076,0.008,0.0069,0.0075,893
2008-12-17,0.0078,0.0078,0.0067,0.007,999
2008-12-18,0.0069,0.0071,0.0063,0.0067,2685
2008-12-19,0.0076,0.0076,0.0062,0.0066,1601
2008-12-22,0.0067,0.0073,0.0064,0.0065,1445
2008-12-23,0.0065,0.0075,0.0063,0.0067,4848
2008-12-24,0.0068,0.0069,0.0064,0.0067,3371
2008-12-25,0.0064,0.0071,0.0062,0.0068,5063
2008-12-26,0.0068,0.0069,0.0065,0.0067,3402
2008-12-29,0.0067,0.0073,0.0065,0.0069,3091
2008-12-30,0.0069,0.0073,0.0067,0.0068,2248
2008-12-31,0.007,0.007,0.0068,0.0069,555
2009-1-11,0.007,0.007,0.0068,0.007,344
2009-1-12,0.0068,0.0072,0.0068,0.007,3978
2009-1-13,0.007,0.0071,0.0068,0.0069,1305
2009-1-14,0.0071,0.0071,0.0065,0.0067,1931
2009-1-15,0.0068,0.0068,0.0064,0.0067,413
2009-1-16,0.0064,0.0069,0.0063,0.0068,15519
2009-1-19,0.0067,0.0067,0.0063,0.0066,328
2009-1-20,0.0075,0.0075,0.0061,0.0064,578
2009-1-21,0.0068,0.0068,0.006,0.006,681
2009-1-22,0.0071,0.0071,0.0056,0.0058,699
2009-1-23,0.0058,0.0058,0.0051,0.0053,246
2009-1-26,0.0057,0.0057,0.005,0.0053,967
2009-1-27,0.0057,0.0057,0.005,0.0052,716
2009-1-28,0.0051,0.0051,0.0048,0.005,835
2009-1-29,0.0051,0.0051,0.0046,0.0049,1337
2009-1-30,0.0047,0.0048,0.0046,0.0047,1215
2009-2-2,0.0047,0.0048,0.0043,0.0045,3388
2009-2-3,0.0045,0.0046,0.0043,0.0044,412
2009-2-4,0.0044,0.0045,0.0039,0.0041,1904
2009-2-5,0.004,0.0045,0.0036,0.0041,8225
2009-2-6,0.004,0.0044,0.0039,0.0041,461
2009-2-9,0.0041,0.0045,0.0039,0.0042,1548
2009-2-10,0.0042,0.0049,0.0042,0.0048,2449
2009-2-11,0.0046,0.0049,0.0045,0.0048,1451
2009-2-12,0.0048,0.0049,0.0045,0.0046,512
2009-2-13,0.0047,0.0048,0.0043,0.0044,2882
2009-2-16,0.0045,0.0046,0.0042,0.0044,1106
2009-2-17,0.0043,0.0043,0.004,0.0042,856
2009-2-18,0.0041,0.0042,0.0037,0.004,580
2009-2-19,0.0039,0.004,0.0037,0.004,3707
2009-2-20,0.004,0.004,0.0037,0.0038,734
2009-2-24,0.0038,0.0038,0.0037,0.0038,246
2009-2-25,0.0039,0.0044,0.0037,0.0042,7172
2009-2-26,0.0042,0.0043,0.0039,0.0042,2902
2009-2-27,0.004,0.0048,0.0039,0.0043,15872
2009-3-2,0.0043,0.0046,0.0041,0.0042,5143
2009-3-3,0.0045,0.0045,0.0041,0.0043,971
2009-3-4,0.0041,0.0043,0.0041,0.0043,1192
2009-3-5,0.0041,0.0043,0.0039,0.0041,3888
2009-3-6,0.0041,0.0041,0.004,0.0041,126
2009-3-10,0.0043,0.0044,0.0041,0.0041,2651
2009-3-11,0.0041,0.0043,0.0041,0.0041,227
2009-3-12,0.0042,0.0042,0.0039,0.004,1260
2009-3-13,0.0041,0.0041,0.0039,0.0039,1162
2009-3-16,0.0039,0.004,0.0039,0.004,1345
2009-3-17,0.0039,0.0043,0.0039,0.0041,7141
2009-3-18,0.0042,0.0045,0.0041,0.0042,5267
2009-3-19,0.0044,0.0045,0.0042,0.0043,3635
2009-3-20,0.004,0.0047,0.004,0.0047,4701
2009-3-23,0.0047,0.0055,0.0047,0.0055,5405
