Date,Open,High,Low,Close,Volume
2007-3-27,0.0335,0.0335,0.029,0.0299,1881
2007-3-28,0.0294,0.0296,0.0285,0.0291,520
2007-3-29,0.029,0.0296,0.0284,0.0288,334
2007-3-30,0.0288,0.0298,0.0285,0.0286,785
2007-4-2,0.029,0.029,0.0279,0.0289,350
2007-4-3,0.029,0.029,0.0278,0.0284,432
2007-4-4,0.0282,0.0287,0.0281,0.0287,134
2007-4-5,0.0288,0.0288,0.0283,0.0286,163
2007-4-6,0.0287,0.0287,0.0274,0.028,329
2007-4-9,0.0281,0.0286,0.0278,0.0286,386
2007-4-10,0.0281,0.0284,0.0278,0.0281,48
2007-4-11,0.0289,0.0289,0.0274,0.0278,1225
2007-4-12,0.0271,0.028,0.027,0.0277,160
2007-4-13,0.0275,0.028,0.0247,0.0275,162
2007-4-16,0.0276,0.0276,0.027,0.0272,34
2007-4-17,0.0273,0.0273,0.0263,0.0269,130
2007-4-18,0.0266,0.03,0.0259,0.0279,624
2007-4-19,0.0273,0.0276,0.0271,0.0271,116
2007-4-20,0.0277,0.0278,0.0264,0.027,80
2007-4-23,0.0273,0.0274,0.027,0.0272,14
2007-4-24,0.027,0.0271,0.0264,0.0269,70
2007-4-25,0.0267,0.0268,0.026,0.0266,149
2007-4-26,0.0267,0.0271,0.0253,0.0261,315
2007-4-27,0.0263,0.0263,0.0255,0.0257,223
2007-4-28,0.0251,0.026,0.0251,0.0259,37
2007-5-2,0.0257,0.0257,0.0251,0.0252,124
2007-5-3,0.026,0.026,0.025,0.0252,52
2007-5-4,0.025,0.0257,0.0242,0.0249,65
2007-5-7,0.0247,0.0249,0.024,0.0247,54
2007-5-8,0.0247,0.0247,0.0242,0.0245,45
2007-5-10,0.024,0.0245,0.0235,0.024,14
2007-5-11,0.0235,0.0238,0.0221,0.0227,177
2007-5-14,0.0231,0.0236,0.023,0.0235,75
2007-5-15,0.0233,0.0236,0.023,0.0236,423
2007-5-16,0.0238,0.0239,0.0232,0.0239,82
2007-5-17,0.0237,0.0237,0.0228,0.0232,152
2007-5-18,0.0225,0.0236,0.0225,0.0235,10
2007-5-21,0.0227,0.0238,0.0227,0.0235,26
2007-5-22,0.0235,0.0237,0.0233,0.0236,3
2007-5-23,0.0236,0.0236,0.0218,0.0232,180
2007-5-24,0.0216,0.023,0.0214,0.0227,223
2007-5-25,0.021,0.0219,0.021,0.0218,159
2007-5-28,0.0223,0.0223,0.0215,0.0219,2
2007-5-29,0.0217,0.0217,0.0208,0.0214,186
2007-5-30,0.0203,0.021,0.02,0.021,95
2007-5-31,0.021,0.0218,0.021,0.0215,109
2007-6-1,0.021,0.0219,0.0207,0.0217,194
2007-6-4,0.0218,0.0218,0.0216,0.0218,0
2007-6-5,0.0215,0.0218,0.0214,0.0218,28
2007-6-6,0.0214,0.0215,0.021,0.0215,47
2007-6-7,0.0215,0.022,0.021,0.0211,258
2007-6-8,0.0211,0.0225,0.0211,0.0225,355
2007-6-9,0.0225,0.0227,0.0218,0.0224,80
2007-6-13,0.0224,0.0227,0.0217,0.0227,122
2007-6-14,0.0229,0.023,0.0221,0.023,72
2007-6-15,0.0225,0.023,0.022,0.0227,100
2007-6-18,0.022,0.023,0.0217,0.022,117
2007-6-19,0.0225,0.0229,0.0205,0.0221,147
2007-6-20,0.0221,0.0228,0.0221,0.0228,254
2007-6-21,0.022,0.023,0.021,0.0223,206
2007-6-22,0.0215,0.0224,0.0206,0.0224,90
2007-6-25,0.0223,0.0223,0.0217,0.0217,113
2007-6-26,0.0222,0.0222,0.0215,0.0216,16
2007-6-27,0.0216,0.022,0.0215,0.0216,345
2007-6-28,0.0223,0.0223,0.0216,0.0219,12
2007-6-29,0.0219,0.0223,0.0213,0.0215,140
2007-7-2,0.0217,0.022,0.0215,0.0216,116
2007-7-3,0.0216,0.0218,0.0215,0.0216,37
2007-7-4,0.0215,0.022,0.0205,0.0216,88
2007-7-5,0.0233,0.0233,0.0215,0.0219,22
2007-7-6,0.0222,0.0222,0.0217,0.022,32
2007-7-9,0.0221,0.0221,0.0218,0.022,79
2007-7-10,0.022,0.022,0.0216,0.022,73
2007-7-11,0.0222,0.0222,0.0217,0.0218,4
2007-7-12,0.0217,0.0219,0.0212,0.0219,24
2007-7-13,0.0234,0.0234,0.0216,0.0216,0
2007-7-16,0.022,0.022,0.0214,0.0214,26
2007-7-17,0.0218,0.0221,0.0213,0.0221,187
2007-7-18,0.0216,0.0222,0.0216,0.0219,75
2007-7-19,0.0224,0.0224,0.0216,0.022,68
2007-7-20,0.0224,0.0224,0.0215,0.0215,33
2007-7-23,0.0212,0.0215,0.0211,0.0214,61
2007-7-24,0.0237,0.0237,0.0212,0.0218,19
2007-7-25,0.0215,0.0215,0.0209,0.021,175
2007-7-26,0.0228,0.0228,0.0201,0.0204,292
2007-7-27,0.0204,0.0208,0.0199,0.0206,22
2007-7-30,0.0223,0.0223,0.0198,0.0205,48
2007-7-31,0.0221,0.0221,0.02,0.0204,31
2007-8-1,0.0221,0.0221,0.0196,0.0202,48
2007-8-2,0.022,0.022,0.0201,0.0207,66
2007-8-3,0.0226,0.0226,0.02,0.0206,24
2007-8-6,0.0222,0.0222,0.0202,0.0209,148
2007-8-7,0.0225,0.0225,0.0206,0.0209,2
2007-8-8,0.0225,0.0225,0.0202,0.021,492
2007-8-9,0.0228,0.0228,0.0202,0.0206,104
2007-8-10,0.021,0.021,0.0196,0.0203,85
2007-8-13,0.0225,0.0225,0.0196,0.0205,13
2007-8-14,0.0223,0.0223,0.0197,0.0201,132
2007-8-15,0.0222,0.0222,0.0196,0.0199,53
2007-8-16,0.0196,0.0205,0.0183,0.0195,16
2007-8-17,0.0196,0.0196,0.0182,0.019,220
2007-8-20,0.0193,0.0207,0.0193,0.0196,24
2007-8-21,0.0207,0.0207,0.0188,0.0193,3
2007-8-22,0.0188,0.0192,0.0182,0.0189,12
2007-8-23,0.0185,0.0189,0.0185,0.0189,0
2007-8-24,0.0185,0.0185,0.0181,0.0182,155
2007-8-27,0.0182,0.0185,0.0182,0.0185,11
2007-8-28,0.0185,0.0185,0.0182,0.0182,0
2007-8-29,0.018,0.0181,0.0166,0.018,53
2007-8-30,0.0184,0.0184,0.0161,0.0165,87
2007-8-31,0.0169,0.018,0.0169,0.018,127
2007-9-3,0.0173,0.0177,0.017,0.0175,314
2007-9-4,0.017,0.0173,0.0167,0.0172,8
2007-9-5,0.0174,0.0174,0.017,0.0173,12
2007-9-6,0.0175,0.0175,0.0168,0.0171,16
2007-9-7,0.0173,0.0173,0.0169,0.0172,2
2007-9-10,0.0168,0.017,0.0165,0.017,18
2007-9-11,0.0166,0.0169,0.0165,0.0167,55
2007-9-12,0.0165,0.0165,0.0164,0.0165,12
2007-9-13,0.0161,0.0167,0.016,0.0166,26
2007-9-14,0.0161,0.0168,0.0161,0.0166,1
2007-9-17,0.0161,0.0165,0.015,0.016,376
2007-9-18,0.016,0.0164,0.016,0.0162,16
2007-9-19,0.0156,0.0162,0.0156,0.016,31
2007-9-20,0.0157,0.0161,0.015,0.0159,60
2007-9-21,0.0159,0.0159,0.0155,0.0159,10
2007-9-24,0.0159,0.0161,0.0155,0.0161,35
2007-9-25,0.0159,0.0159,0.0155,0.0159,2
2007-9-26,0.0165,0.0165,0.015,0.0159,42
2007-9-27,0.0156,0.0159,0.0148,0.0152,82
2007-9-28,0.0154,0.0154,0.0145,0.0151,113
2007-10-1,0.0156,0.0157,0.0144,0.0148,101
2007-10-2,0.0151,0.0157,0.0145,0.0154,138
2007-10-3,0.0155,0.0155,0.015,0.015,980
2007-10-4,0.0151,0.0157,0.0151,0.0155,44
2007-10-5,0.0157,0.0163,0.0157,0.0163,333
2007-10-8,0.0158,0.0162,0.0158,0.0161,267
2007-10-9,0.016,0.0163,0.016,0.0163,74
2007-10-10,0.0151,0.017,0.0151,0.0166,231
2007-10-11,0.0169,0.0169,0.0163,0.0168,74
2007-10-12,0.0153,0.0166,0.0148,0.0162,150
2007-10-15,0.015,0.0168,0.015,0.0167,514
2007-10-16,0.0165,0.0166,0.0161,0.0165,246
2007-10-17,0.0165,0.0168,0.0161,0.0168,171
2007-10-18,0.0166,0.017,0.016,0.017,279
