Date,Open,High,Low,Close,Volume
2007-4-13,0.0115,0.0133,0.0114,0.0128,301
2007-4-16,0.0134,0.0134,0.0119,0.0119,116
2007-4-17,0.0119,0.0121,0.0117,0.012,120
2007-4-18,0.0129,0.0129,0.0113,0.0115,414
2007-4-19,0.0115,0.0115,0.011,0.0113,129
2007-4-20,0.0113,0.0115,0.0109,0.0111,236
2007-4-23,0.012,0.012,0.0106,0.0107,259
2007-4-24,0.0107,0.0109,0.0105,0.0109,286
2007-4-25,0.0104,0.0111,0.0104,0.0109,114
2007-4-26,0.0109,0.0115,0.0108,0.011,410
2007-4-27,0.0106,0.0113,0.0105,0.0108,98
2007-4-28,0.0107,0.0111,0.0105,0.0111,197
2007-5-2,0.011,0.0112,0.0106,0.0111,247
2007-5-3,0.0111,0.0111,0.0107,0.0108,65
2007-5-4,0.0107,0.0112,0.0106,0.011,129
2007-5-7,0.0111,0.0111,0.0109,0.0109,67
2007-5-8,0.0108,0.0109,0.0103,0.0104,278
2007-5-10,0.0105,0.0105,0.0095,0.0097,1147
2007-5-11,0.0097,0.0098,0.0094,0.0095,169
2007-5-14,0.0096,0.0097,0.0087,0.0094,604
2007-5-15,0.0097,0.0097,0.0091,0.0095,99
2007-5-16,0.0095,0.0095,0.0092,0.0094,106
2007-5-17,0.0093,0.0096,0.0089,0.0092,145
2007-5-18,0.0092,0.0092,0.0089,0.009,215
2007-5-21,0.009,0.0093,0.009,0.0092,133
2007-5-22,0.0091,0.0091,0.009,0.0091,57
2007-5-23,0.0091,0.0091,0.0086,0.0088,119
2007-5-24,0.0089,0.0089,0.0083,0.0086,253
2007-5-25,0.0086,0.0088,0.0083,0.0088,596
2007-5-28,0.0088,0.0095,0.0085,0.0088,764
2007-5-29,0.0093,0.0093,0.0087,0.0088,261
2007-5-30,0.0087,0.0088,0.0084,0.0087,235
2007-5-31,0.0087,0.0092,0.0087,0.0091,685
2007-6-1,0.0089,0.0093,0.0089,0.0093,428
2007-6-4,0.0092,0.0093,0.0091,0.0092,97
2007-6-5,0.0092,0.0095,0.0092,0.0095,455
2007-6-6,0.0095,0.0097,0.0092,0.0095,428
2007-6-7,0.0095,0.0103,0.0093,0.0101,990
2007-6-8,0.01,0.0104,0.0096,0.0104,758
2007-6-9,0.0104,0.0122,0.01,0.012,1601
2007-6-13,0.012,0.0135,0.0119,0.0122,1311
2007-6-14,0.0123,0.0126,0.012,0.0122,252
2007-6-15,0.0123,0.0123,0.0116,0.0119,464
2007-6-18,0.0117,0.0119,0.0113,0.0118,180
2007-6-19,0.0117,0.0122,0.0117,0.012,141
2007-6-20,0.012,0.0122,0.0118,0.0121,138
2007-6-21,0.012,0.0121,0.0117,0.0117,79
2007-6-22,0.0119,0.0119,0.0113,0.0114,167
2007-6-25,0.0115,0.0115,0.0107,0.0108,436
2007-6-26,0.0109,0.011,0.0103,0.0106,351
2007-6-27,0.0105,0.0106,0.0102,0.0104,699
2007-6-28,0.0104,0.0105,0.0103,0.0103,112
2007-6-29,0.0105,0.0105,0.0102,0.0104,475
2007-7-2,0.0104,0.0104,0.01,0.0102,524
2007-7-3,0.0101,0.0105,0.0096,0.0103,907
2007-7-4,0.0103,0.0105,0.0102,0.0103,184
2007-7-5,0.0103,0.0107,0.01,0.0102,1106
2007-7-6,0.0102,0.0103,0.01,0.0102,207
2007-7-9,0.0102,0.0103,0.01,0.0101,462
2007-7-10,0.0102,0.0102,0.01,0.0101,178
2007-7-11,0.0101,0.0101,0.0099,0.01,138
2007-7-12,0.01,0.0101,0.0098,0.01,134
2007-7-13,0.01,0.01,0.0097,0.0099,203
2007-7-16,0.0099,0.01,0.0099,0.01,151
2007-7-17,0.0099,0.01,0.0098,0.0099,284
