Date,Open,High,Low,Close,Volume
2015-6-17,1185,1272.5,1100,1245,9084
2015-6-18,1250,1290,1250,1271,1023
2015-6-19,1277,1350,1277,1350,387
2015-6-22,1295,1295,1226.5,1268.5,1681
2015-6-23,1242,1259,1225,1245,3232
2015-6-24,1220,1279,1210,1260,3545
2015-6-25,1235.5,1299,1200,1299,3045
2015-6-26,1277,1320,1277,1300,685
2015-6-29,1290.5,1339.5,1290.5,1314.5,285
2015-6-30,1302,1344,1291,1344,1116
2015-7-1,1320,1340,1300.5,1340,410
2015-7-2,1329.5,1329.5,1315,1328,95
2015-7-3,1300.5,1445,1300,1445,1955
2015-7-6,1349.5,1349.5,1300,1339.5,7794
2015-7-7,1305,1332.5,1300,1332.5,1226
2015-7-8,1303,1314.5,1280,1314.5,2607
2015-7-9,1287.5,1310,1283.5,1310,1068
2015-7-10,1290.5,1310,1290,1310,58
2015-7-13,1300,1300,1278,1285,267
2015-7-14,1298,1299,1270,1297,160
2015-7-15,1290,1299.5,1290,1290,58
2015-7-16,1290,1300,1285,1300,144
2015-7-17,1299,1319.5,1299,1319.5,25
2015-7-20,1310,1310,1301.5,1305.5,33
2015-7-21,1309.5,1309.5,1300.5,1300.5,48
2015-7-22,1339,1339,1320.5,1320.5,114
2015-7-23,1310,1310,1260,1289,7364
2015-7-24,1256,1310,1256,1300,2924
2015-7-27,1290,1290,1285.5,1285.5,1020
2015-7-28,1300,1305,1300,1305,84
2015-7-29,1311,1325,1300,1305,309
2015-7-30,1315,1315,1285,1315,1048
2015-7-31,1318,1320,1318,1320,300
2015-8-3,1338,1338,1285,1290,234
2015-8-4,1314.5,1314.5,1290,1300,629
2015-8-5,1305,1305,1285,1300,847
2015-8-6,1300,1310,1300,1310,162
2015-8-7,1310,1320,1307,1320,287
2015-8-10,1312,1339,1305,1339,141
2015-8-11,1321.5,1330,1320,1330,669
2015-8-12,1330,1330,1320,1320,105
2015-8-13,1320,1320.5,1310,1320,451
2015-8-14,1320,1337,1310,1337,844
2015-8-17,1320,1320,1320,1320,375
2015-8-18,1315,1315,1310,1310,30
2015-8-19,1310.5,1325,1310.5,1325,203
2015-8-20,1310.5,1310.5,1300.5,1300.5,571
2015-8-21,1305,1305,1305,1305,100
2015-8-24,1300,1334.5,1300,1334.5,421
2015-8-25,1325,1325,1325,1325,1
2015-8-26,1303,1303,1303,1303,800
2015-8-28,1305,1305,1305,1305,7
2015-8-31,1305,1305,1300,1300,540
2015-9-1,1305,1305,1305,1305,1
2015-9-2,1305.5,1305.5,1305,1305,1647
2015-9-4,1320,1320,1305,1305,337
2015-9-7,1339,1339,1312,1338.5,16
2015-9-8,1315,1315,1315,1315,261
2015-9-9,1335,1339.5,1335,1339.5,1401
2015-9-11,1320,1353.5,1320,1353.5,1572
2015-9-14,1327,1330,1327,1330,356
2015-9-15,1330,1330,1327,1327,405
2015-9-16,1340,1340,1340,1340,455
2015-9-17,1340,1353,1340,1353,365
2015-9-18,1350,1353,1347,1347,1029
2015-9-21,1347,1353,1347,1348,2217
2015-9-22,1347,1354,1347,1354,89
2015-9-23,1354,1387,1354,1387,628
2015-9-24,1355,1397.5,1355,1397.5,6
2015-9-25,1385,1385,1358.5,1358.5,9
2015-9-28,1370,1413,1370,1413,705
2015-9-29,1410,1410,1385,1400,131
2015-9-30,1410,1410,1410,1410,50
2015-10-1,1420.5,1421.5,1420.5,1421,10
2015-10-5,1415,1415,1415,1415,250
2015-10-6,1417.5,1451,1417.5,1451,342
2015-10-7,1449.5,1450,1449.5,1450,105
2015-10-8,1451,1451,1451,1451,72
2015-10-13,1425,1425,1425,1425,39
2015-10-14,1427,1427,1427,1427,289
2015-10-15,1452,1464.5,1452,1464.5,106
2015-10-16,1432,1470,1432,1470,101
2015-10-19,1434,1470,1433.5,1470,200
2015-10-21,1474.5,1474.5,1436,1436,111
2015-10-22,1435.5,1450,1435,1450,3025
2015-10-23,1455,1474.5,1455,1474.5,1165
2015-10-26,1455,1455,1455,1455,1113
2015-10-27,1455,1456,1445,1445,98
2015-10-28,1460,1460,1443.5,1447,911
2015-10-29,1469,1469,1469,1469,5
2015-10-30,1437,1455,1434.5,1455,640
2015-11-2,1470,1500,1465,1495,20
2015-11-3,1480,1490,1480,1490,3
2015-11-5,1475,1475,1465,1470,53
2015-11-6,1465,1480,1465,1480,3929
2015-11-9,1495,1495,1465,1480,88
2015-11-10,1465,1485,1455,1485,80
2015-11-11,1470,1490,1460,1490,6
2015-11-16,1460,1480,1460,1480,2752
2015-11-17,1470,1475,1465,1465,155
2015-11-18,1465,1480,1450,1450,5070
2015-11-19,1455,1455,1455,1455,439
2015-11-23,1470,1470,1460,1460,7
2015-11-24,1465,1465,1460,1460,20
2015-11-26,1490,1495,1465,1465,64
2015-11-27,1465,1465,1465,1465,60
2015-11-30,1465,1490,1460,1490,6
2015-12-1,1495,1495,1495,1495,3
2015-12-7,1495,1495,1460,1460,41
2015-12-8,1465,1465,1465,1465,136
2015-12-9,1470,1495,1470,1490,1021
2015-12-10,1465,1485,1465,1465,3251
2015-12-14,1465,1465,1465,1465,103
2015-12-15,1470,1470,1470,1470,1
2015-12-16,1485,1485,1485,1485,82
2015-12-18,1485,1485,1485,1485,120
2015-12-21,1485,1485,1485,1485,131
2015-12-23,1485,1485,1470,1485,108
2015-12-24,1485,1485,1485,1485,77
2015-12-25,1470,1470,1470,1470,15
2015-12-28,1480,1485,1480,1480,133
2015-12-29,1475,1485,1475,1485,27
2015-12-30,1485,1495,1485,1495,1002
2016-1-4,1475,1475,1465,1465,29
2016-1-5,1485,1490,1465,1490,11
2016-1-6,1480,1480,1480,1480,10
2016-1-11,1480,1495,1475,1475,58
2016-1-12,1480,1500,1475,1495,65
2016-1-13,1500,1500,1500,1500,2
2016-1-14,1475,1475,1475,1475,4
2016-1-15,1475,1475,1475,1475,33
2016-1-18,1460,1500,1445,1500,921
2016-1-19,1475,1475,1465,1465,52
2016-1-20,1475,1475,1465,1465,69
2016-1-21,1470,1470,1445,1470,99
2016-1-22,1495,1495,1470,1470,17
2016-1-25,1470,1470,1465,1465,26
2016-1-26,1475,1485,1460,1460,64
2016-1-27,1475,1475,1460,1460,71
2016-1-28,1470,1470,1465,1465,48
