Date,Open,High,Low,Close,Volume
2005-12-29,0.4,0.4,0.3,0.4,11
2006-1-10,0.07,0.45,0.07,0.45,0
2006-1-11,0.35,0.36,0.35,0.36,1
2006-1-13,0.3,0.35,0.3,0.31,4
2006-1-16,0.32,0.39,0.32,0.35,30
2006-1-17,0.35,0.35,0.35,0.35,0
2006-1-18,0.37,0.37,0.37,0.37,0
2006-1-20,0.36,0.36,0.28,0.29,63
2006-1-23,0.33,0.33,0.33,0.33,0
2006-1-24,0.33,0.33,0.15,0.33,10
2006-1-26,0.33,0.33,0.33,0.33,23
2006-1-27,0.3,0.3,0.3,0.3,1
2006-1-31,0.26,0.28,0.22,0.26,12
2006-2-1,0.25,0.3,0.23,0.27,11
2006-2-3,0.3,0.3,0.3,0.3,1
2006-2-6,0.3,0.3,0.3,0.3,0
2006-2-7,0.29,0.29,0.29,0.29,4
2006-2-10,0.23,0.3,0.23,0.3,19
2006-2-13,0.28,0.31,0.02,0.31,1527
2006-2-17,0.03,0.03,0.03,0.03,0
2006-2-20,0.03,0.03,0.03,0.03,0
2006-3-1,0.03,0.03,0.03,0.03,0
2006-3-7,0.3,0.55,0.3,0.51,380
2006-3-9,0.52,0.52,0.46,0.46,143
2006-3-10,0.49,0.49,0.47,0.47,90
2006-3-13,0.49,0.49,0.47,0.47,94
2006-3-14,0.47,0.48,0.47,0.48,105
2006-3-15,0.48,0.55,0.47,0.5,383
2006-3-16,0.52,0.53,0.5,0.5,911
2006-3-17,0.5,0.52,0.5,0.51,37
2006-3-20,0.5,0.5,0.48,0.5,49
2006-3-21,0.5,0.52,0.48,0.51,122
2006-3-22,0.49,0.52,0.49,0.51,58
2006-3-23,0.49,0.51,0.48,0.5,17
2006-3-24,0.51,0.51,0.51,0.51,0
2006-3-27,0.51,0.51,0.48,0.48,248
2006-3-28,0.5,1.5,0.48,0.66,760
2006-3-29,0.6,0.69,0.55,0.58,50
2006-3-30,0.6,0.6,0.49,0.52,36
2006-3-31,0.52,0.52,0.52,0.52,2
2006-4-3,0.52,0.55,0.52,0.53,10
2006-4-4,0.52,0.53,0.49,0.52,102
2006-4-5,0.48,0.52,0.48,0.5,2
2006-4-6,0.48,0.52,0.48,0.52,19
2006-4-7,0.5,0.51,0.49,0.5,101
2006-4-10,0.5,0.51,0.5,0.51,51
2006-4-11,0.5,0.52,0.5,0.51,31
