Date,Open,High,Low,Close,Volume
2006-1-17,0.29,0.32,0.29,0.31,5
2006-1-18,0.31,0.31,0.3,0.31,1
2006-1-19,0.35,0.35,0.32,0.32,0
2006-1-26,0.37,0.37,0.37,0.37,0
2006-2-13,0.28,0.28,0.28,0.28,1
2006-2-16,0.3,0.3,0.29,0.29,151
2006-2-17,0.31,0.39,0.29,0.39,270
2006-2-20,0.39,0.55,0.39,0.53,3
2006-2-21,0.39,0.71,0.39,0.57,5
2006-2-22,0.39,0.55,0.39,0.5,345
2006-2-26,0.5,0.51,0.5,0.5,100
2006-2-28,0.48,0.5,0.48,0.5,1
2006-3-1,0.5,0.5,0.5,0.5,0
2006-3-3,0.5,0.51,0.5,0.5,0
2006-3-6,0.48,0.5,0.47,0.47,260
2006-3-7,0.46,0.47,0.46,0.46,1
2006-3-9,0.47,0.47,0.47,0.47,1
2006-3-17,0.4,0.4,0.4,0.4,0
2006-3-20,0.47,0.47,0.47,0.47,1
2006-3-21,0.47,0.47,0.47,0.47,1
2006-3-28,0.45,0.54,0.44,0.51,47
2006-3-29,0.46,0.52,0.46,0.48,7
2006-3-30,0.5,0.5,0.46,0.48,3
2006-3-31,0.48,0.49,0.48,0.49,0
2006-4-3,0.49,0.49,0.33,0.49,0
2006-4-4,0.48,0.51,0.48,0.51,106
2006-4-5,0.49,0.49,0.49,0.49,0
2006-4-6,0.5,0.5,0.5,0.5,0
2006-4-7,0.5,0.5,0.5,0.5,0
2006-4-10,0.5,0.5,0.48,0.5,0
2006-4-11,0.5,0.5,0.46,0.48,1
2006-4-12,0.49,0.49,0.47,0.47,114
2006-4-13,0.48,0.48,0.47,0.47,33
2006-4-14,0.49,0.49,0.48,0.48,0
2006-4-17,0.49,0.49,0.49,0.49,0
2006-4-19,0.47,0.47,0.47,0.47,3
2006-4-21,0.47,0.47,0.47,0.47,0
2006-4-24,0.498,0.498,0.498,0.498,0
2006-4-25,0.498,0.498,0.498,0.498,0
2006-4-26,0.498,0.498,0.498,0.498,0
2006-4-27,0.42,0.497,0.42,0.497,0
2006-4-28,0.496,0.496,0.496,0.496,0
2006-5-18,0.44,0.44,0.44,0.44,0
2006-5-19,0.499,0.499,0.44,0.44,0
2006-5-29,0.4,0.4,0.4,0.4,0
2006-6-1,0.47,0.47,0.47,0.47,0
2006-6-2,0.47,0.47,0.47,0.47,0
2006-6-28,0.45,0.45,0.45,0.45,0
2006-6-30,0.431,0.431,0.43,0.43,0
2006-7-7,0.421,0.421,0.415,0.42,1
2006-7-10,0.44,0.44,0.44,0.44,0
2006-7-12,0.4,0.45,0.37,0.45,12
2006-8-3,0.311,0.311,0.311,0.311,0
2006-8-11,0.317,0.365,0.315,0.365,320
2006-8-14,0.325,0.36,0.325,0.36,650
2006-8-15,0.365,0.365,0.365,0.365,506
2006-9-4,0.425,0.425,0.42,0.42,10
2006-9-5,0.475,0.479,0.475,0.475,140
2006-9-6,0.426,0.426,0.35,0.426,600
2006-9-8,0.43,0.46,0.43,0.46,8
2006-9-11,0.42,0.42,0.42,0.42,0
2006-9-12,0.425,0.435,0.425,0.435,1
2006-9-13,0.441,0.441,0.441,0.441,0
2006-9-14,0.45,0.47,0.45,0.47,0
2006-9-15,0.43,0.44,0.43,0.43,2
2006-9-18,0.443,0.452,0.443,0.452,8
2006-9-19,0.45,0.473,0.45,0.472,8
2006-9-21,0.467,0.467,0.467,0.467,0
2006-9-25,0.44,0.44,0.44,0.44,11
2006-9-28,0.473,0.473,0.473,0.473,0
2006-9-29,0.473,0.473,0.473,0.473,0
2006-10-4,0.45,0.473,0.45,0.473,11
2006-10-5,0.473,0.473,0.473,0.473,0
2006-10-6,0.473,0.473,0.473,0.473,0
2006-10-9,0.401,0.403,0.346,0.403,0
2006-10-10,0.419,0.47,0.415,0.415,31
2006-10-11,0.421,0.475,0.35,0.474,1029
2006-10-12,0.477,0.477,0.47,0.47,50
2006-10-13,0.474,0.477,0.47,0.477,43
2006-10-16,0.47,0.47,0.47,0.47,3
2006-10-17,0.475,0.479,0.43,0.479,39
2006-10-18,0.477,0.477,0.477,0.477,14
2006-10-19,0.477,0.477,0.477,0.477,0
2006-10-20,0.477,0.477,0.477,0.477,1
2006-10-23,0.477,0.477,0.477,0.477,0
2006-10-24,0.477,0.477,0.477,0.477,0
2006-10-25,0.477,0.477,0.477,0.477,0
2006-10-26,0.477,0.597,0.477,0.564,34
2006-10-27,0.477,0.637,0.477,0.59,13
2006-10-30,0.477,0.477,0.477,0.477,0
2006-10-31,0.477,0.57,0.477,0.569,71
2006-11-1,0.55,0.579,0.55,0.579,3
2006-11-2,0.583,0.583,0.583,0.583,0
2006-11-3,0.577,0.59,0.577,0.587,40
2006-11-9,0.55,0.59,0.55,0.59,6
2006-11-10,0.587,0.609,0.587,0.609,112
2006-11-13,0.57,0.581,0.56,0.58,52
2006-11-14,0.57,0.57,0.57,0.57,28
2006-11-15,0.59,0.59,0.59,0.59,0
2006-11-16,0.59,0.61,0.585,0.59,50
2006-11-17,0.6,0.61,0.6,0.61,4
2006-11-22,0.561,0.599,0.561,0.567,2
2006-11-23,0.546,0.61,0.545,0.61,8
2006-11-24,0.59,0.59,0.59,0.59,0
2006-11-27,0.587,0.587,0.587,0.587,3
2006-11-28,0.6,0.68,0.6,0.63,31
2006-11-29,0.6,0.665,0.6,0.631,59
2006-11-30,0.61,0.63,0.601,0.63,0
2006-12-4,0.602,0.65,0.6,0.649,71
2006-12-5,0.65,0.65,0.65,0.65,34
2006-12-6,0.63,0.63,0.63,0.63,23
2006-12-7,0.62,0.67,0.62,0.67,18
2006-12-12,0.67,0.67,0.61,0.67,135
2006-12-13,0.632,0.64,0.62,0.64,41
2006-12-14,0.63,0.63,0.63,0.63,0
2006-12-15,0.65,0.67,0.65,0.664,3
2006-12-20,0.67,0.67,0.65,0.65,5
2006-12-25,0.65,0.66,0.65,0.66,0
