Date,Open,High,Low,Close,Volume
2010-11-12,2800,2850,2500,2549,1188
2010-11-13,2700,3000,2430,2580,1102
2010-11-15,2600,2700.01,2460.1,2500,837
2010-11-16,2500.01,2500.01,2400,2500,387
2010-11-17,2499.93,2499.93,2350,2440,470
2010-11-18,2460,2525,2445,2500,192
2010-11-19,2500.01,2602,2480,2602,327
2010-11-22,2603,2609.99,2569.31,2595,130
2010-11-23,2569.31,2569.31,2401.53,2518.68,247
2010-11-24,2519.99,2533,2500,2533,64
2010-11-25,2543.87,3499.99,2543.87,2585.03,1718
2010-11-26,2600,2870,2550,2669,870
2010-11-29,2690,2710,2630,2655,563
2010-11-30,2654.72,2700,2600,2628.44,530
2010-12-1,2649,2980,2605,2798.91,1371
2010-12-2,2799.99,3500,2799.99,3143.99,2423
2010-12-3,3100,3100,2910,3004.99,1378
2010-12-6,3082.88,3100,2949,2951,1005
2010-12-7,2952,3350,2952,2975,2048
2010-12-8,2975,3015.95,2925,3015.94,551
2010-12-9,3010,3017,2951.35,2998,135
2010-12-10,2999.99,2999.99,2998.8,2998.8,25
2010-12-13,3000,3000,2940,2940,121
2010-12-14,2940,2963.36,2800,2937.97,784
2010-12-15,2850.01,2940,2850,2929.99,315
2010-12-16,2929.28,2929.28,2850,2925,288
2010-12-17,2860,2929,2810.11,2896,564
2010-12-20,2880,2908,2820,2908,581
2010-12-21,2860.01,2899.99,2860,2899.99,232
2010-12-22,2850,2918.99,2840,2900.02,377
2010-12-23,2855,3040,2820,2890,682
2010-12-24,2860,2939,2845,2900,380
2010-12-27,2855,2895,2820,2895,288
2010-12-28,2860,2895,2815,2895,451
2010-12-29,3200,3200,2825,2825.02,75
2010-12-30,2889,2980,2700,2850,822
2011-1-11,2850,3024,2800.01,3000,418
2011-1-12,2925.06,3000,2925,3000,192
2011-1-13,3024.5,3099.99,2930,3050,11110
2011-1-14,2970.24,2999.98,2931,2986.79,342
2011-1-17,2942.01,2969,2941.01,2945,36
2011-1-18,2969.9,2969.9,2860,2929.88,466
2011-1-19,2943.59,2949.9,2865,2949.9,102
2011-1-20,2954,2954,2900,2927.99,83
2011-1-21,2900.01,2948.99,2900.01,2946,17
2011-1-24,2901.06,2939.9,2901.04,2939.9,57
2011-1-25,2910.01,2924,2910.01,2924,20
2011-1-26,2880.01,2947.9,2880,2929.99,414
2011-1-27,2945,2947,2851.11,2946,104
2011-1-28,2910,2934,2900,2928.77,74
2011-1-31,2900.01,2938.13,2900,2924.76,30
2011-2-1,2910.01,3039.95,2910,2966.42,364
2011-2-2,3080,3295,3000,3100.01,1119
2011-2-3,3150,3300,3100,3194.99,1858
2011-2-4,3198.99,3290,3165,3248.99,241
2011-2-7,3200,3298,3150,3200,1449
2011-2-8,3150.29,3250,3052.01,3210.85,622
2011-2-9,3150.01,3228.63,3006.01,3149.9,220
2011-2-10,3020.21,3120,2910,3000,1702
2011-2-11,3051,3096.99,2995,3000,470
2011-2-14,3011,3098.95,2950,2998.98,105
2011-2-15,2998.87,2998.99,2843.51,2899.99,595
2011-2-16,3375,3375,2910.04,2939.98,97
2011-2-17,2950,2970,2950,2969.98,72
2011-2-18,2970,2970,2920,2939.99,300
