Date,Open,High,Low,Close,Volume
2007-4-17,265.3,265.3,230,232,1178
2007-4-18,235,260,229.03,230.9,1673
2007-4-19,237.87,237.87,223,224,592
2007-4-20,230,236.46,215.1,232,271
2007-4-23,232.5,235,231.53,231.53,10
2007-4-24,232,236.78,231.85,236.78,20
2007-4-25,234.97,235,229.4,231.98,31
2007-4-26,230,236,230,236,27
2007-4-27,231.24,235.7,231.24,232.5,12
2007-4-28,236,236,236,236,23
2007-5-2,238.5,238.5,238.49,238.5,3
2007-5-3,238.8,239.53,238.8,239.53,175
2007-5-4,240,240,239.1,239.1,8
2007-5-7,237.02,240.42,234.49,234.49,105
2007-5-8,240,240.11,234.18,238.99,197
2007-5-10,239.83,239.83,239.83,239.83,16
2007-5-11,235.3,235.5,230,230,54
2007-5-14,235.5,235.8,235.5,235.5,6
2007-5-15,235.35,235.35,233,235.35,90
2007-5-16,240,240,231.5,235,450
2007-5-17,235.01,240,232,234.21,195
2007-5-18,231,236.35,206.35,230,10
2007-5-22,235.9,236,234,235.9,20
2007-5-23,236,236,234.26,234.26,3
2007-5-28,232.99,232.99,232.99,232.99,0
2007-5-29,234.31,234.31,234.29,234.29,11
2007-5-30,234.42,235,234.42,234.42,190
2007-6-1,234,234,232.97,234,8
2007-6-4,231.79,236.95,231.79,236.95,13
2007-6-5,236.91,236.91,236,236.7,3
2007-6-6,235,235,235,235,22
2007-6-8,235.1,235.1,235.1,235.1,0
2007-6-9,235,236,231,236,4
2007-6-13,230.51,231.01,230.05,231,18
2007-6-14,235,235,229.17,229.2,132
2007-6-15,231.81,231.81,229.1,231.81,499
2007-6-18,231.68,235.95,231.68,233.82,55
2007-6-19,231,232,231,232,88
2007-6-20,241,243.7,240.55,243.7,66
2007-6-21,243.8,243.8,243.6,243.6,45
2007-6-26,241.35,241.35,240.87,240.87,111
2007-6-27,239.73,239.73,239.73,239.73,0
2007-6-28,240.37,241.1,240.37,241.1,504
2007-7-2,237.5,237.5,237.5,237.5,0
2007-7-3,255,260,238.19,238.19,323
2007-7-4,237.33,237.33,237.33,237.33,20
2007-7-5,246.97,246.98,246.92,246.98,1
2007-7-6,240,241.33,238,241.33,1127
2007-7-9,249.99,259.99,239.29,244.33,604
2007-7-10,243.49,249.4,243.49,247,602
2007-7-11,250,255,246.32,255,371
2007-7-12,259.32,268,253,268,275
2007-7-13,261.54,261.78,261.54,261.77,90
2007-7-16,261.63,300,261.6,290,50
2007-7-17,289,290,265,267.46,581
2007-7-18,266,266,258.38,263.47,481
2007-7-19,262.03,270,261,262,202
2007-7-20,260.71,269.98,236,268,84
2007-7-23,261.76,272,258,272,553
2007-7-24,265.03,275,261.47,267,615
2007-7-25,261.58,261.58,261.57,261.58,112
2007-7-26,269.89,269.89,259.8,260,12
2007-7-27,258,262.63,257.02,262,59
2007-7-30,256.3,256.3,250,250,728
2007-7-31,263.63,263.63,257,257,505
2007-8-1,249.06,255.45,249.06,250.33,93
2007-8-2,255,260,252,252,25
2007-8-3,250.83,250.83,250.83,250.83,64
2007-8-6,248.91,248.91,242.77,243,55
2007-8-7,245,259.99,240,247.9,347
2007-8-8,248.08,253,248.08,252.99,95
2007-8-9,252.99,259.5,247,247,2726
2007-8-10,249.9,259.5,236.12,237,4383
2007-8-13,251,259,238,243,1685
2007-8-14,254,254,239.1,242.99,3547
2007-8-15,239,243,232.34,233,1561
2007-8-16,236.9,258,230,234.32,5403
2007-8-17,231.64,231.64,227,229.07,407
2007-8-20,237,238.99,220,223.01,964
2007-8-21,222.65,232,218.01,223.9,4622
2007-8-22,224.99,227.98,217,226.9,6098
2007-8-23,222.1,222.99,221.03,221.03,749
2007-8-24,225.46,236,219.01,222,1842
2007-8-27,225,229,220,229,523
2007-8-28,221,222.3,219.5,222.3,1393
2007-8-29,220.01,235,220.01,231.01,2174
2007-8-30,228.2,233,228.2,230,40
2007-8-31,245,275,228,247,1419
2007-9-3,265.77,270,238.02,241.4,244
2007-9-4,241,263.18,240,242.5,759
2007-9-5,240,259,236.01,254.58,3885
2007-9-6,254.1,254.5,248.2,254.4,636
2007-9-7,253.12,258.99,253,255.01,1319
2007-9-10,247.8,250.9,247.8,250.89,393
2007-9-11,247.01,258.91,247.01,252,1108
2007-9-12,251.01,256.99,243.6,247.75,380
2007-9-13,242.13,247.64,242.13,247.63,105
2007-9-14,247.2,248.64,247.2,248.5,302
2007-9-17,251.89,252.99,240.36,245,1206
2007-9-18,245.77,252.95,237.01,241,529
2007-9-19,245.79,251.95,241.43,250.9,1477
2007-9-20,245.33,252.55,245.33,251,699
2007-9-21,247.19,265,245,259.59,2849
2007-9-24,261.01,261.46,257.01,261.46,62
2007-9-25,261.98,262,251.01,256.26,637
