Date,Open,High,Low,Close,Volume
2006-2-13,68900,69050,67000,68500,1260
2006-2-14,68935,69800,67100,69100,3303
2006-2-15,68502.01,69880,68100,69000,2145
2006-2-16,68850.01,72900,68500,72650,2543
2006-2-17,73229,73600,72785,73294,3034
2006-2-20,73500,74650,73405,74500,2518
2006-2-21,75000,75100,72100,72700,2682
2006-2-22,72405,73380,72000,72950,2798
2006-2-26,73897,74550,73000,73200.09,1488
2006-2-27,73000,73499.99,71502,72300,2108
2006-2-28,71900,72500,68600,68600,1649
2006-3-1,69500,70500,66500.01,67499.99,2967
2006-3-2,68400,69900,67300,67601,3093
2006-3-3,68950,69600,68000,68650,1772
2006-3-6,68999,70777,67200,67623.42,2852
2006-3-7,67010,68400,62511,64000,5285
2006-3-9,63445,63900,62000,63290,3393
2006-3-10,63900,63900,59100.1,60229.99,3867
2006-3-13,61800,63289,61205,62392.68,4205
2006-3-14,65000,65000,60013,60850,2879
2006-3-15,62000,62300,60439.5,61050,1428
2006-3-16,61100.13,62100,60600,60899.99,1487
2006-3-17,61500,63000,61200,62450,1543
2006-3-20,62335,63500,61300,62198,1598
2006-3-21,65330.5,65330.5,61000.02,62000,1374
2006-3-22,62499.5,64838,61800,64375.15,3664
2006-3-23,65000,67777,64610,67493,3883
2006-3-24,67800,67800,58121.01,60843.82,15428
2006-3-27,61550,64920,60500.04,60984.99,7347
2006-3-28,60992.5,63699,60106.01,63000,3842
2006-3-29,63050,63050,61300.01,61980,2137
2006-3-30,62700,64000,62207,63566.51,2337
2006-3-31,63600,63600,61900.05,63500,3385
2006-4-3,63250,63776.98,62145,62400,1831
2006-4-4,65009.5,65009.5,61999,62000,2503
2006-4-5,61995,62600,61600,62000.01,2049
2006-4-6,62600,63300.01,61700,61900,2039
2006-4-7,62299,64499,61900,64100,3126
2006-4-10,64285,65960,63500,65500,3784
2006-4-11,65861,67000,62960,63999,2405
2006-4-12,63350,64899.94,62800,64608.13,1039
2006-4-13,64350,65200,62850,63470,2182
2006-4-14,63849,63849,62400,63250,1185
2006-4-17,63002.03,64500,63002.02,64301,892
2006-4-18,64500,64799.99,63400.01,63421,761
2006-4-19,63900,64180,63250,63998.9,3502
2006-4-20,64299.98,64299.98,62300,62700,2023
2006-4-21,62400,62700,61200,61520,2179
2006-4-24,61685,61699.99,59261,59640.3,3028
2006-4-25,59601,59601,57600,57999,5326
2006-4-26,57975.5,62999.98,57975.5,61499,4979
2006-4-27,61535,63000,58150.01,58900,5863
2006-4-28,59085,60199,58630,59689.99,2018
2006-5-2,59775,60885.99,59010.01,59502,2868
2006-5-3,60000,60797.99,59700,59955.85,2482
2006-5-4,60197,60593,59011,59800,2173
2006-5-5,59700,59797.99,54155.01,55800,10628
2006-9-15,57000,57000,53000,53550,4674
2006-9-18,53700,54390,53100,53300,3416
2006-9-19,53889.99,53889.99,52200,52748,1569
2006-9-20,52399,52500,50800.01,51000,2805
2006-9-21,50800,51485,50055,50300,1049
2006-9-22,50495,50495,46801.02,47650,1531
2006-9-25,47500.5,47500.5,43212,44500,1746
2006-9-26,45000,46445,45000,45950,1146
2006-9-27,46498,48398,46150,48350,3686
2006-9-28,49999,50000,47750.06,49009.6,3876
2006-9-29,48400.01,51900,48400,51900,4027
2006-10-2,51500,52600,50800,51450,2542
2006-10-3,51399.5,53898.99,50115,52400,8622
2006-10-4,51115,53800,51101.02,53455,1160
2006-10-5,54800,57749.95,53999,57293.17,6056
2006-10-6,57200,58700,56801.01,58024.33,2910
2006-10-9,58050,58500,57515.11,58400,2855
2006-10-10,58949,60000,58400,59200,2736
2006-10-11,59350,59350,57250,58150,1635
2006-10-12,57945,58750,57500,57701.01,682
2006-10-13,58373,59700,58000,59538.42,1650
2006-10-16,59899.99,60850,58700,60250,1588
2006-10-17,60250,60899.98,59000,59600,2344
2006-10-18,61539.98,61539.98,59380,60240,1370
2006-10-19,59995,60000,59450,59989,355
2006-10-20,59525,60250,59100,59100,1430
2006-10-23,58800,59400,58500,59305,941
2006-10-24,58800,59805,58270,59600,454
2006-10-25,59495,60199.99,59025.02,60100,881
2006-10-26,60050,60730,59511.01,59585,1851
2006-10-27,59320,59999,57801.2,58222.12,1441
2006-10-30,58000,58000,56150,56150.01,2539
2006-10-31,56007,56899.98,56000,56500,1412
2006-11-1,56800,57500,56401.01,57500,1178
2006-11-2,56515,57500,56250,56730,677
2006-11-3,56216.06,57455,56216.06,56800,823
2006-11-7,57003,59490,57000.01,58933.69,4144
2006-11-8,59100,59749,58401.03,58999,1721
2006-11-9,59850,61650,59255,61644,8098
2006-11-10,61499,61999.97,60600,61800,2120
2006-11-13,59855,64975,59855,64000,6824
2006-11-14,64850,64866.21,63101.02,63350,1786
2006-11-15,66250,66250,63500.01,64499.01,1819
2006-11-16,64030.15,67840,63850.01,67250,6153
2006-11-17,65005.5,67670,64850,65758.45,8614
2006-11-20,65850,66500,64260,65298.99,3455
2006-11-21,65690,65950,64005,64500,2391
2006-11-22,64656,65699.99,64600,64600.01,1636
2006-11-23,64800,65400,64300,64690,1440
2006-11-24,64350,64695,63200.01,63340,1419
2006-11-27,63454.01,63898,62500,62600,2009
2006-11-28,62301,62993.99,61605,62020,1540
2006-11-29,62500.01,63311,62001,63311,2693
2006-11-30,64500,64500,63000,63057.49,3767
2006-12-1,63640.22,64290,63000,63399.98,3307
2006-12-4,63605,64200,63500,63650.9,1805
2006-12-5,64100,64100,61760,62300,2925
2006-12-6,62300.02,63300,62000,62200,2140
2006-12-7,62725,64700,61700.01,63810,6873
2006-12-8,64000.31,64399,63300,63950,1103
2006-12-11,63570,63940,62850,63300,1336
2006-12-12,63301,63370,61900,62200,1997
2006-12-13,61800,62397,60500,61997,2423
2006-12-14,62000,62800,61300.01,61940,1123
2006-12-15,62490,62650,61600,61700,1108
2006-12-18,61990,62000,60511,60751,1322
2006-12-19,60500,60500,58500.1,59250,2760
2006-12-20,59445.52,60777,59250,60300,2205
2006-12-21,60000,60000,58777,59150,1346
2006-12-22,59150,59800,58300,58580,3217
2006-12-25,58940,58948.95,58150,58250,609
2006-12-26,58500.01,58500.01,58000,58230,753
2006-12-27,58450,59180,58210,58999.99,1279
2006-12-28,59099.49,60400,58550,59999.99,2444
2006-12-29,59900,60230,59900,59951,6760
2007-1-9,57000,58880,54102,55000,2336
2007-1-10,55830.01,59900,53821,58715,4317
2007-1-11,58757.5,59490,57450,58210,3137
2007-1-12,57998,58000,56800,57200,2251
2007-1-15,58280.5,60500,58020.01,60250.5,2323
2007-1-16,60000,62250,59100,59800,4695
2007-1-17,59750,60489.94,57505.02,57999.99,2872
2007-1-18,59500,59800,57481.34,57505,1876
2007-1-19,57500,57985,56812,57760.36,1206
2007-1-22,58995,59000,57200,58475.75,2428
2007-1-23,58000,59400,58000,59250,1174
2007-1-24,60650,62500,59500,61586.18,5180
2007-1-25,62050,64190,61600.01,63700,7183
2007-1-26,63665,64990.9,62000,62500,3849
2007-1-29,62525,63599,61000,61212,2696
2007-1-30,61184,62900,60750,62250,1801
2007-1-31,62500,63500,62077.01,62518.26,2092
2007-2-1,63523.23,64000,62810,64000,4689
2007-2-2,64000,64439.6,63350,63600,2517
2007-2-5,63800.5,64600,63400,64501,1802
2007-2-6,64100,66500,64000,65400,6772
2007-2-7,65500,66340,64600,65700,5245
2007-2-8,65000,65005,63590.21,64000,2705
2007-2-9,64993,65997,64200,64492.85,1854
2007-2-12,63999,64289,62030,62500,1547
2007-2-13,62499,63390,60901,63200,2911
2007-2-14,63500,63800,62600,62987.06,1207
2007-2-15,62800,63275,61800,61800,1817
