Date,Open,High,Low,Close,Volume
2008-8-1,0.213,0.224,0.208,0.216,38
2008-8-4,0.216,0.216,0.209,0.215,12
2008-8-5,0.212,0.213,0.206,0.213,50
2008-8-6,0.206,0.216,0.206,0.216,6
2008-8-7,0.21,0.218,0.21,0.218,0
2008-8-8,0.219,0.219,0.199,0.211,142
2008-8-11,0.201,0.21,0.181,0.209,88
2008-8-12,0.21,0.214,0.2,0.214,32
2008-8-13,0.211,0.212,0.201,0.206,58
2008-8-14,0.197,0.211,0.192,0.208,539
2008-8-15,0.207,0.207,0.202,0.202,217
2008-8-18,0.207,0.207,0.206,0.207,1
2008-8-19,0.196,0.2,0.195,0.199,18
2008-8-20,0.202,0.202,0.2,0.201,60
2008-8-21,0.2,0.2,0.2,0.2,0
2008-8-22,0.204,0.204,0.191,0.196,57
2008-8-25,0.192,0.201,0.188,0.199,0
2008-8-26,0.201,0.201,0.179,0.18,4
2008-8-27,0.198,0.198,0.185,0.19,1
2008-8-28,0.199,0.199,0.192,0.195,3
2008-8-29,0.186,0.202,0.186,0.194,12
2008-9-1,0.202,0.202,0.188,0.195,8
2008-9-2,0.2,0.2,0.195,0.196,14
2008-9-3,0.198,0.198,0.193,0.193,4
2008-9-4,0.195,0.2,0.188,0.189,8
2008-9-5,0.18,0.19,0.15,0.188,98
2008-9-8,0.188,0.205,0.175,0.177,13
2008-9-9,0.175,0.181,0.175,0.177,105
2008-9-10,0.24,0.24,0.165,0.172,110
2008-9-11,0.196,0.196,0.15,0.159,49
2008-9-12,0.166,0.177,0.166,0.171,37
2008-9-15,0.204,0.204,0.15,0.17,62
2008-9-16,0.153,0.168,0.106,0.11,405
2008-9-17,0.14,0.14,0.095,0.095,141
2008-9-19,0.127,0.155,0.127,0.155,449
2008-9-22,0.173,0.173,0.14,0.16,55
2008-9-23,0.165,0.165,0.149,0.158,30
2008-9-24,0.156,0.167,0.148,0.16,224
2008-9-25,0.167,0.17,0.145,0.15,217
2008-9-26,0.152,0.162,0.144,0.162,43
2008-9-29,0.162,0.162,0.12,0.125,953
2008-9-30,0.127,0.144,0.114,0.139,192
2008-10-1,0.157,0.157,0.128,0.13,72
2008-10-2,0.138,0.138,0.115,0.117,523
2008-10-3,0.129,0.129,0.102,0.114,51
2008-10-6,0.126,0.126,0.09,0.09,630
2008-10-7,0.091,0.099,0.089,0.094,38
2008-10-8,0.107,0.107,0.076,0.09,310
2008-10-9,0.097,0.099,0.088,0.097,115
2008-10-13,0.107,0.12,0.088,0.094,142
2008-10-14,0.105,0.11,0.088,0.097,118
2008-10-15,0.105,0.105,0.094,0.098,551
2008-10-16,0.104,0.104,0.091,0.1,200
2008-10-17,0.105,0.105,0.093,0.098,343
2008-10-20,0.103,0.103,0.091,0.095,100
2008-10-21,0.091,0.1,0.087,0.099,1110
2008-10-22,0.099,0.1,0.096,0.096,51
2008-10-23,0.096,0.098,0.09,0.09,695
2008-10-24,0.093,0.094,0.079,0.09,135
2008-10-28,0.086,0.096,0.077,0.081,806
2008-10-29,0.082,0.09,0.08,0.081,34
2008-10-30,0.084,0.092,0.077,0.082,613
2008-10-31,0.08,0.084,0.079,0.081,338
2008-11-1,0.088,0.088,0.078,0.081,174
2008-11-5,0.082,0.088,0.078,0.078,820
2008-11-6,0.079,0.079,0.068,0.07,1823
2008-11-7,0.07,0.072,0.066,0.07,422
2008-11-10,0.072,0.072,0.059,0.062,1186
2008-11-11,0.06,0.063,0.054,0.054,533
2008-11-13,0.056,0.056,0.033,0.047,4607
2008-11-17,0.045,0.054,0.038,0.047,1608
2008-11-18,0.047,0.047,0.036,0.045,852
