Date,Open,High,Low,Close,Volume
2008-9-12,340,350,340,350,2
2008-9-26,400,400,400,400,0
2008-10-1,333.2,333.2,333.2,333.2,0
2008-10-31,333.2,333.2,333.2,333.2,0
2008-11-6,333.2,333.2,333.2,333.2,0
2009-1-19,199.92,199.92,199.92,199.92,0
2009-3-19,119.95,119.95,119.95,119.95,2
2009-3-20,72,72,71.97,71.97,43
2009-3-23,71.97,71.97,43.18,43.18,60
2009-3-24,26,60.45,25.99,53,222
2009-3-25,51.75,65,51.75,65,114
2009-3-26,80,89.98,60,89.98,88
2009-3-27,70,82.43,70,70.12,1
2009-3-30,89.96,98.17,70,71,33
2009-3-31,71,79,71,79,90
2009-4-1,75,78.99,75,78.99,45
2009-4-2,79.05,79.05,50.02,77,3
2009-4-6,65.65,76.99,62.5,76.99,11
2009-4-9,65.5,65.5,65.45,65.45,1
2009-4-10,65.45,75,65.44,75,19
2009-4-14,70,70,65,70,11
2009-4-15,70,70,70,70,0
2009-4-16,70,75.98,70,75.98,9
2009-4-17,75,75.98,70,75.98,5
2009-4-20,76.99,76.99,76.99,76.99,0
2009-4-21,68.04,75.99,60,75.99,3
2009-4-22,70.01,74.99,70,74.99,38
2009-4-23,75,75,75,75,0
2009-4-24,77,77,70,77,50
2009-4-28,70,75,70,75,32
2009-4-29,79.97,79.97,79.97,79.97,98
2009-4-30,65.06,65.06,65.06,65.06,3
2009-5-6,79.99,91.01,79.94,91.01,338
2009-5-7,110,127.41,99.99,127.41,23
2009-5-8,127.41,178.37,81.18,83,1265
2009-5-12,82,97.99,79.01,89.15,1307
2009-5-13,106.99,106.99,88,89,383
2009-5-14,91.5,91.5,85,90,250
2009-5-15,103.49,103.49,88,91,19
2009-5-18,88,90,88,90,1
2009-5-19,90.21,95,90,94,885
2009-5-20,94,98,94,98,547
2009-5-21,93,93,93,93,120
2009-5-22,93,94.99,93,93,17
2009-5-25,90.01,94,90.01,93.8,150
2009-5-26,109.23,109.23,90,90,3
2009-5-27,93,93,93,93,15
2009-5-28,92.94,92.94,90.07,90.07,0
2009-5-29,93.99,93.99,91,91,59
2009-6-1,92.5,94.5,91.04,94.5,207
2009-6-2,92,92,92,92,15
2009-6-3,94,94,92,92,71
2009-6-4,93,93.89,91.51,91.51,65
2009-6-5,90.01,91.87,90,91.87,9
2009-6-8,90,94,90,94,13
2009-6-10,94.44,94.44,91,91,3
2009-6-11,92,92,92,92,66
2009-6-15,93.97,94,92,92,69
2009-6-16,109.5,109.5,90,90,3
2009-6-17,90,90,89.99,90,1
2009-6-18,72.07,85,72.07,85,35
2009-6-19,85,86.45,72,86.45,8
2009-6-22,86.45,86.45,86.45,86.45,0
2009-6-24,86.45,86.45,86.45,86.45,0
2009-6-25,86.45,86.45,81,83,687
2009-6-26,86.45,86.45,83,83,1
2009-6-29,86.44,86.44,86.44,86.44,0
2009-7-2,86.45,86.45,86.45,86.45,1
2009-7-6,76.56,76.56,76.56,76.56,4
2009-7-7,77,84.76,76.54,84.76,1
2009-7-13,83.9,83.9,83.9,83.9,54
2009-7-14,71.1,71.1,52,52,54
2009-7-15,84,84,83.21,83.21,0
2009-7-16,83,83,83,83,29
2009-7-17,66.5,66.5,66.5,66.5,29
2009-7-21,83,92,77,83.91,1666
2009-7-22,74.58,74.58,66.55,66.55,1597
2009-7-27,75,75,70,70,26
2009-7-29,75,75,75,75,7
2009-7-30,81.99,82,81.99,81.99,5
2009-7-31,81.98,81.98,81.98,81.98,0
2009-8-13,81.99,114.5,81.99,85,8888
2009-8-14,91,110,90,100,1034
2009-8-17,100,133,76,113.99,13037
2009-8-18,114.9,115,100,103.1,84
2009-8-19,101,101,100,101,150
2009-8-20,101.01,102,100,102,61
2009-8-21,102,103.99,102,102,26
2009-8-24,102,102,102,102,2
2009-8-25,102,102,102,102,81
2009-8-26,103.99,104.74,102,102,303
2009-9-3,102,102,102,102,32
2009-9-4,100,102,95.5,102,544
2009-9-10,99,100,99,100,30
