Date,Open,High,Low,Close,Volume
2013-7-24,1067.2,1067.2,1067.2,1067.2,10000
2013-12-26,1050,1086,1050,1068,900
2014-3-21,1068,1068,1068,1068,1850
2014-4-4,1068,1068,1068,1068,1750
2014-4-14,1068,1068,1068,1068,1
2014-4-15,1070,1070,1068,1068,2
2014-4-16,1070,1070,1070,1070,1
2014-4-25,1068.4,1068.4,1068.4,1068.4,1550
2014-5-26,1068.4,1068.4,1068.4,1068.4,2950
2014-9-29,1068,1068,1068,1068,1
2015-2-11,1070,1070,1065,1065,1000
2015-3-3,1075,1075,1075,1075,1000
2016-4-28,1070,1095,1070,1095,490
2016-4-29,1070,1070,1070,1070,2
2016-9-29,1090,1090,1090,1090,2
2016-10-14,1070,1070,1070,1070,110
2016-10-18,1080,1080,1075,1075,13
2016-10-19,1085,1085,1070,1070,813
2016-10-20,1085,1085,1085,1085,11
2016-10-21,1090,1090,1090,1090,14
2016-10-24,1075,1075,1075,1075,16
2016-10-25,1075,1075,1075,1075,19
2016-10-26,1075,1075,1075,1075,11
2016-10-28,1075,1075,1075,1075,100
2016-10-31,1075,1080,1075,1080,87
2016-11-1,1080,1080,1075,1075,87
2016-11-2,1090,1090,1075,1080,67
2016-11-3,1085,1090,1075,1075,111
2016-11-7,1200,1200,1070,1075,86
2016-11-8,1080,1090,1070,1075,40
2016-11-9,1090,1090,1075,1075,3
2016-11-10,1070,1075,1070,1075,13
2016-11-11,1075,1075,1075,1075,18
2016-11-14,1075,1075,1075,1075,25
2016-11-15,1070,1075,1070,1075,36
2016-11-16,1075,1075,1075,1075,8
2016-11-17,1075,1075,1075,1075,24
2016-11-18,1075,1075,1075,1075,24
2016-11-21,1075,1075,1075,1075,19
2016-11-22,1075,1075,1075,1075,14
2016-11-23,1075,1075,1075,1075,10
2016-11-24,1075,1075,1075,1075,18
2016-11-25,1075,1075,1075,1075,21
2016-11-28,1075,1075,1075,1075,15
2016-11-29,1075,1075,1075,1075,18
2016-11-30,1075,1075,1075,1075,24
2016-12-1,1075,1075,1075,1075,18
2016-12-5,1075,1085,1070,1085,160
2016-12-6,1075,1080,1075,1080,221
2016-12-7,1080,1080,1080,1080,23
2016-12-8,1080,1080,1080,1080,19
2016-12-9,1080,1080,1080,1080,15
2016-12-12,1075,1080,1075,1080,23
2016-12-13,1080,1080,1080,1080,14
2016-12-15,1080,1080,1080,1080,14
2016-12-16,1080,1080,1080,1080,11
2016-12-20,1080,1080,1080,1080,12
2016-12-21,1075,1080,1075,1080,7
2016-12-22,1080,1080,1080,1080,13
2016-12-23,1080,1080,1080,1080,5
2016-12-27,1080,1080,1080,1080,10
2016-12-28,1080,1080,1080,1080,10
2016-12-29,1080,1090,1080,1090,11
2017-1-9,1080,1080,1080,1080,40
2017-1-10,1085,1085,1085,1085,60
2017-1-11,1090,1135,1090,1135,71
2017-1-12,1120,1120,1090,1090,69
2017-1-13,1090,1090,1090,1090,39
2017-1-16,1090,1090,1090,1090,35
2017-1-17,1090,1090,1090,1090,27
2017-1-18,1090,1090,1090,1090,39
2017-1-19,1095,1095,1095,1095,12
2017-1-20,1095,1095,1090,1090,25
2017-1-23,1095,1095,1095,1095,10
2017-1-24,1095,1095,1095,1095,12
2017-1-25,1095,1095,1095,1095,11
2017-1-26,1095,1095,1095,1095,6
2017-1-27,1090,1095,1090,1090,23
2017-1-30,1095,1095,1095,1095,14
2017-1-31,1095,1095,1095,1095,15
2017-2-1,1095,1095,1095,1095,13
2017-2-2,1095,1095,1095,1095,11
2017-2-3,1095,1095,1095,1095,8
2017-2-6,1095,1095,1095,1095,15
2017-2-7,1095,1095,1095,1095,13
2017-2-8,1095,1095,1095,1095,12
2017-2-9,1095,1095,1095,1095,7
2017-2-13,1095,1095,1095,1095,11
2017-2-14,1095,1095,1095,1095,29
2017-2-15,1095,1095,1095,1095,12
2017-2-16,1085,1095,1085,1095,15
2017-2-20,1095,1095,1095,1095,2
2017-2-21,1095,1095,1095,1095,14
2017-2-22,1095,1095,1095,1095,12
2017-2-27,1095,1095,1095,1095,10
2017-2-28,1095,1095,1095,1095,13
2017-3-1,1080,1095,1070,1095,16
2017-3-3,1095,1095,1095,1095,15
2017-3-6,1095,1095,1095,1095,13
2017-3-7,1095,1095,1095,1095,14
2017-3-9,1095,1095,1095,1095,7
2017-3-10,1095,1095,1095,1095,12
2017-3-13,1095,1095,1095,1095,16
2017-3-14,1095,1095,1095,1095,10
2017-3-15,1095,1095,1095,1095,14
2017-3-16,1095,1095,1095,1095,11
2017-3-17,1095,1095,1095,1095,15
2017-3-21,1095,1095,1095,1095,12
2017-3-23,1095,1095,1095,1095,11
2017-3-24,1095,1095,1095,1095,14
2017-3-27,1085,1095,1085,1095,11
2017-3-30,1095,1095,1095,1095,9
2017-4-3,1095,1095,1095,1095,12
2017-4-4,1095,1095,1095,1095,14
2017-4-5,1085,1085,1085,1085,1
2017-4-6,1095,1095,1095,1095,11
2017-4-7,1095,1095,1095,1095,11
2017-4-10,1095,1095,1095,1095,15
2017-4-11,1095,1095,1095,1095,14
2017-4-12,1105,1105,1095,1095,17
2017-4-14,1100,1100,1100,1100,1
2017-4-17,1105,1105,1105,1105,1
2017-4-19,1100,1100,1100,1100,46
2017-4-20,1110,1110,1110,1110,13
