Date,Open,High,Low,Close,Volume
2008-9-30,1567.4,1567.4,1567.4,1567.4,1
2008-10-3,1567.4,1567.4,1567.4,1567.4,3
2008-12-12,940.44,940.44,940.44,940.44,2
2008-12-15,564.27,564.27,564.27,564.27,17
2008-12-16,525,525,338.56,338.56,2
2008-12-17,300,300,220,300,5
2008-12-22,300,300,300,300,1
2008-12-26,400,400,400,400,3
2009-1-11,385,385,385,385,80
2009-1-14,396,396,396,396,700
2009-1-16,375,375,375,375,1
2009-1-20,290,290,290,290,4
2009-1-23,290,290,290,290,39
2009-1-26,295,295,295,295,1
2009-1-27,200,200,177,195,1382
2009-1-28,200,220,190,203,2475
2009-1-29,202,202,202,202,200
2009-1-30,200,200,200,200,100
2009-2-5,210,229,210,229,612
2009-2-6,225,230,195,230,305
2009-2-9,299,313.99,299,309.9,1450
2009-2-10,190,350,190,350,1381
2009-2-11,340,340,339,339,10
2009-2-12,340,345,250.1,279.99,105
2009-2-13,300,305,270,305,3
2009-2-16,299.99,299.99,299.99,299.99,1
2009-2-17,250.01,300,250,300,22
2009-2-18,299.9,299.9,280,290,9
2009-2-19,221,300,221,300,2
2009-2-24,203,203,203,203,1
2009-2-25,275,275,275,275,1
2009-2-26,299,299,299,299,1
2009-2-27,287,287,287,287,50
2009-3-2,230,275,230,275,40
2009-3-3,240,240,215,215,39
2009-3-4,275,275,275,275,1
2009-3-6,274,274,274,274,1
2009-3-10,245,275,190,275,1301
2009-3-11,274.8,275,274.8,275,92
2009-3-12,270,270,270,270,5
2009-3-13,280,290,280,290,70
2009-3-16,290,290,290,290,5
2009-3-17,285,298,250.2,250.2,116
2009-3-18,275,295,275,295,120
2009-3-19,290,294,289,289,80
2009-3-20,300,404.6,280,310,1099
2009-3-23,310,318,310,318,150
2009-3-24,320,390,260.01,360,793
2009-3-25,370,378,340,354.82,95
2009-3-26,380,400,370,385,723
2009-3-27,380,387,350,386.99,271
2009-3-30,374.99,378,374.99,378,22
2009-3-31,380,380,325,374.99,2123
2009-4-1,398.99,398.99,377.99,380,34
2009-4-2,350,389.99,323,384.99,2569
2009-4-3,388,388,380,385,65
2009-4-6,398,398,322.5,397.99,2505
2009-4-7,389.99,389.99,305.5,389.99,2402
2009-4-8,374.99,374.99,373.99,374,6
2009-4-9,351.01,407.99,322.5,380,2261
2009-4-10,398,440,397,440,383
2009-4-13,439,463.29,353,463.29,2968
2009-4-14,463.29,495,430,495,332
2009-4-15,470,470,441,441,8
2009-4-16,446,480,446,480,16
2009-4-17,493,493,493,493,23
2009-4-20,497,513.75,445.01,473.99,2204
2009-4-21,499,499,499,499,141
2009-4-22,505,506,500,506,7360
2009-4-28,449.99,450,370,450,4926
2009-4-29,430.05,490,400,480,987
2009-4-30,414,490,414,490,121
2009-5-4,450.01,525,430.01,525,4683
2009-5-5,529.99,540,524.99,529,551
2009-5-6,515,645,515,589.99,2501
2009-5-7,599.99,648,551,551,2448
2009-5-8,568,576.33,540,576.33,419
2009-5-12,589.98,598.73,551,551.35,6234
2009-5-13,599.9,599.9,486.5,590,3002
2009-5-14,545,545,435.5,494.99,1141
