Date,Open,High,Low,Close,Volume
2013-9-17,0.12199,0.13,0.11851,0.123,2295
2013-9-18,0.12115,0.124,0.12115,0.1219,2470
2013-9-19,0.122,0.1419,0.12135,0.1226,1943
2013-9-20,0.12235,0.1248,0.12235,0.123,65
2013-9-23,0.12241,0.131,0.12221,0.12299,675
2013-9-24,0.12221,0.12475,0.12215,0.12367,200
2013-9-25,0.1235,0.1244,0.1219,0.1233,897
2013-9-26,0.12201,0.12301,0.12201,0.123,11
2013-9-27,0.1231,0.124,0.12201,0.12337,552
2013-9-30,0.1237,0.1237,0.122,0.122,485
2013-10-1,0.12,0.12398,0.1194,0.12,883
2013-10-2,0.11889,0.12,0.118,0.1194,121
2013-10-3,0.11901,0.12,0.1182,0.11999,738
2013-10-4,0.1199,0.12,0.1195,0.12,614
2013-10-7,0.12,0.12,0.1195,0.1197,57
2013-10-8,0.12,0.12,0.1198,0.11999,155
2013-10-9,0.11932,0.11997,0.11902,0.1198,338
2013-10-10,0.11996,0.11997,0.1197,0.11997,56
2013-10-11,0.11996,0.12,0.1191,0.12,1826
2013-10-14,0.11981,0.12009,0.1194,0.12,245
2013-10-15,0.12009,0.12009,0.1199,0.12,400
2013-10-16,0.12,0.12009,0.12,0.12009,453
2013-10-17,0.12009,0.12019,0.12,0.12019,601
2013-10-18,0.12001,0.122,0.12,0.122,82
2013-10-21,0.12018,0.12029,0.12,0.12025,854
2013-10-22,0.1202,0.12029,0.12019,0.12028,76
2013-10-23,0.1202,0.12029,0.1197,0.11999,807
2013-10-24,0.12,0.12,0.1189,0.1189,264
2013-10-25,0.119,0.119,0.117,0.11899,651
2013-10-28,0.1187,0.1187,0.116,0.118,116
2013-10-29,0.1177,0.1177,0.11695,0.117,34
2013-10-30,0.117,0.117,0.116,0.1165,1133
2013-10-31,0.1166,0.1166,0.1151,0.11645,238
2013-11-1,0.11552,0.11644,0.115,0.115,396
2013-11-5,0.11799,0.11799,0.1149,0.11599,316
2013-11-6,0.11518,0.116,0.115,0.116,263
2013-11-7,0.115,0.115,0.1145,0.115,365
2013-11-8,0.11552,0.116,0.11439,0.115,639
2013-11-11,0.11608,0.11608,0.115,0.115,183
2013-11-12,0.11495,0.115,0.11295,0.11328,176
2013-11-13,0.11883,0.11883,0.1128,0.11383,239
2013-11-14,0.111,0.1115,0.10245,0.1115,1436
2013-11-15,0.11328,0.11397,0.111,0.11328,1108
2013-11-18,0.11273,0.114,0.10717,0.11397,627
2013-11-19,0.11328,0.11328,0.11,0.11273,777
2013-11-20,0.11218,0.11299,0.11133,0.1127,125
2013-11-21,0.112,0.11299,0.1115,0.112,176
2013-11-22,0.11218,0.11395,0.112,0.11273,51
2013-11-25,0.1135,0.11397,0.113,0.113,30
2013-11-26,0.11383,0.11397,0.112,0.11394,629
2013-11-27,0.11439,0.12524,0.1135,0.11724,369
2013-11-28,0.12051,0.12051,0.1145,0.11651,47
2013-11-29,0.11201,0.12394,0.11201,0.12323,299
2013-12-2,0.1178,0.118,0.11621,0.118,257
2013-12-3,0.11722,0.12,0.113,0.11498,204
2013-12-4,0.11837,0.11837,0.114,0.1145,64
2013-12-5,0.11722,0.11722,0.114,0.116,165
2013-12-6,0.11608,0.11608,0.11405,0.116,719
2013-12-9,0.11502,0.11665,0.115,0.115,300
2013-12-10,0.11608,0.12299,0.11501,0.11599,54
2013-12-11,0.11665,0.12396,0.11665,0.11699,82
2013-12-12,0.11722,0.11722,0.11608,0.117,345
2013-12-13,0.11412,0.1178,0.114,0.117,160
2013-12-16,0.1178,0.11895,0.1178,0.118,254
2013-12-17,0.118,0.12,0.1178,0.118,31
2013-12-18,0.11722,0.12197,0.1152,0.1208,100
2013-12-19,0.11895,0.123,0.1189,0.12,162
2013-12-20,0.12379,0.12379,0.11384,0.11477,2377
2013-12-23,0.11914,0.11914,0.11383,0.11494,544
2013-12-24,0.11914,0.11914,0.11328,0.11369,1178
2013-12-25,0.11858,0.11858,0.11383,0.114,560
2013-12-26,0.11855,0.11855,0.11383,0.11399,484
2013-12-27,0.1133,0.11436,0.1133,0.11421,121
2013-12-30,0.11491,0.11979,0.1133,0.11437,1162
2014-1-6,0.11439,0.11439,0.11301,0.11383,108
2014-1-8,0.11454,0.11454,0.1133,0.1133,9
2014-1-9,0.11425,0.11663,0.11329,0.11499,217
2014-1-10,0.11439,0.11492,0.1135,0.11491,245
2014-1-13,0.11494,0.11577,0.11304,0.11376,1249
2014-1-14,0.11275,0.114,0.11275,0.114,357
2014-1-15,0.1135,0.11399,0.113,0.11375,515
2014-1-16,0.1135,0.114,0.11118,0.113,2033
2014-1-17,0.113,0.11399,0.112,0.1127,1351
2014-1-20,0.113,0.113,0.1125,0.11296,157
2014-1-21,0.1127,0.113,0.1127,0.113,283
2014-1-22,0.113,0.113,0.112,0.112,1635
2014-1-23,0.11289,0.113,0.112,0.1125,1160
2014-1-24,0.11273,0.113,0.1127,0.11289,76
2014-1-27,0.11299,0.113,0.1112,0.11259,1369
2014-1-28,0.11373,0.11373,0.1115,0.112,2759
2014-1-29,0.1123,0.1127,0.1118,0.1118,33
2014-1-30,0.1124,0.1124,0.108,0.10987,791
2014-1-31,0.11215,0.11215,0.10712,0.1093,474
2014-2-3,0.10995,0.10997,0.10713,0.10731,132
2014-2-4,0.1081,0.10901,0.1,0.1065,721
2014-2-5,0.10835,0.11327,0.10203,0.1058,1229
2014-2-6,0.108,0.11,0.104,0.10559,748
2014-2-7,0.10402,0.1099,0.102,0.109,1055
2014-2-10,0.10893,0.1099,0.107,0.1099,256
2014-2-11,0.11,0.11241,0.10893,0.112,276
2014-2-12,0.11109,0.13888,0.11109,0.12699,8056
