Date,Open,High,Low,Close,Volume
2012-4-20,4000,4320,3600,3600,74
2012-4-23,4175,4175,3000,3500,29
2012-4-24,3150.1,3150.1,3000.1,3100,45
2012-4-25,3333,3399.9,3000,3001,161
2012-4-26,2920,3099.8,2920,3099.8,6
2012-4-28,3040,3144,3040,3099,21
2012-5-2,2500,3098.9,2500,3098.9,14
2012-5-14,2500,2999.9,2500,2999.9,7
2012-5-21,2500,3097.7,2500,3097.7,5
2012-5-28,2530,2530,2530,2530,1
2012-5-29,3098.9,3098.9,3098.9,3098.9,1
2012-6-25,3090,3090,3090,3090,50
2012-6-26,3000,3000,3000,3000,1
2012-6-28,2702,3177,2702,3177,1100
2012-6-29,2800.3,3179.8,2800.3,3179.8,1200
2012-7-17,3150,3150,3150,3150,500
2012-8-2,2700,2999.8,2700,2800,27
2012-8-21,3149.9,3150,2000.1,3149,85
2012-8-30,2300,2900,2300,2900,61
2012-8-31,3145,3145,3145,3145,5
2012-9-5,3145,3145,3145,3145,5
2012-9-6,3139,3139,3139,3139,50
2012-9-7,2400,3139,2400,3139,66
2012-9-11,3098,3098,3098,3098,3
2012-9-12,3650,3650,3650,3650,55
2012-9-13,2625,3098,2625,3098,69
2012-9-17,3099.5,3099.5,3094,3094,67
2012-9-18,2530,3092,2530,3048.9,219
2012-9-19,2530,3120,2530,3120,92
2012-9-20,3100,3147,3100,3140,41
2012-9-24,2900,2900,2900,2900,2
2012-9-25,2899.9,3055,2737,2950,43
2012-9-26,2777,3054.8,2769.9,3054.8,34
2012-9-28,3052.8,3052.8,3052.8,3052.8,1
2012-10-1,3625,3625,3050,3050,154
2012-10-3,2828.1,3029.9,2802,3029.9,6
2012-10-4,2750.1,2950,2750,2950,7
2012-10-5,2706,2971,2706,2971,67
2012-10-8,2985.7,2990,2971.7,2990,11
2012-10-12,2990,2990,2990,2990,4
2012-10-15,2988,2988,2988,2988,8
2012-10-16,2800,2898,2727,2820,19
2012-10-18,2744.7,2744.7,2744.6,2744.6,5
2012-10-22,2879.9,2880,2879.9,2880,3
2012-10-23,2780,2780,2780,2780,6
2012-10-29,2255,2663.1,2255,2663.1,13
2012-10-30,2420.1,2420.1,2420.1,2420.1,1
2012-10-31,2855,2855,2855,2855,1
2012-11-2,2698.6,2698.6,2698.6,2698.6,2
2012-11-7,2698.9,2698.9,2599.9,2600,4
2012-11-8,2301.4,2301.4,2200,2260,99
2012-11-9,2200.9,2347.2,2109,2347.2,7
2012-11-12,2300,2300,2300,2300,4
2012-11-13,2200.1,2345,2200,2345,14
2012-11-15,2090.3,2290.8,2077,2290.8,11
2012-11-16,2224.7,2224.7,2020,2020,31
2012-11-19,2120,2210.8,2119.9,2210.8,11
2012-11-21,2186.1,2186.2,2186.1,2186.2,4
2012-11-22,2050.1,2050.1,2050.1,2050.1,5
2012-11-23,2050,2130.5,2050,2130.5,2
2012-11-26,2129.9,2130,2070.1,2130,6
2012-11-27,2015,2015,1700,1869.6,75
2012-11-28,1616,1745,1616,1745,102
2012-11-30,1700.4,1701.1,1700.4,1701.1,3
2012-12-6,1650.3,1699.9,1500,1699.9,21
2012-12-7,1505.5,1789.8,1505.5,1789.8,2
2012-12-11,1500.7,1500.7,1500,1500,10
2012-12-12,1600,1847.9,1600,1847.9,2
2012-12-13,1650.2,1650.2,1650.2,1650.2,1
2012-12-14,1650.1,1650.1,1650.1,1650.1,10
2012-12-17,1669.9,1669.9,1669.9,1669.9,1
2012-12-19,1779.9,1779.9,1700,1700,11
2012-12-20,1700,1749.9,1700,1749.9,4
2012-12-21,1700,1779.9,1700,1779.9,12
2012-12-25,1755,2318.8,1755,1808,109
2012-12-26,2199,2199,1900,1900,66
2012-12-27,2082,2097.9,1755.3,2096.4,79
2012-12-28,1760,1801,1760,1761,467
2013-1-8,1800,1800,1750,1750,8
2013-1-10,1900,1900.1,1900,1900,51
2013-1-15,1943.9,2090,1943.9,2090,992
2013-1-16,2090,2187,2090,2090,12
2013-1-17,1808.5,1808.5,1808.5,1808.5,1
2013-1-18,1900,1900,1900,1900,1
2013-1-21,1990,1990,1990,1990,22
2013-1-22,2000,2100,2000,2100,227
2013-1-25,1950.5,1950.5,1950,1950,259
2013-1-28,1822,2095,1821.9,2095,324
2013-1-29,1970,2066,1970,2066,41
2013-1-30,2000,2000,2000,2000,1
2013-1-31,1900.1,1900.1,1900.1,1900.1,1
