Date,Open,High,Low,Close,Volume
2007-11-20,115,146.9,115,120,443
2007-11-21,124,135.57,120,124.5,512
2007-11-22,165,165,126.81,126.81,328
2007-11-23,126,134.99,120,124,965
2007-11-26,118.51,129.97,118.51,124.24,1731
2007-11-27,122,122.99,110.5,116,1831
2007-11-28,116.4,116.4,103,105.5,1522
2007-11-29,109,114.54,106.2,110.33,1243
2007-11-30,114.9,126,105.62,120,7960
2007-12-3,121,121.09,118.01,120.6,1556
2007-12-4,119,120,114.14,119,2838
2007-12-5,118.99,128.5,117.5,126.5,6458
2007-12-6,126,132,125,131,4915
2007-12-7,131,141.5,125.1,140.99,9718
2007-12-10,141.31,145,141.1,143.09,1354
2007-12-11,144,146,141,141,1736
2007-12-12,137.1,144.95,136.01,143.37,4279
2007-12-13,142.07,156.5,137.2,155.97,3060
2007-12-14,160,175,155,158.7,18237
2007-12-17,158.93,158.93,147.5,150.17,12915
2007-12-18,150,154.49,148.55,151.5,12068
2007-12-19,152.58,153,149.1,151.5,16733
2007-12-20,151,152.92,150.11,152.1,10407
2007-12-21,152,164.32,151.7,163.54,23645
2007-12-24,165,181,162,180.97,50057
2007-12-25,180.96,186.99,178,181,20674
2007-12-26,178.6,181.8,175.15,178.98,14582
2007-12-27,179.25,182.5,173.31,175,16495
2007-12-28,175,187,174.5,183.99,8072
2008-1-9,182.5,187,179.51,183.65,8114
2008-1-10,189.92,189.92,181.04,183.55,16181
2008-1-11,182,183.3,176.3,177,12472
2008-1-14,179.49,180,166,167,15503
2008-1-15,169.25,179,163.88,172.89,22236
2008-1-16,171.05,172,163.01,169,22461
2008-1-17,169.1,173,160,164.9,18482
2008-1-18,161,165,157.5,159.8,26115
2008-1-21,159.9,159.9,146.1,149.99,20165
2008-1-22,144,157,135,151.49,37801
2008-1-23,152,158,150,150.01,25225
2008-1-24,155.15,175,154.2,174.3,34474
2008-1-25,180,183,170,177.81,49861
2008-1-28,170.01,176,168.51,173.25,18397
2008-1-29,176.12,178.8,174.2,176,23053
2008-1-30,174.25,175,166,166.1,9098
2008-1-31,171.7,171.7,155.7,157,23052
2008-2-1,158,171.7,158,170.28,61915
2008-2-4,171.51,182.37,171.51,182.1,27860
2008-2-5,181,204.4,180,188,79218
2008-2-6,179.31,193.72,176.01,185,79062
2008-2-7,186.85,186.85,176.1,182,22902
2008-2-8,184.46,189.79,182.12,184.59,18613
2008-2-11,184.25,192.01,183.99,189,29135
2008-2-12,189.5,195.5,189.5,195,30617
2008-2-13,194,197,188.28,191,41244
2008-2-14,193,194.72,189,194,28702
2008-2-15,192.78,202.5,190.01,196.9,26305
2008-2-18,199,199.95,195,199.79,16124
2008-2-19,199.93,205,197.88,201.8,18594
2008-2-20,199.52,201.99,196.9,198.96,14392
2008-2-21,203.49,203.49,198.5,200,14021
2008-2-22,199.31,199.31,194,196.9,17004
2008-2-26,198.83,201.99,198,198.99,19763
2008-2-27,199,199.25,193.29,195,12892
2008-2-28,180.6,197,180.6,196.89,12352
2008-2-29,195.1,197.2,189.3,192.32,24719
2008-3-3,191,193.5,189.9,193.35,13441
2008-3-4,193.4,199.5,192.52,194.1,13262
2008-3-5,194.99,197.52,193.17,197.52,12603
2008-3-6,198.6,201,191.11,195,28503
2008-3-7,193.5,193.5,175.6,184.99,24648
2008-3-11,177.26,178.5,170.5,178.5,41596
2008-3-12,180,182.75,175.76,177.45,18232
2008-3-13,176.3,176.3,170.1,173.18,8879
2008-3-14,174.85,182,174.65,178.5,23831
2008-3-17,172,176,172,175.94,10965
2008-3-18,178.49,178.49,174.52,176.31,17003
2008-3-19,178.5,180.34,175.9,178.76,21509
2008-3-20,178.22,179,170.8,173.2,16222
2008-3-21,177.01,180.71,177,177.12,20322
2008-3-24,178.6,179.69,176,178.5,9262
2008-3-25,178.6,179.5,175.1,177.4,8960
2008-3-26,177.1,179.5,175.03,175.55,10841
2008-3-27,177.49,186.22,176,185.99,32025
2008-3-28,180.65,198,180.65,197.48,41135
2008-3-31,195,196.29,190.77,191.98,6367
2008-4-1,192.65,199.45,188.49,196.02,21143
2008-4-2,198.1,205.49,197.3,203.9,32466
2008-4-3,205,216.75,205,214.7,58362
2008-4-4,215.5,219,198,218.17,29998
2008-4-7,220,223.98,218,221,20153
2008-4-8,217.2,222,212.03,217.95,8580
2008-4-9,218.9,220.05,214.79,217.18,11681
2008-4-10,207.5,218,207.5,216.65,28652
2008-4-11,217.9,228.5,217.4,225.5,27151
2008-4-14,220,248,219,240,35827
2008-4-15,240.25,245,235.05,239,55820
2008-4-16,240,259.79,237.95,255,89361
2008-4-17,259,261.94,247,254.94,55194
2008-4-18,259,272,257.01,268.9,54446
2008-4-21,269,284.99,269,277.41,71574
2008-4-22,274.75,280,267.3,270.21,60383
2008-4-23,273,288,272.65,274,113728
2008-4-24,275,277,262,268.3,66951
2008-4-25,269.95,272,255.05,263.07,39035
2008-4-28,265.5,282.5,256,282.5,149760
2008-4-29,280,285,260.4,262.65,102202
2008-4-30,262,262,245.5,251.39,128325
2008-5-4,255,262,253,257.25,45707
2008-5-5,256.01,256.01,250.17,253.5,24562
2008-5-6,254.75,259.42,251,258.45,36968
2008-5-7,260.04,274.8,260.04,269.51,64197
2008-5-8,268.3,276,266,271.2,62153
2008-5-12,272.5,274.9,264,267.06,32137
2008-5-13,267.18,269.99,252.5,256.43,83986
2008-5-14,257,265.98,252.68,263.54,92661
2008-5-15,265,275.24,264.3,268.89,84442
2008-5-16,268,274.3,265.2,274,227791
2008-5-19,274.68,284.47,270.18,282.5,63806
2008-5-20,282.08,283.5,269.22,270.5,51515
2008-5-21,273,276.9,264.2,276.9,40266
2008-5-22,275.95,276,270.72,273,37875
2008-5-23,273,282,268,279.98,54181
2008-5-26,279,279,272.25,277.25,19032
2008-5-27,260.26,291.45,260.26,284,96612
2008-5-28,285,285,279,280.88,38781
2008-5-29,281.8,286.99,276.55,277.4,72000
2008-5-30,279.15,285.25,277.4,284.8,106415
2008-6-2,284.9,305,282.6,294.5,95199
2008-6-3,294.75,296.49,286.38,288.95,48258
2008-6-4,287.06,294.5,284,288.97,30710
2008-6-5,290.11,296.94,289.51,294.22,43661
