Date,Open,High,Low,Close,Volume
2012-5-12,5000,5150,4800,5150,27
2012-5-14,5150,5198,5150,5198,10
2012-5-15,4825,4825,4825,4825,1
2012-5-16,5200,5200,4901,5000,52
2012-5-17,5000,5000,4910,5000,111
2012-5-18,4900,4900,4900,4900,10
2012-5-21,4852,5040,4851,5040,123
2012-5-23,5065,5065,5060,5065,22
2012-5-24,4902,4902,4901,4901,20
2012-5-25,5041,5051,5041,5050,26
2012-5-28,5059,5065,4908,5065,38
2012-5-29,5090,5170,5000,5170,28
2012-5-30,5060,5100,5060,5100,11
2012-5-31,5030,5100,5030,5100,9
2012-6-1,5150,5200,5150,5150,126
2012-6-4,5000,5200,5000,5200,15
2012-6-9,5100,5298,5100,5298,51
2012-6-13,5300,5370,5300,5370,30
2012-6-14,5370,5450,5370,5444,40
2012-6-15,5159,5695,5102,5695,190
2012-6-19,5350,5350,5350,5350,5
2012-6-29,5300,5300,5300,5300,50
2012-7-4,5640,5640,5640,5640,10
2012-7-5,5400,5600,5400,5600,22
2012-7-6,5600,5680,5600,5680,145
2012-7-11,5700,5750,5700,5750,163
2012-7-12,5700,5700,5700,5700,50
2012-7-13,5870,6080,5870,6080,50
2012-7-16,6080,6080,6080,6080,8
2012-7-17,6002,6002,6000,6000,10
2012-7-18,6001,6450,6001,6450,45
2012-7-19,6195,6510,6195,6510,94
2012-7-26,6490,6490,6485,6485,6
2012-7-27,6485,6490,6400,6400,9
2012-7-30,6200,6495,6200,6495,65
2012-7-31,6500,6500,6300,6300,7
2012-8-1,6310,6493,6200,6200,118
2012-8-2,6215,6394,6200,6394,36
2012-8-3,6350,6440,6350,6400,38
2012-8-6,6494,6494,6484,6484,4
2012-8-7,6400,6450,6400,6449,76
2012-8-8,6440,6450,6400,6400,41
2012-8-13,6200,6200,6151,6151,53
2012-8-14,6221,6251,6220,6251,5
2012-8-17,6598,6598,6598,6598,1
2012-8-21,6300,6300,6201,6201,60
2012-8-22,6496,6498,6496,6498,5
2012-8-23,6300,6300,6300,6300,1
2012-8-24,6498,7400,6498,7400,76
2012-8-27,7777,8000,7500,7799,27
2012-8-28,8350,8400,7600,8340,100
2012-8-29,8000,8569,8000,8569,103
2012-8-30,8599,8600,8599,8600,10
2012-8-31,8300,8499,8010,8250,15
2012-9-3,8001,8398,8000,8000,65
2012-9-4,8150,8399,8150,8399,189
2012-9-5,8200,8400,8100,8400,17
2012-9-6,8786,8786,8100,8100,15
2012-9-7,8051,8877,7999,8100,195
2012-9-10,8250,8250,8250,8250,3
2012-9-11,8013,8040,8013,8025,29
2012-9-12,8270,8270,8269,8269,2
2012-9-13,8269,8269,8205,8205,3
2012-9-14,8050,8180,7520,8180,31
