Date,Open,High,Low,Close,Volume
2011-12-14,0.19999,0.19999,0.19989,0.19989,39
2011-12-15,0.15,0.15,0.14,0.14,55
2011-12-16,0.14,0.14,0.1331,0.14,48
2011-12-19,0.14,0.14,0.13,0.13,25
2011-12-20,0.135,0.135,0.13,0.135,29
2011-12-21,0.12255,0.1292,0.12002,0.1292,420
2011-12-22,0.135,0.1375,0.12112,0.12112,3
2011-12-23,0.126,0.128,0.126,0.128,3
2011-12-26,0.1375,0.15,0.12,0.12,17
2011-12-27,0.1344,0.1344,0.12202,0.12202,11
2011-12-29,0.126,0.1323,0.126,0.13,28
2011-12-30,0.13,0.13,0.12801,0.13,23
2012-1-3,0.1325,0.1325,0.1325,0.1325,2
2012-1-5,0.131,0.14099,0.131,0.135,289
2012-1-6,0.132,0.1375,0.131,0.135,260
2012-1-10,0.1311,0.1311,0.13,0.13,339
2012-1-11,0.13,0.13,0.13,0.13,67
2012-1-12,0.12161,0.13,0.121,0.13,150
2012-1-16,0.113,0.12,0.11082,0.12,285
2012-1-17,0.12,0.1375,0.12,0.1375,361
2012-1-18,0.13,0.13,0.129,0.129,10
2012-1-19,0.125,0.129,0.125,0.1275,151
2012-1-20,0.12155,0.12721,0.11999,0.12498,318
2012-1-23,0.123,0.12495,0.123,0.12495,5
2012-1-24,0.12496,0.12496,0.123,0.123,6
2012-1-25,0.123,0.12495,0.123,0.12495,2
2012-1-26,0.1235,0.1317,0.1201,0.13,181
2012-1-27,0.13,0.13,0.13,0.13,3
2012-1-30,0.12151,0.1275,0.12151,0.12745,23
2012-1-31,0.129,0.129,0.125,0.125,87
2012-2-1,0.12166,0.12975,0.12166,0.12975,39
2012-2-2,0.12979,0.13,0.12978,0.13,67
2012-2-3,0.13,0.13,0.1226,0.12998,18
2012-2-6,0.123,0.12999,0.12282,0.12999,20
2012-2-7,0.1289,0.1299,0.125,0.1299,121
2012-2-8,0.12989,0.12989,0.12401,0.12988,6
2012-2-9,0.125,0.125,0.125,0.125,2
2012-2-10,0.1225,0.12894,0.1225,0.12894,5
2012-2-13,0.124,0.135,0.124,0.129,353
