Date,Open,High,Low,Close,Volume
2006-3-31,7.2,7.28,7.002,7.249,3546
2006-4-3,7.25,7.3,7,7.19,4310
2006-4-4,7.294,7.294,6.98,7.15,5925
2006-4-5,7.2,7.324,7.03,7.09,1994
2006-4-6,7.225,7.275,7.107,7.171,4752
2006-4-7,7.244,7.244,7.111,7.15,3380
2006-4-10,7.16,7.164,7.149,7.16,1828
2006-4-11,7.182,7.3,7.086,7.086,1001
2006-4-12,7.096,7.299,6.873,7.12,1619
2006-4-13,7.169,7.22,7.14,7.15,1574
2006-4-14,7.15,7.8,7.15,7.67,11072
2006-4-17,7.674,7.997,7.674,7.869,11378
2006-4-18,7.899,7.899,7.6,7.74,7733
2006-4-19,7.5,7.74,7.49,7.603,5956
2006-4-20,7.7,7.799,7.582,7.779,3228
2006-4-21,7.7,7.79,7.527,7.79,671
2006-4-24,7.799,7.82,7.58,7.688,1712
2006-4-25,7.561,7.6,7.13,7.598,1302
2006-4-26,7.14,7.624,7.14,7.55,1579
2006-4-27,7.544,7.555,7.5,7.501,265
2006-4-28,7.4,7.499,7.37,7.397,1682
2006-5-2,7.4,7.7,7.4,7.6,3533
2006-5-3,7.61,7.699,7.443,7.6,4176
2006-5-4,7.6,7.77,7.6,7.69,603
2006-5-5,7.72,7.825,7.6,7.665,1288
2006-5-6,7.858,8,7.651,7.88,1682
2006-5-10,8,8.885,8,8.6,2490
2006-5-11,8.65,9.15,8.645,9,7880
2006-5-12,8.8,9.38,8,8.797,2510
2006-5-15,8.6,8.8,8.336,8.5,749
2006-5-16,8.698,8.75,8.25,8.748,1624
2006-5-17,8.51,8.75,8.35,8.65,1707
2006-5-18,8.5,8.744,8.156,8.35,1577
2006-5-19,8.588,8.72,8.148,8.148,1559
2006-5-22,8.2,8.2,7.6,7.61,2375
2006-5-23,8.298,8.298,7.6,7.6,2380
2006-5-24,7.888,7.888,7.406,7.7,1020
2006-5-25,7.747,8.15,7.502,8,1896
2006-5-26,8.1,8.222,8.001,8.222,255
2006-5-29,8.144,8.275,8.05,8.05,312
2006-5-30,8.39,8.39,7.902,8.1,260
2006-5-31,8.24,8.244,8.05,8.05,287
2006-6-1,8.19,8.325,8.003,8.2,1301
2006-6-2,8.3,8.39,8.3,8.3,176
2006-6-5,8.19,8.52,8.17,8.52,729
2006-6-6,8.211,8.627,8.178,8.25,1376
2006-6-7,8.17,8.2,8.17,8.17,42
2006-6-8,8.299,8.299,7.8,7.8,620
2006-6-9,8,8.099,7.99,8.099,90
2006-6-13,7.81,8.444,7.5,7.68,2171
2006-6-14,7.9,8.047,7.52,7.8,1877
2006-6-15,7.988,7.988,7.85,7.85,323
2006-6-16,8.18,8.18,8,8,1453
2006-6-19,8,8.48,8,8.3,1736
2006-6-20,8.05,8.05,7.62,7.85,423
2006-6-21,7.85,7.999,7.8,7.89,754
2006-6-22,8,8.008,7.301,7.301,926
2006-6-23,7.6,7.798,7.6,7.798,194
2006-6-26,7.501,7.51,7.46,7.46,432
2006-6-27,7.45,7.5,7.3,7.3,401
2006-6-28,7.102,7.4,7.102,7.3,184
2006-6-29,7.39,7.39,7.311,7.311,22
2006-6-30,7.5,7.5,7.02,7.1,384
2006-7-3,7.5,7.5,7.1,7.25,91
2006-7-4,7.25,7.293,7.2,7.2,1223
2006-7-5,7.297,7.35,7.25,7.35,731
2006-7-6,7.249,7.3,7.01,7.1,767
2006-7-7,7.052,7.1,7.05,7.099,82
2006-7-10,7.099,7.099,6.62,7,363
2006-7-11,7,7,6.7,6.99,94
2006-7-12,6.61,6.9,6.61,6.7,1089
2006-7-13,6.848,6.9,6.68,6.85,4372
2006-7-14,6.85,6.85,6.85,6.85,320
2006-7-17,6.9,6.9,6.85,6.9,261
2006-7-18,6.9,6.95,6.84,6.9,1249
2006-7-19,6.98,7,6.85,6.9,664
2006-7-20,6.86,6.86,6.711,6.85,459
2006-7-21,6.85,6.895,6.85,6.85,1255
2006-7-24,6.85,6.95,6.85,6.95,560
2006-7-25,6.851,6.9,6.85,6.85,1256
2006-7-26,6.9,6.9,6.9,6.9,16
2006-7-27,6.9,7.1,6.9,7.1,177
