Date,Open,High,Low,Close,Volume
2015-4-30,715,725,701,710,86237
2015-5-5,740,740,709,734.9,156
2015-5-6,715,717,711.2,711.3,149
2015-5-7,712.2,714.9,705,714.8,276
2015-5-8,720,720,714.9,714.9,10
2015-5-12,706.6,729.9,700.5,712.6,53
2015-5-13,712.6,712.6,675,704.1,956
2015-5-14,703,707.9,703,703,321
2015-5-15,702.3,707.7,685,706.9,13
2015-5-18,702.3,715,700.2,715,9409
2015-5-19,705,705,700.8,700.8,116
2015-5-20,705.1,712.5,702.4,702.4,10924
2015-5-21,709.8,735,700.1,721,24091
2015-5-22,705,727,705,727,4505
2015-5-25,727,850,720,739.9,714901
2015-5-26,740,750,720,729,495
2015-5-27,729,850,720,777.7,716012
2015-5-28,777,777,730,757,235
2015-5-29,777.7,900,721,740,741706
2015-6-1,813,813,702.3,729,144573
2015-6-2,721,725,721,724,18978
2015-6-3,728,732.8,725,732.8,317
2015-6-4,725,735,720,720,463
2015-6-5,780,780,720,740,13
2015-6-8,725,726,724,724,1550
2015-6-9,725,725,724,725,93
2015-6-10,724,724,724,724,48
2015-6-11,725,725,724,724,55
2015-6-15,724,725,445,724,1826
2015-6-16,725,725,724,724,16
2015-6-17,725,725,724,725,8
2015-6-18,724,725,724,724,4
2015-6-19,725,725,725,725,659
2015-6-22,725,725,724,725,3719432
2015-6-23,726,727,724,727,257240
2015-6-24,728,747,723,730,1026
2015-6-25,723,723.1,723,723,208
2015-6-26,724.1,727,724.1,727,16
2015-6-29,727,727,725,725,77
2015-6-30,725,728,725,728,3
2015-7-6,725,725,725,725,6
2015-7-7,725,732,725,731.8,8
2015-7-8,725.2,725.2,723,723,239
2015-7-9,723.2,723.2,723.2,723.2,2
2015-7-13,723.1,723.1,723.1,723.1,1
2015-7-14,723.1,729,723.1,723.3,21
2015-7-15,723,723.2,723,723.2,36
2015-7-16,723.2,725,723.1,725,13
2015-7-17,725,725,725,725,3
2015-7-20,725,725,723.1,723.5,2630
2015-7-21,723.1,725,723.1,725,1933
2015-7-22,724,725,724,725,2799
2015-7-23,723.5,723.5,721.3,722,2252
2015-7-24,725,726,724,724,2002
2015-7-27,725,725,720.8,721,2075
2015-7-28,723.1,723.1,719,719,2110
2015-7-29,724,725,721.5,722,1859
2015-7-30,725,726,723,724.1,1632
2015-7-31,722.5,722.5,720,720,1141
2015-8-3,721,725,719,720.9,2135
2015-8-4,724.5,725,722.1,722.1,1702
2015-8-5,725,726,724.9,725,1641
2015-8-6,724,724,722,722,960
2015-8-7,726,728.8,724,726,2856
2015-8-10,726.5,728.5,723.5,728.5,2591
2015-8-11,735,735,727,727,1965
2015-8-12,723,725,719,724,2433
2015-8-13,723,728.8,723,723.1,2237
2015-8-14,723.2,727,721,724,2370
2015-8-17,723,724,721,721,2080
2015-8-18,722,724.3,720,723,2261
2015-8-19,722,725,720,720,2218
2015-8-20,721,725,719,725,2015
2015-8-21,724,727.9,720.1,720.1,2038
2015-8-24,719,719,713,714,2056
2015-8-25,711.1,723,711.1,718,2280
2015-8-26,723,723,715.5,720.4,2194
2015-8-27,722,729.9,722,727.1,2123
2015-8-28,728.3,734.9,727,734,2411
2015-8-31,728.8,739.5,728.8,736,46073
2015-9-1,734,738.5,728.1,728.1,50430
2015-9-2,729,732,725.1,730.1,45975
2015-9-3,732,735,729.7,735,45555
2015-9-4,734.6,736.1,732,733,44822
2015-9-7,733.5,736.5,731,733.5,46106
2015-9-8,735,740,734.9,738,44251
2015-9-9,739,744,737.9,739,50573
2015-9-10,737,742,737,738.9,45462
2015-9-11,739.8,741.9,737,740,46852
2015-9-14,738.9,742,738.9,741,4727
2015-9-15,740,740.3,738,739,47800
2015-9-16,739,742,739,741.5,4910
2015-9-17,740,742,739.3,740,5205
2015-9-18,739.5,741.5,737,740,5390
2015-9-21,738.9,741,738,739.4,4788
2015-9-22,739.5,739.5,737,737.3,6551
2015-9-23,736.9,737.5,735,735.1,4942
2015-9-24,736,737,735,736.4,4782
2015-9-25,736.5,738.3,735.4,738,4199
2015-9-28,738,738,733,733.5,4398
2015-9-29,734,735.8,732.5,734.2,33823
2015-9-30,735.9,736,735.4,735.7,8111
2015-10-1,735,735.7,734.2,735.4,11039
2015-10-2,735,735,730.8,732.2,141902
2015-10-5,734.1,738.5,732,735.5,128753
2015-10-6,735,737.2,733,734.8,107004
2015-10-7,734,736,730.5,735.6,94501
