Date,Open,High,Low,Close,Volume
2005-9-28,1,1,0.85,0.85,6
2005-9-30,0.8,0.8,0.8,0.8,10
2005-10-4,0.8,0.8,0.8,0.8,0
2005-10-6,0.75,0.75,0.75,0.75,1
2005-10-26,0.75,0.75,0.75,0.75,1
2005-11-3,0.7,0.7,0.7,0.7,0
2005-11-9,0.55,0.55,0.55,0.55,1
2005-11-17,0.48,0.48,0.45,0.45,2
2005-11-22,0.44,0.44,0.44,0.44,51
2005-11-23,0.45,0.45,0.4,0.45,33
2005-11-25,0.45,0.45,0.45,0.45,0
2005-12-1,0.55,0.55,0.44,0.44,32
2005-12-5,0.87,0.87,0.87,0.87,0
2005-12-9,0.5,0.5,0.5,0.5,10
2005-12-13,0.7,0.74,0.7,0.74,0
2005-12-15,0.98,0.98,0.6,0.979,1
2005-12-16,0.86,0.861,0.7,0.861,9
2005-12-19,0.97,0.97,0.97,0.97,0
2005-12-20,0.7,0.968,0.7,0.968,2
2005-12-21,1.05,1.32,1.05,1.32,0
2005-12-22,0.7,0.86,0.65,0.65,21
2005-12-26,0.65,0.65,0.65,0.65,7
2005-12-28,0.5,0.5,0.5,0.5,8
2006-1-13,0.456,0.456,0.456,0.456,1
2006-1-27,0.6,0.6,0.6,0.6,0
2006-1-30,0.6,0.6,0.6,0.6,0
2006-2-20,0.85,0.85,0.85,0.85,9
2006-2-21,0.89,1.47,0.89,1.47,30
2006-2-22,1.27,1.65,1.25,1.65,2
2006-2-26,1,1.45,1,1.45,2
2006-2-27,1.455,1.455,1.101,1.101,0
2006-2-28,1.2,1.2,1.2,1.2,20
2006-3-2,1.32,3.99,1.32,2.193,105
2006-3-3,3.996,4.488,3.939,4.488,7
2006-3-6,4.489,4.55,4.489,4.55,0
2006-3-7,2.2,2.2,2.2,2.2,0
2006-3-9,2.3,2.3,2.193,2.193,14
2006-3-13,2.193,2.5,2.193,2.5,12
2006-3-14,2.87,2.87,2.3,2.3,8
2006-3-22,2.3,2.3,2.3,2.3,0
2006-3-28,2.2,2.2,2.2,2.2,3
2006-4-7,2.4,2.4,2.4,2.4,0
2006-4-10,2.499,2.499,2.499,2.499,0
2006-4-11,2.599,3.499,2.599,3.49,2
2006-4-12,3.2,3.2,3.187,3.2,1
2006-4-13,3.2,3.2,3.2,3.2,0
2006-4-14,3.2,3.2,3.2,3.2,0
2006-4-17,3.2,3.2,3.2,3.2,0
2006-4-18,3.15,3.15,3.15,3.15,0
2006-4-19,3.2,3.2,2.25,3.2,5
2006-4-26,4.5,4.5,4.5,4.5,0
2006-4-27,2.56,2.56,2.56,2.56,2
2006-5-2,4.5,4.5,4.5,4.5,0
2006-5-18,2.193,2.193,2.193,2.193,0
2006-5-22,2.193,2.193,2.193,2.193,30
2006-5-23,2.193,2.193,2.193,2.193,7
2006-7-26,2.193,2.193,2.193,2.193,0
2006-9-8,2.193,2.193,2.193,2.193,3
2006-10-4,4.25,4.25,4.25,4.25,4
2006-10-6,3.125,3.125,2.65,2.65,3
2006-10-9,2.65,2.65,2.65,2.65,5
2006-10-10,2.6,2.6,2.6,2.6,1
2006-10-12,2.5,2.75,2.215,2.215,1
