Date,Open,High,Low,Close,Volume
2011-12-14,937,937,625,825,13
2011-12-15,650,999,537.2,599.2,24
2011-12-16,598,624.1,530,624.1,88
2011-12-19,623.8,649.9,599.9,649.9,23
2011-12-20,644.9,648.9,600,639.8,42
2011-12-21,636.8,636.8,634.5,634.6,26
2011-12-22,628.9,628.9,627.5,627.5,23
2011-12-23,649.7,649.8,605,605,10
2011-12-26,606,606,560,605.4,7
2011-12-27,599,610,550.5,610,46
2011-12-28,599.8,599.8,526,598,64
2011-12-29,599.8,599.8,530,599.8,24
2011-12-30,599.8,613,521,613,95
2012-1-3,599.8,599.8,599.3,599.3,6
2012-1-4,599.8,599.8,597,598,4
2012-1-5,599,599,599,599,3
2012-1-6,599.8,599.8,599.5,599.8,17
2012-1-9,599.9,599.9,598.9,598.9,31
2012-1-10,598.7,598.7,598.7,598.7,1
2012-1-11,598.8,598.8,598.8,598.8,3
2012-1-12,599.8,599.8,599.8,599.8,3
2012-1-13,599.8,599.8,599.8,599.8,2
2012-1-16,599.8,599.8,598.6,598.6,3
2012-1-17,598.8,598.8,550.3,579.9,10
2012-1-18,598.8,598.8,598.8,598.8,2
2012-1-19,598.8,598.8,598.8,598.8,2
2012-1-20,599.9,599.9,541,584.8,25
2012-1-23,599.8,599.8,599.8,599.8,2
2012-1-24,598.8,598.8,550,588.8,6
2012-1-25,594.8,594.8,594.8,594.8,1
2012-1-26,598.8,598.8,598.8,598.8,4
2012-1-27,599.8,599.8,599.8,599.8,2
2012-1-30,599.8,599.8,599.5,599.5,25
2012-1-31,550,597.8,550,597.8,17
2012-2-1,597.8,597.8,597.8,597.8,3
2012-2-2,599.5,599.5,599.5,599.5,5
2012-2-3,597.3,597.3,560.5,589.8,9
2012-2-6,599,599,566,580,7
2012-2-7,599.8,599.8,599.8,599.8,3
2012-2-8,579.8,579.8,549,549,8
2012-2-9,589.7,589.7,550,574.1,11
2012-2-10,571.5,571.5,571.5,571.5,1
2012-2-13,559.8,559.8,529.1,559.6,6
2012-2-14,588,588,499.7,514.9,75
2012-2-15,524.5,524.5,500,500,14
2012-2-17,480,480,480,480,5
2012-2-20,499.8,499.9,499.8,499.9,8
2012-2-21,499.5,499.5,450,478.8,16
2012-2-22,479.8,479.8,479.8,479.8,3
2012-2-24,479.8,479.8,451,477.6,6
2012-2-27,479.8,479.8,479.2,479.2,2
2012-2-28,479.9,499.9,479.9,499.9,15
2012-2-29,499.9,499.9,499.9,499.9,2
2012-3-1,499.9,549,499.8,549,15
2012-3-2,499.9,500,481.1,481.1,5
2012-3-5,499.7,499.8,480,498.8,13
2012-3-6,499.8,499.8,470,499.7,13
2012-3-7,499.8,499.8,499.8,499.8,1
2012-3-11,499.8,499.8,447.7,479.1,4
2012-3-12,499.8,499.9,474.9,499.9,7
2012-3-13,499.9,499.9,499.9,499.9,1
2012-3-14,499.9,499.9,499.9,499.9,2
2012-3-15,489.8,489.8,489.8,489.8,2
2012-3-16,489.8,489.8,489.8,489.8,1
2012-3-19,489.9,499.9,480,499.9,12
2012-3-20,489.8,489.8,489.8,489.8,1
2012-3-21,489.8,489.8,489.8,489.8,1
2012-3-22,489.8,489.8,489.8,489.8,1
2012-3-23,489.9,489.9,489.9,489.9,1
2012-3-26,489.8,489.8,489.8,489.8,1
2012-3-27,489.8,489.8,489.8,489.8,2
2012-3-28,489.8,489.8,489.8,489.8,1
2012-3-30,479.9,479.9,479.9,479.9,4
