Date,Open,High,Low,Close,Volume
2011-12-27,429.99,429.99,429.99,429.99,55
2011-12-28,429.99,429.99,429.99,429.99,32
2012-1-10,301.01,335.09,301.01,335,129
2012-1-11,350,350,350,350,1
2012-1-12,428.7,428.7,428.62,428.69,145
2012-1-17,429.98,429.98,403,403,132
2012-1-18,351,351,351,351,100
2012-1-19,337,337,337,337,31
2012-1-26,335.15,335.15,335,335,5
2012-1-27,336,336,336,336,141
2012-2-1,335,335,335,335,1
2012-2-2,420,429.99,420,429.99,40
2012-2-3,335.02,374.98,325,374.98,90
2012-2-6,330.02,330.02,330.02,330.02,50
2012-2-7,341.73,341.73,341.73,341.73,2
2012-2-9,380,380,380,380,42
2012-2-10,399.99,399.99,390,390,110
2012-2-13,330,360,330,350,135
2012-2-14,380,390,380,390,110
2012-2-15,390,390,390,390,36
2012-2-16,442,442,390,390,52
2012-2-17,380,390,380,390,150
2012-2-20,381,399.99,380,390,430
2012-2-21,328.5,328.5,328.5,328.5,102
2012-2-22,340.05,399.99,340.05,390,810
2012-2-24,380,390,380,390,78
2012-2-27,370.01,385,370,385,16
2012-2-28,390,390,390,390,171
2012-2-29,345,345,345,345,1
2012-3-1,380,380,380,380,50
2012-3-6,370.01,370.01,370,370,100
2012-3-15,360,360.16,359.99,360.16,38
2012-3-16,360,360,360,360,1
2012-3-20,370,370,370,370,1
2012-3-22,363.01,363.01,363,363,100
2012-3-23,360,360,359.99,360,37
2012-3-29,360,360,360,360,32
2012-4-2,370.01,370.01,370,370,14
2012-4-12,361,361,361,361,6
2012-4-16,301,385,301,385,400
2012-4-25,360,360,343,343,110
2012-4-27,350,350,350,350,100
2012-4-28,300,388.88,300,350,311
2012-5-2,350,350,350,350,61
2012-5-5,330,330,330,330,50
2012-5-11,300,310,300,310,16
2012-5-12,203,334.99,203,330,142
2012-5-16,300,300,300,300,50
2012-5-17,310,310,309.99,310,64
2012-5-18,240,380,240,340,400
2012-5-23,301,301,301,301,36
2012-5-28,384,384.9,380,384.9,206
2012-5-29,350,350,350,350,13
2012-5-31,350,350,350,350,100
2012-6-4,275,340,275,340,600
2012-6-8,370,370,370,370,30
2012-6-9,301.02,374.96,301.02,374.96,360
2012-6-13,375,384,375,384,40
2012-6-14,280.09,369.98,280.09,369.98,200
2012-6-18,282.01,282.01,282.01,282.01,1
2012-6-19,319.99,319.99,275.01,275.01,2
2012-6-20,290,290,290,290,35
2012-6-25,250.2,359.99,250.2,359.99,400
2012-6-26,315,335,300.5,305,9
2012-6-29,315,315,300,314.93,38
2012-7-2,316,316,316,316,2
2012-7-3,337.99,338,337.99,338,65
2012-7-4,370,370,370,370,1
2012-7-5,370.01,370.01,370.01,370.01,2
2012-7-10,270,270,270,270,1
2012-7-13,300.02,334,300.02,334,110
2012-7-16,369.99,370,369.99,370,150
2012-7-17,359,359,359,359,1
2012-7-20,283.02,370,283.02,369.99,343
2012-7-23,300.1,368,300.1,368,140
2012-7-24,303,365,303,365,320
2012-8-2,261.07,300,261.07,300,100
2012-8-8,280,280,280,280,90
2012-8-9,368,368,350,350,92
2012-8-13,290.91,460.5,290.91,359.99,1008
2012-8-14,354,392.9,315.1,330,57
2012-8-15,325,345,310,345,619
2012-8-16,320,320,320,320,1
2012-8-17,315,315,315,315,1
2012-8-20,320,320,320,320,70
2012-8-22,325,325,325,325,1
2012-8-23,320,334.99,320,334.99,140
2012-8-28,320,320,320,320,3
2012-8-29,303,333,303,333,200
2012-9-4,300,311,300,311,51
2012-9-5,339.99,340,321.51,321.51,75
2012-9-7,320,320,310,320,66
2012-9-10,320,320,320,320,1
2012-9-12,320,320,320,320,2
2012-9-17,320.01,320.01,320.01,320.01,10
2012-9-18,315,315,315,315,1
