Date,Open,High,Low,Close,Volume
2006-8-28,100,100,100,100,0
2006-9-28,170,170,170,170,0
2006-10-5,99,99,99,99,0
2006-12-29,99,99,99,99,1
2007-1-29,120,120,1,20.01,0
2007-4-5,24.05,85,23,82.49,3
2007-4-6,71,92,67,67,1
2007-4-9,57,85,57,80,1
2007-4-18,95,98.89,95,98.89,0
2007-4-19,99,99.99,99,99.99,0
2007-5-2,99.99,100,99.99,100,0
2007-5-3,100,100,100,100,0
2007-5-7,110,110,110,110,0
2007-5-10,126.5,272.7,126.5,266.66,12
2007-5-11,152.37,359.99,152.37,340,31
2007-5-14,390,603,390,470,9
2007-5-15,479,631,479,624,16
2007-5-16,700,700,480,633,6
2007-5-17,560,640,550,640,1
2007-5-18,495.01,570,392.7,392.7,3
2007-5-21,400,400,300,300,2
2007-5-23,280,280,221,221,1
2007-5-24,210,210,205,205,0
2007-5-25,200,200,200,200,0
2007-6-7,360,360,360,360,0
2007-6-15,234.99,234.99,200,220,1
2007-6-19,220,220,220,220,0
2007-7-3,216,216,216,216,0
2007-7-4,167.76,167.76,167.76,167.76,0
2007-7-5,167.86,167.86,167.75,167.75,0
2007-7-6,167.75,167.75,167.75,167.75,0
2007-7-11,167.75,167.75,167.75,167.75,0
2007-7-12,167.75,167.76,167.75,167.76,0
2007-7-18,174.99,174.99,174.99,174.99,0
2007-7-20,172,172,170,170,3
2007-7-24,149.99,150,149.99,149.99,1
2007-7-31,160,160,160,160,1
2007-8-8,145,145,140,140,1
2007-8-9,160,160,160,160,0
2007-8-30,140,140,140,140,0
2007-8-31,130,130,130,130,0
2007-9-4,130,130,130,130,1
2007-9-18,145,145,145,145,0
2007-9-25,120,150,120,150,0
2007-10-8,130,145,130,145,1
2007-10-26,130,130,130,130,0
2007-11-1,125,143,125,125,0
2007-11-2,121,121,121,121,0
2007-11-13,140,140,140,140,0
2007-11-22,145,145,143,143,0
2007-11-26,145,145,145,145,0
2007-12-3,140,140,140,140,1
2007-12-6,139,140,139,140,1
2007-12-12,149,150,149,150,0
2007-12-17,155,155,155,155,0
2007-12-20,121,121,121,121,0
2007-12-21,140,140,121,130,0
2007-12-25,137,150,137,150,0
2007-12-27,140,170,140,170,0
2007-12-28,150,195,150,195,1
2008-1-9,200,250,200,250,1
2008-1-10,260,315,260,300,2
2008-1-11,325,429.99,310,310,4
2008-1-14,310.01,310.01,310,310,1
2008-1-16,280,280,280,280,0
2008-1-17,330,330,330,330,0
2008-1-18,300,350,300,310,1
2008-1-24,330,330,330,330,0
2008-1-25,320,320,320,320,0
2008-1-30,320,320,320,320,0
2008-2-1,209,270,209,230,1
2008-2-4,235,235,235,235,1
2008-2-7,200,200,200,200,0
2008-2-12,240,240,240,240,0
2008-2-13,237,240,237,240,0
2008-2-19,250,270,250,269,0
2008-2-20,215,215,215,215,0
2008-2-21,243,247,243,247,0
2008-2-22,279,279,270,270,0
2008-2-29,206,206,206,206,0
2008-3-3,205,220,205,220,0
2008-3-4,230,230,230,230,0
2008-3-5,235,235,235,235,0
2008-3-21,205,205,205,205,0
2008-3-25,230,230,230,230,0
2008-3-26,245,245,245,245,0
2008-3-27,220,220,210,220,0
2008-4-2,206,206,206,206,0
2008-4-15,180.5,180.5,170,176.01,1
2008-4-21,156.04,156.04,156.04,156.04,0
2008-4-23,160,160,160,160,0
2008-4-28,156.04,156.04,156.04,156.04,0
2008-5-4,156.04,156.04,156.04,156.04,0
2008-5-7,157,157,156.04,156.04,0
2008-5-12,156.04,156.04,156.04,156.04,0
2008-5-13,170,170,161.07,161.07,0
2008-5-15,162,171.01,162,171.01,0
2008-5-21,179,210,179,210,0
2008-5-22,276.07,276.07,230,230,1
2008-5-23,235,240,200,240,1
2008-5-26,245,250,205,205,1
2008-5-27,200.17,207,200.17,207,0
2008-5-28,188,210,188,198,1
2008-5-29,212,212,212,212,0
2008-5-30,239,260,205,255,3
2008-6-2,187,279,187,258.7,2
2008-6-3,212,254,212,254,4
2008-6-4,223.3,259.99,223.29,259.99,6
2008-6-5,223.3,264.9,223.3,263.7,4
2008-6-7,328,328,240.07,240.07,0
2008-6-9,230.07,279.88,230.07,279.88,0
2008-6-10,231.01,287.99,231.01,259.99,2
2008-6-11,330,338,251,265,2
2008-6-16,270,305,260,270,2
2008-6-17,285,285,285,285,0
2008-6-18,305,354,300,310,3
2008-6-20,300,370,271.01,370,3
2008-6-23,340.01,510,273.04,327.78,12
2008-6-24,342,435,342,400,11
2008-6-25,410,412,381,382,2
2008-6-26,400,407,362.01,400,3
2008-6-27,368,400,368,376,2
2008-6-30,376,376,330,330.01,1
2008-7-1,350,350,299,299,2
2008-7-2,260,271,220.06,271,8
2008-7-3,270,270,251,268.75,1
2008-7-4,243.01,279.99,243.01,253,4
2008-7-7,299.99,299.99,251.01,263,3
2008-7-8,255.55,255.55,243,250,1
2008-7-9,265,265,265,265,0
2008-7-10,217.01,299.96,217.01,230.01,83
2008-7-11,234.8,249.99,234.8,249.99,1
2008-7-14,225.07,235,225.07,235,0
2008-7-15,205.58,220,205.58,216,2
2008-7-16,202.01,243,202.01,230,2
2008-7-17,230,248.99,221,248.99,3
2008-7-18,237,237,235,235,1
2008-7-21,248,248,248,248,0
2008-7-23,214.02,234.99,214.02,230,7
2008-7-24,228,301,218.8,248.99,10
2008-7-28,207.57,249.99,205.01,248,13
2008-7-29,210.02,249.93,210.02,240,9
2008-7-30,220.03,239.99,216.71,216.71,5
2008-7-31,209.01,247,205.6,208.02,17
2008-8-1,205.01,229.45,205.01,214.99,6
2008-8-4,215,217,215,217,0
2008-8-5,205.01,217.99,200,200,6
2008-8-6,189.01,224.99,189.01,224.18,11
2008-8-7,189.11,222.5,189.11,214.99,6
2008-8-8,192.02,214.98,165.01,213.38,8
2008-8-12,182,213.3,182,213,1
2008-8-13,188.11,213.99,188.11,213.99,4
2008-8-15,186.11,212.99,186.11,196,4
2008-8-18,171.57,200,170.58,193,3
2008-8-19,175.1,180,175,180,1
2008-8-20,180,180,180,180,0
2008-8-21,177.01,198.98,170,170,3
2008-8-22,161.01,183,150,180,1
2008-8-25,157.52,196.99,157.52,177,7
2008-8-26,160.03,172.98,152.11,152.11,3
2008-8-27,151.92,180.91,151.92,174.99,6
2008-9-2,221.9,221.9,170,178,1
2008-9-3,161.05,190,161.05,175.2,2
2008-9-4,160.01,189.69,160.01,160.58,15
2008-9-5,152,179,152,170,3
2008-9-8,193,193,151.95,178.9,3
2008-9-10,142,163,142,163,0
2008-9-11,175,177.5,140,174,8
2008-9-12,155.55,169,150.55,164,2
2008-9-15,169,169,169,169,0
2008-9-16,139,139,138.19,138.19,0
2008-9-17,105.57,105.57,105.57,105.57,0
2008-9-19,105.57,125,105.57,124.99,1
2008-9-22,133,133,111.11,125,1
2008-9-23,120,120,120,120,0
2008-9-24,127,127,125.5,125.5,0
2008-9-25,111.57,119,104.21,110,2
2008-9-26,115,118.88,108.88,114.97,0
2008-9-29,125,125,125,125,0
2008-10-2,108.89,108.89,105.1,108,1
2008-10-7,104.21,104.21,104.21,104.21,0
2008-10-9,104.25,104.25,104.25,104.25,0
2008-10-22,118,127.87,104.21,104.21,1
2008-10-28,113,145.88,96,119,514
2008-10-29,120,120,120,120,0
2008-10-30,125,125,125,125,0
2008-10-31,103,103,102,102,0
2008-11-5,103,103,103,103,0
2008-11-6,96,96,95,95,0
2008-11-11,97,97,97,97,0
2008-11-14,99,99,80,80,0
2008-11-18,77.53,77.53,77.53,77.53,10
2008-11-19,79.99,79.99,77.53,77.53,20
2008-11-25,77.53,80,77.53,77.53,1
