Date,Open,High,Low,Close,Volume
2006-3-22,4,4.1,4,4.1,151
2006-4-27,4,4,4,4,1
2006-7-28,5,5,5,5,4
2006-10-6,4.9,6.4,4.9,6.4,702
2006-11-2,6.7,9.5,6.7,9.5,250
2006-11-21,5,5,4.3,4.3,499
2006-11-27,5,5,5,5,3
2006-11-30,8.9,8.9,4.602,5.2,44
2006-12-5,8.795,8.9,5.601,8.79,129
2006-12-6,8.79,8.79,6.001,7.89,8
2006-12-7,8.9,8.9,6.001,6.585,78
2006-12-8,8.5,8.5,6.006,6.006,8
2006-12-11,8,8,6.7,6.7,12
2006-12-12,6.501,6.501,6.501,6.501,1
2006-12-13,7.99,10,7.99,10,1427
2006-12-14,11,11.99,10.33,11.2,1495
2006-12-15,10,13,7.7,11,298
2006-12-18,10.717,10.99,7.71,9,208
2006-12-19,8.9,11.489,8.499,9.9,438
2006-12-20,9.9,9.9,7.8,8.395,876
2006-12-21,8.9,11,7,8.235,1866
2006-12-22,8.8,8.8,7,7.38,331
2006-12-25,7,7.5,6.51,7.04,428
2006-12-26,6.14,7.397,6.14,7.2,92
2006-12-27,6.94,7.237,6.5,7.227,126
2006-12-28,7.1,7.5,6.901,7,272
2006-12-29,7.051,7.051,7,7,40
2007-1-9,6.651,7,6.65,6.667,66
2007-1-10,7,7,5.751,6.5,209
2007-1-11,6.99,7,6.7,6.712,130
2007-1-12,6.522,7.176,6.522,7.1,288
2007-1-15,7.1,7.628,7.1,7.628,4
2007-1-17,7.1,7.629,7.1,7.6,63
2007-1-18,7.6,7.64,7.2,7.2,129
2007-1-19,7.1,7.1,7.01,7.01,18
2007-1-22,7.011,7.011,6.8,7.01,32
2007-1-23,7.4,7.69,7.4,7.69,101
2007-1-24,7.5,7.5,7.475,7.475,2
2007-1-25,7.5,8,7.5,8,216
2007-1-26,8.1,8.26,7.8,7.8,171
2007-1-29,7.504,7.504,7.03,7.03,84
2007-1-30,7.1,7.23,7.1,7.2,16
2007-1-31,7.3,7.75,7.3,7.74,37
2007-2-1,7.5,7.5,7.5,7.5,15
2007-2-2,7.7,7.88,7.7,7.88,44
2007-2-5,7.55,7.551,7.5,7.551,6
2007-2-6,7.5,7.5,7.301,7.301,10
