Date,Open,High,Low,Close,Volume
2006-6-27,5439.5,5439.5,5050,5228,1062
2006-6-28,5199,5390,5105,5249.99,232
2006-6-29,5160.02,5232.85,5000,5195,1452
2006-6-30,5195,5250.01,5160,5170.02,4816
2006-7-3,5200,5202,5100,5170,1014
2006-7-4,5101,5129.99,5050,5088,185
2006-7-5,5050,5097,4805.04,5097,804
2006-7-6,5089.9,5190,5010,5084.99,3918
2006-7-7,5100,5100,5000,5078.98,169
2006-7-10,5000,5098.9,5000,5098.9,3098
2006-7-11,5129.9,5129.9,5000,5085,1250
2006-7-12,5100,5100,5000,5098,110
2006-7-13,5020,5089.99,5002.01,5089.99,151
2006-7-14,4950,5200,4950,5100,838
2006-7-17,5100,5160,5000,5139,721
2006-7-18,5100,5200,5040,5200,422
2006-7-19,5179.99,5215,5045,5215,1126
2006-7-20,5300,5400,5250,5335,2539
2006-7-21,5335,5750,5335,5750,1625
2006-7-24,5860.02,5860.02,5651,5732,640
2006-7-25,5630,5630,5540,5630,445
2006-7-26,5530,5699,5301.55,5663.16,683
2006-7-27,5700,5750,5600,5720,1046
2006-7-28,5710,5750,5656,5690,549
2006-7-31,5758.8,5900,5684.01,5897,853
2006-8-1,5899,5900,5800,5899,888
2006-8-2,5840,5950,5840,5950,350
2006-8-3,5974.5,6150,5900,6050,2845
2006-8-4,6100,6150,6000,6065.11,865
2006-8-7,6000,6000,5610,5860,557
2006-8-8,5899.99,5900,5811,5895,147
2006-8-9,5950,5950,5900,5900,938
2006-8-10,5900,5910,5865,5900,77
2006-8-11,5850,5930,5850,5930,840
2006-8-14,6000,6000.03,5900,5914.76,634
2006-8-15,5900,5970,5850,5960,1163
2006-8-16,5970,6100,5970,6000.01,519
2006-8-17,6049,6049,5920.01,5920.01,157
2006-8-18,6099.98,6099.99,5850,5990,1068
2006-8-21,5920,5987,5905,5949,528
2006-8-22,5980,6099.99,5940,5950,1533
2006-8-23,6046.99,6046.99,5902.01,5950,708
2006-8-24,6049.96,6050,5900,6000,514
2006-8-25,6050,6050,5925,6010,1218
2006-8-28,5931.01,6020,5930,6000,414
2006-8-29,6000,6050,5975,6000,1007
2006-8-30,6000,6041,6000,6041,127
2006-8-31,6042,6042,6000,6000,1615
2006-9-1,6049.7,6050,6000,6019,917
2006-9-4,6010,6048.99,6010,6029.89,578
2006-9-5,6048.99,6300,6030,6199,6284
2006-9-6,6198,6400,6198,6360,4560
2006-9-7,6300,6300,6203,6299.7,1518
2006-9-8,6300,6364.99,6251.01,6359.99,383
2006-9-11,6060,6300,6051,6278,1528
2006-9-12,6357,6400,6301,6370,2310
2006-9-13,6280,6400,6280,6400,808
2006-9-14,6350,6420,6301,6420,518
2006-9-15,6410,6850,6351,6575,2206
2006-9-18,6600,6849,6590,6847.9,1760
2006-9-19,6824.65,6825,6655.65,6820,936
2006-9-20,6800,6849,6755,6849,9724
2006-9-21,6850,6888,6650,6849,2486
2006-9-22,6700.01,6850,6700,6850,2055
2006-9-25,6777,6820,6700,6820,719
2006-9-26,6749,6810,6696.41,6810,281
2006-9-27,6300,6785,6300,6745.85,1177
2006-9-28,6700,6700,6635,6680,197
2006-9-29,6630,6669.9,6544,6669.9,381
2006-10-2,6600,6690,6587.02,6600,3392
2006-10-3,6525,6525,6450,6500,531
