Date,Open,High,Low,Close,Volume
2012-10-2,2400,2400,2270,2270,4
2012-10-3,2200,2265,2200,2265,2
2012-10-4,2210,2265,2200,2210,5
2012-10-9,2210,2210,2210,2210,10
2012-10-16,2210,2210,2210,2210,1
2012-10-22,2112,2112,2107,2107,3049
2012-10-29,2240,2240,2240,2240,2510
2012-11-7,2232,2232,2232,2232,505
2012-11-8,2250,2250,2250,2250,505
2012-11-9,2250,2250,2250,2250,307
2012-11-12,2207,2207,2207,2207,16123
2013-1-8,2207,2207,2207,2207,1
2013-1-10,2100,2100,2000,2000,6
2013-1-24,2100,2100,2000,2000,40
2013-3-21,2150,2150,2100,2100,12
2013-4-5,2150,2150,2150,2150,1
2013-10-22,2300,2300,2300,2300,10
2013-11-8,3250,3250,3250,3250,10
2014-11-11,3250,3250,3250,3250,1
2015-4-28,2990,2990,2990,2990,1
2015-5-7,2990,3480,1800,1840,14
2015-5-8,2560,2570,1830,2570,9
2015-5-12,2570,2930,1820,2930,5
2015-5-26,2980,2980,2980,2980,1
2015-6-9,1830,2980,1830,2500,18
2015-6-10,2880,3360,2880,3360,2
2015-6-11,2140,2340,2140,2340,19
2015-6-16,2150,2150,2100,2100,4
2015-6-18,1990,1990,1980,1980,3
2015-6-19,1990,2200,1990,2200,6
2015-6-23,2100,2100,2100,2100,4
2015-6-29,2100,2100,2100,2100,3
2015-6-30,2100,2100,2100,2100,4
2015-7-7,2100,2100,1950,1950,11
2015-7-8,2200,2200,2200,2200,21
2015-7-20,1870,2000,1860,1890,15
2015-7-22,1980,1980,1980,1980,1
2015-8-10,1780,2170,1780,2170,2
2015-8-11,1840,2370,1840,2370,3
2015-8-26,1910,1910,1840,1840,2
2015-8-28,2690,2690,2690,2690,1
2015-9-3,2350,2390,2350,2390,4
2015-9-7,2300,2300,2300,2300,1
2015-9-8,2300,3190,2300,3190,9
2015-9-9,3290,3490,3090,3090,24
2015-9-10,3010,3010,2720,2720,4
2015-9-11,2610,2870,2610,2840,3
2015-9-14,2800,3090,2710,2990,8
2015-9-15,2800,2990,2800,2890,7
2015-9-17,2990,2990,2990,2990,2
2015-9-21,3080,3080,3000,3000,2
2015-9-30,2790,2790,2790,2790,1
2015-10-1,2870,2870,2870,2870,1
2015-10-2,2990,2990,2990,2990,1
2015-10-14,2700,3090,2700,3090,5
2015-10-15,2990,2990,2850,2850,3
2015-10-19,2890,3090,2890,2990,8
2015-10-20,2950,2990,2930,2990,4
2015-10-21,2950,2990,2900,2990,4
2015-10-22,2950,2970,1870,2740,17
2015-10-26,2600,3820,2600,3070,19
2015-10-27,3050,3080,3050,3080,2
2015-10-28,3000,3000,3000,3000,1
2015-10-29,3080,3080,3080,3080,1
2015-10-30,3000,3080,2960,3080,4
2015-11-2,3000,3000,2930,2990,3
2015-11-3,2930,2930,2850,2850,2
2015-11-5,2800,2800,2800,2800,1
2015-11-10,2700,2870,2700,2800,4
2015-11-12,2730,2730,2730,2730,1
2015-11-13,2630,2980,2500,2500,4
2015-11-16,2550,2640,2550,2570,6
2015-11-17,2680,2680,2680,2680,1
2015-11-19,2600,3640,2600,2910,63
2015-11-20,3030,3030,2950,2950,2
2015-11-24,2990,2990,2990,2990,1
2015-11-25,2910,3200,2600,3090,20
2015-11-26,3040,3140,2810,3100,15
2015-11-27,3000,3080,2850,2850,16
2015-11-30,2940,2940,2930,2930,2
2015-12-1,3090,3090,2940,2940,7
2015-12-3,2940,2940,2940,2940,2
2015-12-4,2920,2920,2920,2920,1
2015-12-7,2940,2990,2940,2990,8
2015-12-8,2940,2990,2700,2830,18
2015-12-9,2890,2890,2780,2780,3
2015-12-10,2890,2890,2610,2710,12
2015-12-11,2790,2840,2710,2710,8
2015-12-15,2770,2930,2770,2830,21
2015-12-18,2880,2880,2810,2810,3
2015-12-21,2790,2790,2790,2790,1
2015-12-23,2760,2760,2760,2760,1
2015-12-30,2770,2770,2730,2730,4
2016-1-6,2840,2840,2790,2790,8
2016-1-11,2790,2790,2740,2740,8
2016-1-12,2800,2800,2740,2740,5
2016-1-15,2710,2710,2710,2710,1
2016-1-19,2760,3760,2760,3760,81
2016-1-20,3980,4320,3900,4180,9
2016-1-21,4270,4270,4270,4270,1
2016-1-22,3570,3570,3000,3420,26
2016-1-25,3060,3180,2800,3070,17
2016-1-26,3050,3180,3050,3120,4
2016-1-29,3020,3390,2800,2970,25
2016-2-1,2900,3220,2900,3220,9
2016-2-2,3240,3330,3000,3080,8
2016-2-3,3280,3970,3280,3470,27
2016-2-4,3300,3300,3070,3240,5
2016-2-5,3170,3240,3170,3240,2
2016-2-8,3170,3380,3170,3380,3
2016-2-9,3330,3380,3330,3380,4
2016-2-10,3330,3330,3330,3330,1
2016-2-11,3150,3150,3150,3150,1
2016-2-15,3240,3880,3240,3680,17
2016-2-16,3570,3570,3160,3200,26
2016-2-18,3200,3200,2800,3200,20
2016-2-19,3150,3170,3150,3170,4
2016-2-20,3240,3250,3240,3250,3
2016-2-25,3270,3270,3180,3180,2
2016-2-26,3170,3170,3170,3170,1
2016-2-29,3170,3170,3170,3170,1
2016-3-1,3200,3200,3180,3180,7
2016-3-2,3150,3150,3150,3150,1
2016-3-7,3240,3240,3150,3150,12
2016-3-10,3240,3240,3170,3170,3
2016-3-14,3170,3170,3170,3170,10
2016-3-18,3320,3780,3320,3420,7
2016-3-21,3400,3450,3250,3250,3
2016-3-23,3120,3120,3120,3120,1
2016-3-24,3100,3180,3100,3130,3
2016-3-25,3180,3180,3180,3180,2
2016-3-28,3250,3300,3250,3300,6
2016-3-29,3250,3250,3250,3250,3
2016-3-30,3070,3080,3000,3010,6
2016-3-31,2910,3000,2910,2980,4
2016-4-4,3100,3100,2900,2900,3
2016-4-13,3020,3020,3000,3000,12
2016-4-14,3080,3080,3080,3080,1
2016-4-22,3000,3180,3000,3180,4
2016-4-25,3130,3130,2760,3000,5
2016-5-4,3000,3000,3000,3000,1
2016-5-11,3080,3080,3030,3030,2
2016-5-16,3080,3080,3080,3080,1
2016-5-19,3030,3030,3000,3000,10
2016-5-30,2910,2910,2830,2880,3
2016-6-2,2980,3140,2980,3140,2
2016-6-7,3160,3160,3160,3160,1
2016-6-15,3050,3050,3000,3000,2
2016-6-17,3100,3100,3050,3050,5
2016-6-21,3000,3000,2830,2830,7
2016-6-22,2890,2950,2890,2950,4
2016-6-23,2940,2940,2930,2940,4
2016-6-27,2940,2940,2930,2930,10
2016-6-30,2930,2930,2930,2930,5
2016-7-6,2930,2940,2930,2940,2
2016-7-7,2930,2930,2930,2930,12
2016-7-22,2930,2930,2930,2930,1
2016-7-29,3080,3130,3030,3030,7
2016-8-1,3050,3480,3050,3420,27
2016-8-2,3370,3430,3320,3430,3
2016-8-3,3400,3400,3320,3320,5
2016-8-5,3330,3330,3330,3330,1
2016-8-8,4640,4640,3330,3440,6
2016-8-9,3490,3510,3490,3510,2
2016-8-10,3700,3760,3600,3600,3
2016-8-11,3460,3460,3300,3300,4
2016-8-12,3350,3350,3350,3350,1
