Date,Open,High,Low,Close,Volume
2012-10-9,2210,2210,2210,2210,10
2012-11-12,2207,2207,2207,2207,9714
2013-4-1,2100,2100,2100,2100,4
2014-1-28,2400,2400,2400,2400,2
2014-2-12,2340.2,2340.2,2340.2,2340.2,1
2014-7-16,2400,2400,2400,2400,1
2014-8-26,2500,2500,2500,2500,2
2015-2-12,2450,2450,2450,2450,1
2015-7-17,1500,1790,1500,1750,31
2015-7-20,1750,1800,1750,1800,6
2015-7-21,1900,1900,1900,1900,1
2015-7-22,1840,2500,1840,2500,7
2015-7-27,1730,2290,1720,2290,5
2015-8-13,2900,2900,2900,2900,1
2015-8-25,2900,2900,2900,2900,1
2015-8-26,3400,3400,3400,3400,1
2015-8-27,4700,4700,4700,4700,1
2015-8-28,6480,6480,6480,6480,1
2015-9-2,8780,8780,8780,8780,1
2015-9-3,10000,11550,10000,11550,2
2015-9-4,15500,15500,15500,15500,1
2015-9-8,20000,20000,20000,20000,1
2015-9-9,20000,20000,20000,20000,1
2015-9-11,20000,27500,20000,27500,2
2015-9-14,23500,23500,23500,23500,4
2015-9-22,19900,19900,19900,19900,1
2015-9-29,25500,25500,25500,25500,1
2015-10-2,27500,27500,27500,27500,1
2015-10-8,24500,24560,24500,24560,2
2015-10-14,24000,24000,24000,24000,1
2015-10-26,24000,24000,24000,24000,1
2015-12-29,22300,22300,22300,22300,1
2016-1-12,22300,22300,22300,22300,1
2016-1-29,23000,23600,23000,23600,2
2016-2-2,20200,20200,20200,20200,1
2016-2-16,13600,13600,13600,13600,1
2016-3-16,10000,10000,10000,10000,1
2016-3-17,11000,11000,11000,11000,1
2016-4-22,8000,13000,8000,13000,2
2016-4-29,8900,8900,8800,8800,2
2016-7-29,9200,12000,9200,12000,9
2016-8-1,11600,13900,11600,13900,2
2016-8-3,10000,13500,10000,13200,9
2016-8-5,13800,13800,13800,13800,1
2016-8-8,14000,14900,14000,14000,6
2016-8-11,12800,12800,12800,12800,1
2016-8-12,14900,14900,14900,14900,1
2016-8-23,13800,13800,13800,13800,1
2016-8-31,10000,10100,9400,9600,18
2016-9-1,9500,9500,9500,9500,1
2016-9-2,9500,9500,9400,9400,2
2016-9-6,9400,9400,9000,9000,12
2016-9-7,9000,9000,8800,8800,3
2016-9-8,8700,8700,8300,8500,6
2016-9-9,8500,8700,8500,8600,4
2016-9-13,8600,8600,8600,8600,1
2016-9-14,8600,8700,8600,8600,3
2016-9-15,8600,8700,8600,8700,2
2016-9-16,8600,8600,8400,8500,7
2016-9-19,8400,8400,8300,8300,4
2016-9-20,8200,8200,7800,7800,8
2016-9-21,7900,8200,7900,8000,6
2016-9-23,8100,8100,8000,8000,2
2016-9-26,8100,8600,8100,8600,15
2016-9-27,8700,8700,8700,8700,2
2016-9-28,8600,8600,8600,8600,1
2016-9-29,8500,8600,8500,8600,2
2016-10-3,8700,8700,8700,8700,1
2016-10-4,8700,8700,8700,8700,1
2016-10-14,8700,8700,8700,8700,1
2016-10-19,8500,8500,7300,7300,4
2016-10-21,8300,8300,8300,8300,1
2016-10-28,8700,8700,8500,8500,2
2016-11-1,8700,8700,8700,8700,1
2016-11-2,8600,8600,8600,8600,1
2016-11-21,8800,8800,8800,8800,1
2016-11-25,7000,8100,7000,8100,5
2016-11-28,8200,8200,8200,8200,1
2016-11-29,8300,8300,8300,8300,1
2016-12-1,8200,8200,8100,8100,2
2016-12-2,8300,8300,8300,8300,1
2016-12-5,8100,8100,8000,8000,2
2016-12-7,8100,8100,8000,8000,2
2016-12-9,7900,7900,7700,7900,4
2016-12-16,8000,8000,8000,8000,1
2016-12-19,7800,7800,7700,7800,3
2016-12-20,7900,7900,7900,7900,1
2016-12-22,7000,7400,7000,7300,9
2016-12-23,7400,7900,7400,7900,5
2016-12-26,8100,8100,8100,8100,1
2017-1-4,7600,7600,7600,7600,1
2017-1-5,7200,8000,7200,8000,6
2017-1-13,7900,7900,7600,7600,4
2017-1-16,7700,7700,7300,7300,4
2017-1-17,7200,7200,7100,7100,3
2017-1-18,7200,7500,7100,7100,8
2017-1-19,7100,7100,6900,6900,2
2017-1-20,7000,7000,7000,7000,1
2017-1-23,7000,7000,7000,7000,1
2017-1-24,7000,7000,7000,7000,1
2017-1-26,6900,6900,6900,6900,1
2017-1-27,6900,6900,6900,6900,1
2017-1-30,6900,6900,6600,6600,5
2017-1-31,6600,6600,6600,6600,1
2017-2-1,6500,6500,6500,6500,1
2017-2-2,6500,6500,6500,6500,1
2017-2-3,6500,6500,6500,6500,1
2017-2-6,6400,6400,6200,6200,4
2017-2-7,6100,6300,5800,6100,13
2017-2-8,6300,6700,6300,6500,8
2017-2-9,6400,6600,6400,6600,2
2017-2-20,6400,6400,6200,6200,3
2017-2-24,6400,6400,6400,6400,1
2017-3-2,6500,6500,6500,6500,1
2017-3-24,6500,6500,6500,6500,1
2017-4-4,6400,6400,6400,6400,1
2017-4-6,6300,6300,6300,6300,1
2017-4-11,6200,6200,6100,6100,2
2017-4-25,6000,6000,6000,6000,1
2017-4-26,6000,6100,6000,6100,2
2017-4-27,4400,6100,4400,6100,3
2017-5-5,5900,5900,5900,5900,1
2017-5-10,5900,5900,4500,4500,2
2017-5-15,5700,5700,5700,5700,1
2017-5-18,5400,5400,5400,5400,1
2017-5-19,5400,5400,5400,5400,1
2017-8-3,4000,4800,4000,4800,6
2017-8-4,4600,4600,4600,4600,1
2017-8-7,4000,4100,4000,4100,7
2017-8-9,4100,4500,4000,4000,4
2017-8-10,4100,4100,4100,4100,3
2017-8-31,4500,4500,4500,4500,1
2017-9-8,3100,3400,3100,3400,12
2017-9-11,4600,4600,4600,4600,1
2017-9-12,4500,4500,4500,4500,1
2017-9-13,3600,3600,3500,3500,2
2017-9-14,3600,5100,3600,5100,6
2017-9-15,5500,6600,5500,6600,4
2017-9-18,6000,6000,4500,5400,79
2017-9-19,5400,5500,4700,5000,8
2017-9-20,4700,5000,4200,5000,9
2017-9-21,4900,4900,4900,4900,1
2017-9-28,4200,4400,4000,4000,12
2017-9-29,4800,4800,4100,4200,3
2017-10-2,4000,4200,3900,4100,23
2017-10-3,4000,4600,4000,4500,44
2017-10-4,4200,4300,3300,4000,65
2017-10-6,4400,4500,4100,4200,11
2017-10-9,4000,4000,4000,4000,7
2017-10-12,4000,4200,4000,4100,5
2017-10-18,4000,4000,4000,4000,1
2017-10-19,4000,4000,4000,4000,3
2017-10-20,3900,3900,3900,3900,1
2017-10-23,3800,3800,3800,3800,1
2017-10-24,3900,4000,3900,4000,2
2017-10-25,3800,3800,3800,3800,1
2017-10-26,3700,3900,3700,3900,2
2017-10-27,3700,3800,3700,3700,4
2017-10-30,3700,3700,3700,3700,1
2017-10-31,3700,5100,3700,5100,71
2017-11-1,5100,7000,5100,5500,98
2017-11-2,5100,5100,4000,4700,47
2017-11-3,5100,5100,4000,4400,44
2017-11-7,4400,4500,4400,4500,5
2017-11-8,4300,4600,4300,4600,3
2017-11-9,4500,4700,4500,4700,4
2017-11-10,4500,4600,4500,4500,3
2017-11-13,4400,4400,4400,4400,1
2017-11-14,4300,4400,4100,4100,21
2017-11-15,4300,4500,4300,4500,6
2017-11-16,4200,4900,4000,4100,95
2017-11-17,4200,4200,3900,4100,18
2017-11-20,4000,4100,3900,4000,5
2017-11-21,4000,4000,4000,4000,1
2017-11-23,3900,4000,3700,4000,12
2017-11-27,4000,4000,4000,4000,2
2017-12-1,3800,3900,3800,3800,6
2017-12-6,3800,4000,3800,4000,4
2017-12-7,3900,4200,3500,3900,17
2017-12-8,4000,4000,4000,4000,1
2017-12-14,3800,3900,3400,3800,11
2017-12-20,3700,3900,3400,3700,9
2017-12-25,3900,3900,3700,3700,11
2017-12-26,3900,4000,3800,4000,7
2017-12-27,3800,3900,3200,3800,18
2017-12-29,3700,3900,3700,3900,2
2018-1-5,3900,4200,3900,4000,5
2018-1-9,4100,4100,4100,4100,1
2018-1-10,4000,4000,4000,4000,2
2018-1-16,3900,3900,3900,3900,1
2018-1-19,4000,4000,4000,4000,2
2018-1-22,3800,4000,3800,4000,3
2018-1-23,4000,4000,4000,4000,1
2018-1-24,3900,4000,3900,4000,2
2018-1-26,4100,4900,4000,4000,151
2018-1-29,4000,4000,3700,3900,12
2018-1-30,4000,4000,3900,4000,5
2018-2-1,3900,3900,3900,3900,4
2018-2-2,3900,3900,3800,3900,6
2018-2-6,3800,3800,3800,3800,2
2018-2-9,3700,3700,3700,3700,1
2018-2-27,4000,4000,3900,4000,7
2018-2-28,3700,3900,3700,3900,2
2018-3-2,4000,4000,4000,4000,5
2018-3-12,4000,4000,4000,4000,3
2018-3-13,4000,4000,4000,4000,2
2018-3-19,3800,3900,3800,3900,4
2018-3-23,4000,4000,4000,4000,1
2018-3-26,3900,3900,3900,3900,1
2018-3-28,3700,3800,3700,3800,3
2018-3-30,3900,3900,3900,3900,1
2018-4-2,3900,3900,3800,3800,3
2018-4-3,3800,3800,3800,3800,2
2018-4-4,3600,3700,3500,3500,6
2018-4-5,3700,3700,3500,3500,5
2018-4-10,3900,4000,3700,3700,4
2018-4-11,3500,3700,3500,3700,2
2018-4-12,3500,3500,3500,3500,1
2018-4-16,3500,3500,3500,3500,1
2018-4-17,3700,3800,3700,3800,3
2018-4-18,3800,3900,3400,3600,10
2018-4-19,3800,3900,3600,3600,3
2018-4-20,3600,3800,3600,3700,3
2018-4-25,3500,3700,3500,3700,5
2018-4-26,3700,3700,3700,3700,1
2018-4-27,3500,3600,3500,3600,4
2018-4-28,3600,3600,3600,3600,2
2018-4-30,3500,3700,3500,3600,6
2018-5-2,3600,3600,3500,3600,5
2018-5-3,3700,3700,3700,3700,2
2018-5-4,3700,3700,3500,3700,3
2018-5-7,3800,3800,3800,3800,1
2018-5-8,3800,4200,3800,4000,13
2018-5-14,4100,4400,4000,4000,24
2018-5-15,4000,4000,4000,4000,7
2018-5-16,3800,3900,3700,3700,11
2018-5-21,3900,3900,3900,3900,1
2018-5-23,3700,3700,2900,3500,341
2018-5-24,3200,3400,3100,3400,36
2018-5-25,3300,3400,3100,3400,31
2018-5-28,3400,3400,3200,3200,4
2018-5-29,3200,3300,3200,3200,5
2018-5-30,3600,3900,3200,3300,25
2018-5-31,3300,3300,3300,3300,3
2018-6-1,3300,3400,3200,3300,12
2018-6-4,3200,3300,3200,3300,7
2018-6-5,3200,3300,3200,3200,17
2018-6-6,3300,3300,3300,3300,1
2018-6-7,3200,3200,2500,3000,129
2018-6-8,3100,3100,3000,3000,4
2018-6-9,3200,3200,3100,3100,2
2018-6-13,3100,3100,3100,3100,1
2018-6-14,3100,3100,3100,3100,1
2018-6-15,3000,3000,3000,3000,2
2018-6-20,3000,3000,2900,2900,16
2018-6-21,3000,3000,3000,3000,1
2018-6-25,2900,3000,2900,3000,3
2018-6-26,2900,3000,2900,2900,44
2018-6-27,2900,2900,2800,2900,6
2018-6-28,2900,3000,2700,2800,12
2018-6-29,2900,3000,2900,2900,5
2018-7-2,2900,2900,2900,2900,2
2018-7-3,2900,3000,2900,2900,4
2018-7-4,2900,2900,2900,2900,3
2018-7-11,2800,2800,2800,2800,1
2018-7-16,2800,2900,2800,2900,3
2018-7-17,2800,2800,2700,2800,5
2018-7-18,2900,2900,2900,2900,1
2018-7-19,2900,3100,2800,3000,54
2018-7-20,3200,3300,2300,2900,43
2018-7-23,3000,3000,3000,3000,1
2018-7-24,2800,2900,2700,2900,12
2018-7-25,2800,2800,2800,2800,2
2018-7-30,2900,2900,2900,2900,1
2018-8-1,2700,2700,2700,2700,1
2018-8-6,2700,2700,2700,2700,6
2018-8-8,2700,2700,2700,2700,1
2018-8-9,2800,2800,2700,2700,3
2018-8-23,2700,2700,2700,2700,1
2018-8-27,2800,2800,2800,2800,5
2018-9-13,2600,2700,2600,2700,5
2018-9-14,2600,2700,2600,2700,3
2018-9-20,2500,2600,2400,2600,5
2018-9-27,2500,2500,2500,2500,1
2018-10-2,2700,2700,2700,2700,3
2018-10-3,2500,2600,2400,2600,6
2018-10-12,2700,2700,2700,2700,1
2018-10-15,2500,2500,2500,2500,1
2018-10-18,2700,2700,2700,2700,1
2018-10-23,2500,2500,2500,2500,1
