Date,Open,High,Low,Close,Volume
2007-5-28,0.1449,0.1749,0.14,0.1416,422249
2007-5-29,0.142,0.1449,0.1378,0.1395,487661
2007-5-30,0.1377,0.139,0.1355,0.1385,470096
2007-5-31,0.1399,0.145,0.1396,0.1448,411097
2007-6-1,0.145,0.1465,0.1438,0.1451,342123
2007-6-4,0.145,0.145,0.1409,0.143,233933
2007-6-5,0.143,0.1445,0.1419,0.1428,187702
2007-6-6,0.1428,0.1435,0.1398,0.1419,209481
2007-6-7,0.1415,0.1422,0.1408,0.141,104084
2007-6-8,0.1402,0.1436,0.14,0.143,336658
2007-6-9,0.1429,0.1439,0.1424,0.1426,74575
2007-6-13,0.1426,0.1433,0.1415,0.1432,68995
2007-6-14,0.1438,0.1468,0.1433,0.1466,361879
2007-6-15,0.147,0.1475,0.144,0.1452,495375
2007-6-18,0.1488,0.1488,0.1437,0.1446,130352
2007-6-19,0.1441,0.1446,0.1434,0.1436,120000
2007-6-20,0.1444,0.1459,0.1436,0.1451,205356
2007-6-21,0.145,0.145,0.1435,0.1438,112719
2007-6-22,0.1445,0.1445,0.1426,0.1429,134519
2007-6-25,0.1428,0.1428,0.1412,0.1419,118067
2007-6-26,0.142,0.143,0.1412,0.142,135475
2007-6-27,0.1419,0.1422,0.1401,0.1409,229655
2007-6-28,0.1418,0.142,0.1407,0.1413,111272
2007-6-29,0.1412,0.1417,0.1399,0.1409,120926
2007-7-2,0.1418,0.1418,0.1397,0.14,204671
2007-7-3,0.14,0.1409,0.1392,0.1404,608114
2007-7-4,0.1402,0.1405,0.1391,0.1398,561430
2007-7-5,0.14,0.1403,0.1394,0.1401,155577
2007-7-6,0.1394,0.1411,0.1394,0.1401,244080
2007-7-9,0.1404,0.1414,0.1399,0.1411,211892
2007-7-10,0.141,0.141,0.1394,0.14,324104
2007-7-11,0.1394,0.1402,0.1391,0.1397,267766
2007-7-12,0.1396,0.141,0.1396,0.1407,322683
2007-7-13,0.1413,0.1417,0.14,0.1407,275931
2007-7-16,0.1405,0.1405,0.1394,0.1404,192152
2007-7-17,0.14,0.1401,0.1386,0.1397,158454
2007-7-18,0.1395,0.1395,0.1382,0.1386,325140
2007-7-19,0.1386,0.14,0.1385,0.1395,496708
2007-7-20,0.14,0.1406,0.1388,0.1397,205267
2007-7-23,0.1392,0.1406,0.139,0.1403,258959
2007-7-24,0.14,0.1406,0.139,0.1396,324507
2007-7-25,0.1399,0.1406,0.1389,0.1404,159610
2007-7-26,0.1404,0.1405,0.1373,0.1377,333077
2007-7-27,0.1365,0.1375,0.136,0.1367,227462
2007-7-30,0.1362,0.1374,0.1348,0.1353,501815
2007-7-31,0.136,0.137,0.1357,0.1367,218078
2007-8-1,0.1359,0.1362,0.1338,0.1352,593300
2007-8-2,0.1362,0.1366,0.1355,0.1363,421584
2007-8-3,0.136,0.1375,0.1357,0.1369,255507
2007-8-6,0.136,0.1361,0.1344,0.1352,669968
2007-8-7,0.136,0.136,0.1331,0.1336,550879
2007-8-8,0.1344,0.1346,0.1331,0.1341,771826
2007-8-9,0.1349,0.1349,0.1312,0.1322,712566
2007-8-10,0.131,0.1314,0.1266,0.128,504645
2007-8-13,0.129,0.129,0.1272,0.1281,370710
2007-8-14,0.1278,0.1279,0.1258,0.1259,212621
2007-8-15,0.1242,0.1248,0.1225,0.1226,363952
2007-8-16,0.1202,0.1215,0.1153,0.1179,1046182
2007-8-17,0.1172,0.1193,0.1125,0.1183,1339294
2007-8-20,0.1185,0.1198,0.114,0.1158,1058904
2007-8-21,0.1165,0.1165,0.1125,0.1144,812106
2007-8-22,0.115,0.1204,0.1138,0.1198,1492885
2007-8-23,0.1211,0.1233,0.1186,0.12,1905575
2007-8-24,0.1195,0.1209,0.1182,0.1201,886058
2007-8-27,0.121,0.1219,0.1201,0.1209,508533
2007-8-28,0.1201,0.1205,0.1181,0.1191,368103
2007-8-29,0.117,0.1205,0.1158,0.1192,770910
2007-8-30,0.1205,0.1205,0.1187,0.119,536984
2007-8-31,0.1205,0.1207,0.1189,0.12,633971
2007-9-3,0.12,0.1203,0.1184,0.1187,404261
2007-9-4,0.118,0.1194,0.1177,0.1185,424408
2007-9-5,0.1191,0.1191,0.1174,0.1178,301620
2007-9-6,0.1177,0.1189,0.1173,0.1187,205107
2007-9-7,0.119,0.119,0.1137,0.1144,745010
2007-9-10,0.1135,0.1148,0.1113,0.112,1179111
2007-9-11,0.1123,0.1125,0.1101,0.111,922670
2007-9-12,0.1119,0.1119,0.1079,0.1086,1087762
2007-9-13,0.1088,0.1104,0.108,0.1099,1112452
2007-9-14,0.1105,0.1109,0.1071,0.1078,1272933
2007-9-17,0.1076,0.1082,0.1044,0.1047,1060142
2007-9-18,0.1042,0.1098,0.1037,0.1082,1987326
2007-9-19,0.11,0.1137,0.1096,0.1129,2701265
2007-9-20,0.1135,0.1195,0.111,0.1182,2960768
2007-9-21,0.117,0.1222,0.1165,0.1214,3975035
2007-9-24,0.1224,0.1261,0.1217,0.1242,3717185
2007-9-25,0.1236,0.1255,0.1187,0.1192,3032977
2007-9-26,0.1208,0.123,0.1203,0.1224,2342569
2007-9-27,0.1235,0.1242,0.1171,0.1178,4132332
2007-9-28,0.1177,0.1185,0.1145,0.1151,3266193
