Date,Open,High,Low,Close,Volume
2006-4-27,815,857,790,790.01,1927
2006-4-28,824.44,825,782,825,990
2006-5-3,845.62,845.62,824.99,824.99,12
2006-5-4,805.1,810,805.1,810,276
2006-5-5,824,830,800,814.99,399
2006-5-6,802.1,828,802.1,828,59
2006-5-10,805,805,803.1,803.1,84
2006-5-11,800,808,800,808,8
2006-5-12,843.7,843.7,755,798,137
2006-5-15,765,789.99,763.21,778,361
2006-5-16,765,784.9,763,784.9,349
2006-5-17,785,785,733,760,653
2006-5-18,700.01,747,630.02,730,849
2006-5-19,730.01,744.5,721,744.5,496
2006-5-22,738,757,677,677,361
2006-5-23,600.04,700,600,650,96
2006-5-24,600.04,719,600.03,699,621
2006-5-25,615,668,615,668,269
2006-5-26,660,739.5,622,684.99,46
2006-5-29,631.21,689.99,630,689.99,73
2006-5-30,629,697.95,628,679.98,75
2006-5-31,630,650.9,562,650.9,732
2006-6-1,650.5,677.99,650.5,660,736
2006-6-2,635.01,780,635,780,337
2006-6-5,747.5,800,667,765,2995
2006-6-6,736.3,824.97,660.04,711,232
2006-6-7,701,720,700,720,72
2006-6-8,667,720,667,720,116
2006-6-9,745,749.99,660,749.99,29
2006-6-13,749.99,754,670,700,72
2006-6-14,698,702,646,679.99,220
2006-6-15,698.88,847.5,600.02,680,843
2006-6-16,715,715,650,689.99,263
2006-6-19,750,799.99,690,696.95,84
2006-6-20,696,749.99,670.3,699,246
2006-6-21,699,850,680,728.9,79
2006-6-22,748.5,748.5,630,696,593
2006-6-23,695,696.5,632.5,693,84
2006-6-26,660.5,680,640,680,231
2006-6-27,700,704,627,659.99,1241
2006-6-28,650,684,650,660,372
2006-6-29,680,716,670,699.99,535
2006-6-30,697,699.99,697,699.99,64
2006-7-3,690.01,699.49,636.02,652.2,115
2006-7-4,671,685.5,665,685,197
2006-7-5,699.99,700,685,685,2331
2006-7-6,680,695,680,695,16
2006-7-7,698,700,671,675,448
2006-7-10,699,740,695,699,420
2006-7-11,725,725,725,725,1
2006-7-12,725,725,653,695,264
2006-7-13,700,720,695,715,1463
2006-7-14,690,799.99,690,799.99,121
2006-7-17,773,773.37,600.01,726.82,531
2006-7-18,719,725,680,680,242
2006-7-19,720,739.97,670,739.97,5719
2006-7-20,719,731,719,731,200
2006-7-21,720,733,719,733,451
2006-7-24,743.37,743.37,743.37,743.37,1
2006-7-25,745,776.95,705,715,13
2006-7-26,735,735,700,704.99,1595
2006-7-28,700,709,690,704.99,420
2006-7-31,704.99,709.99,700,709.99,18
2006-8-1,723,723,690.5,690.5,85
2006-8-2,715,715,690.01,699.99,102
2006-8-3,695,695,695,695,1
2006-8-4,700,700,700,700,5
2006-8-7,700,700,700,700,1
2006-8-8,695,699.98,680,699.98,448
2006-8-9,699.99,705,690,705,306
2006-8-10,700,700,700,700,150
2006-8-11,690,720,686,720,616
2006-8-14,743.69,749.5,719.37,741,1972
2006-8-15,744.5,745,725,740,23
2006-8-16,745,745,725.01,740,64
2006-8-17,744.99,744.99,744.99,744.99,1
2006-8-18,727,739.98,727,739.98,31
2006-8-21,711.01,725,550,656.01,3944
2006-8-22,680,729.99,680,714,1262
2006-8-23,710,716.99,690.01,700,3067
2006-8-24,708.9,709.99,708.9,709.99,185
2006-8-28,700,710,700,710,6
2006-8-29,700,707.9,680.1,707.9,947
2006-8-30,712,725,709.99,724,604
2006-8-31,715,728.5,715,727,151
2006-9-1,709,724.99,709,724.99,133
2006-9-4,723.37,770,708,730,205
2006-9-5,738.99,739,712,729,386
2006-9-6,750,768.49,733.5,767.09,1452
2006-9-7,750,760,720,745,1159
2006-9-8,744,768.5,742,760,267
2006-9-11,760,784.5,740,764,935
2006-9-12,760,765,742,753,250
2006-9-13,760,768.9,746,762,211
2006-9-14,765,774.5,765,774.5,12
2006-9-15,763,763,750,755,167
2006-9-18,755,769.99,730,760,37
2006-9-19,745,760.95,745,760.95,22
2006-9-20,745,828.5,745,800,4682
2006-9-21,817.5,817.5,790,790,1433
2006-9-22,794,802.97,776.07,800,33
2006-9-25,760,775,706.06,769,48
2006-9-26,750,810,738.02,799.98,1311
2006-9-27,799.99,830.5,799.99,829,2376
2006-9-28,834.6,851,800,851,6932
2006-9-29,847.6,949.73,847.6,919.99,6998
2006-10-2,920,1000,900,929.5,2195
2006-10-3,924.37,928.99,835,922,1058
2006-10-4,905,948,855,929,2052
2006-10-5,944.99,970,920,969.99,1837
2006-10-6,950,1030,950,1000,3655
2006-10-9,1015,1024.96,1001.02,1020,987
2006-10-10,1022.6,1098.95,1000.01,1020,612
2006-10-11,1000,1030,1000,1028.75,2682
2006-10-12,1030,1030,1005,1020,2699
2006-10-13,1013.03,1047,1000,1043.43,1995
2006-10-16,1088.97,1088.97,1038,1038,5352
2006-10-17,1039,1068,1039,1068,3781
2006-10-18,1070,1070,1046,1054,3009
2006-10-19,1069.97,1069.99,1015,1045,3140
2006-10-20,1035,1036,1015.58,1027.99,786
2006-10-23,1010,1039.49,905.21,1028,619
2006-10-24,1029.49,1040,950,1015,500
2006-10-25,1020,1039.98,953.03,1038.84,445
2006-10-26,1034,1050,1025,1036.99,332
2006-10-27,1059.99,1078,1018,1030,386
2006-10-30,1049,1049,940,1000,3732
2006-10-31,1007.37,1018.94,963,982.72,2848
2006-11-1,980.02,1045.01,979.99,1002.01,7106
2006-11-2,1018,1018,979.02,990,2470
2006-11-3,999.69,1026,988,1024.5,6265
2006-11-7,1026.01,1070,1000,1025,481
2006-11-8,1020.01,1035,1015,1033,1221
2006-11-9,1030.01,1061.98,1009.99,1055,12098
2006-11-10,1045.15,1070,1030,1058,2107
2006-11-13,1060,1089,1055,1079.99,4757
2006-11-14,1098,1098,1061,1070,1878
2006-11-15,1076.1,1085,1066,1066,353
2006-11-16,1079.98,1084.99,1059,1071,2618
2006-11-17,1072.51,1099,1063,1088,5101
2006-11-20,1088.01,1099.9,1070.02,1090,356
2006-11-21,1080,1115,1080,1113.85,9127
2006-11-22,1155,1155,1120,1122,3043
2006-11-23,1140,1200,1126,1200,8507
2006-11-24,1230,1230,1161.01,1189.99,945
2006-11-27,1180,1190,1150.01,1150.5,1725
2006-11-28,1150.2,1178,1150,1170.99,448
2006-11-29,1174.5,1187.8,1155,1160,1497
2006-11-30,1182.5,1190,1100,1157,13419
2006-12-1,1154.99,1169,1150,1169,1393
2006-12-4,1161,1165,1120.01,1158.98,2355
2006-12-5,1158,1183,1155,1175,957
2006-12-6,1166,1175,1150,1168,1628
2006-12-7,1182,1182,1150,1175,4138
2006-12-8,1156.01,1165,1155,1155,2209
2006-12-11,1155,1199.5,1144.99,1192.98,4273
2006-12-12,1180.01,1238.99,1150,1209.99,3714
2006-12-13,1205.01,1225,1200,1210,2207
2006-12-14,1225,1280,1215,1279.99,1633
2006-12-15,1255,1310,1240.1,1290,3528
2006-12-18,1290,1320,1255,1309.98,2204
2006-12-19,1309.98,1370,1280,1300.02,3664
2006-12-20,1355,1390,1329,1335.17,2540
2006-12-21,1335,1397,1335,1388.99,6558
2006-12-22,1419.99,1449.99,1364.99,1396.22,4300
2006-12-25,1404.37,1410,1342,1388.97,7195
2006-12-26,1388.97,1404.37,1375,1399.97,7425
2006-12-27,1398.36,1416,1385,1400,1146
2006-12-28,1400,1439.5,1396,1425,3418
2006-12-29,1432,1489.99,1420,1439.89,3592
2007-1-9,1439,1440,1375,1400,1514
2007-1-10,1411,1411,1281.44,1317.37,2834
2007-1-11,1281.22,1436.5,1281.22,1403,6761
2007-1-12,1390,1540,1380,1502,12447
2007-1-15,1520,1790,1520,1789,17337
2007-1-16,1792,2300,1792,2004.8,38474
2007-1-17,2004.8,2200,1880,1955,21222
2007-1-18,2049.88,2050,1830,1928,6989
2007-1-19,1919.89,1920,1812.05,1892.2,2364
2007-1-22,1893.71,1990,1860,1985,7215
2007-1-23,1980,2049.11,1876.99,1905,6765
2007-1-24,1920,1940,1740,1800.04,12912
2007-1-25,1813.03,1894,1740,1751.45,11247
2007-1-26,1759.49,1780,1650,1700,7433
2007-1-29,1734.02,1743.98,1651.04,1663.01,3989
2007-1-30,1650.01,1650.01,1549.99,1609.9,6286
2007-1-31,1615,1680,1585.11,1600,3847
2007-2-1,1601,1635,1588,1611,10023
2007-2-2,1618.98,1649,1600.01,1616,5980
2007-2-5,1623.1,1635,1603,1628.89,1670
2007-2-6,1620.01,1624.9,1585.52,1620,5274
2007-2-7,1620,1620,1551,1565.09,4565
2007-2-8,1526.05,1554.99,1495,1539,5132
2007-2-9,1545,1545,1505.1,1523,3396
2007-2-12,1501.06,1545,1501,1510.02,8372
2007-2-13,1511,1680,1495,1630,13790
2007-2-14,1645,1652,1567.5,1618,9930
2007-2-15,1618,1618,1580,1615,963
2007-2-16,1609,1639,1581.06,1599.99,1986
2007-2-19,1600,1638.5,1585,1590,2860
2007-2-20,1600.09,1689,1600.09,1650,34043
2007-2-21,1668.98,1687,1630,1658.98,8685
2007-2-22,1668.3,1735,1663.08,1695,17814
2007-2-26,1708.77,1730,1692.61,1707.01,16197
2007-2-27,1700,1701,1605,1625,15145
2007-2-28,1581.01,1605.5,1511,1570,8846
2007-3-1,1569,1590,1452,1469.01,10424
2007-3-2,1500,1519.6,1420,1495,6994
2007-3-5,1450,1452,1300,1339.39,15903
2007-3-6,1347.49,1444.44,1347.49,1428,6900
2007-3-7,1449.98,1498,1400,1414.58,2782
2007-3-9,1449.5,1598,1449.5,1533.02,13259
2007-3-12,1584.84,1584.84,1491,1515,13074
2007-3-13,1565,1569.9,1501.02,1511,4661
2007-3-14,1450,1450,1368,1439.99,15736
2007-3-15,1443.72,1508,1430,1470.17,4278
2007-3-16,1475,1480,1430,1467,2573
2007-3-19,1462.5,1495,1462.5,1490,2260
2007-3-20,1490,1511.98,1449.98,1466.11,2847
2007-3-21,1470,1487.99,1460,1481.9,1339
2007-3-22,1510,1533,1495.1,1514.99,11573
2007-3-23,1515.5,1535,1501.51,1524,5089
2007-3-26,1530,1569.99,1525,1569.98,7665
2007-3-27,1565,1585,1510,1517.03,13882
2007-3-28,1557,1557,1504.44,1504.44,3490
2007-3-29,1519,1550,1515,1540,7718
2007-3-30,1522.51,1552,1479.73,1509,12291
2007-4-2,1524.5,1524.5,1480.5,1509,10464
2007-4-3,1505.02,1552,1505,1538.01,6963
2007-4-4,1528.01,1569.9,1527.06,1549.8,9159
2007-4-5,1541.01,1666.66,1541.01,1663.94,23563
2007-4-6,1666.66,1839.99,1666.66,1754,80092
2007-4-9,1750,1822.22,1727,1755.54,23600
2007-4-10,1748.99,1765,1685,1725.03,22454
2007-4-11,1745,1752.7,1686,1701.02,11129
2007-4-12,1689.99,1690,1645,1649.99,12243
2007-4-13,1679.12,1719.98,1640.01,1700,10592
2007-4-16,1714.5,1733.9,1650.01,1674.9,23126
2007-4-17,1678.99,1680,1627,1638.44,10758
2007-4-18,1638.5,1649,1587,1591,6803
2007-4-19,1580,1591,1551,1556,9812
2007-4-20,1590,1629,1568.22,1590,9473
2007-4-23,1600,1610,1580,1590.97,5749
2007-4-24,1591,1591,1560,1574.79,4199
2007-4-25,1574.94,1574.98,1549,1570,12007
2007-4-26,1594.5,1594.5,1549.09,1551,16944
2007-4-27,1555,1562,1524.71,1553.37,21162
2007-4-28,1557.01,1560,1537,1560,5556
2007-5-2,1548,1580.17,1548,1563.1,3873
2007-5-3,1570.05,1595,1562,1572,7604
2007-5-4,1572.5,1577,1565,1577,2189
2007-5-7,1541.25,1680,1541.25,1667,21597
2007-5-8,1665,1698,1581,1607,17120
2007-5-10,1608,1640,1590.1,1614,34347
2007-5-11,1600,1600,1572.4,1580,6861
2007-5-14,1581.25,1623.9,1530,1589.98,4086
2007-5-15,1570.01,1585,1549.99,1577,4054
2007-5-16,1584.37,1618.3,1571.01,1618.3,11353
2007-5-17,1627.5,1627.5,1609.99,1614,6269
2007-5-18,1623,1629.37,1612.99,1624,7673
2007-5-21,1620,1649,1620,1640,2745
2007-5-22,1650,1670,1620,1635.01,6976
2007-5-23,1636,1649,1601,1645,24394
2007-5-24,1635.01,1649.8,1600,1649.8,17470
2007-5-25,1620,1648.99,1601,1635,9970
2007-5-28,1636,1645,1610.01,1620,3466
2007-5-29,1629.37,1629.37,1590,1619.37,17829
2007-5-30,1580.5,1608.39,1580.5,1599.37,1590
2007-5-31,1590.01,1629,1586.82,1629,14000
2007-6-1,1611.14,1623,1600,1604.21,893
2007-6-4,1594,1609.99,1580.01,1605,6854
2007-6-5,1610,1615,1600.01,1600.01,2529
2007-6-6,1610,1610,1591.01,1593.03,3627
2007-6-7,1593,1600,1581,1582.49,1585
2007-6-8,1580,1594.37,1556.01,1585,8616
2007-6-9,1585,1589.99,1571,1576,545
2007-6-13,1575,1575,1565,1565.53,297
2007-6-14,1590,1594.9,1565,1579.94,5685
2007-6-15,1580.02,1600,1575,1589.98,5771
2007-6-18,1577,1594,1576.67,1582.99,1288
2007-6-19,1586.36,1586.37,1570,1570,2695
2007-6-20,1586.5,1590,1566.9,1580,2293
2007-6-21,1578.69,1585,1568.88,1575,3023
2007-6-22,1575,1614.66,1575,1577.06,3022
2007-6-25,1575.06,1579.97,1565,1570,722
2007-6-26,1560,1570,1550.01,1558,3283
2007-6-27,1555.55,1569.98,1555.55,1564.59,638
2007-6-28,1564.59,1580,1550,1560,4831
2007-6-29,1562.37,1563,1550,1550,878
2007-7-2,1550,1564,1550,1555,6286
2007-7-3,1555,1560,1544,1555,6482
2007-7-4,1550.01,1560.1,1550,1553,1810
2007-7-5,1557.37,1564,1547.1,1557.98,13673
2007-7-6,1550.66,1570,1549,1562,9762
2007-7-9,1565,1570,1560,1569.97,2209
2007-7-10,1560.01,1577,1560,1572.37,2638
2007-7-11,1560.01,1585,1558,1571,5267
2007-7-12,1575,1600,1571.05,1575,6237
2007-7-13,1575,1599.9,1575,1585,2703
2007-7-16,1584.05,1590,1564,1583.16,904
2007-7-17,1565,1580,1565,1571,2053
2007-7-18,1565.01,1570,1540.5,1551,2695
2007-7-19,1565,1585,1551.07,1560,9209
2007-7-20,1568.14,1568.14,1550,1555,4080
2007-7-23,1554.97,1557,1545.05,1547,2072
2007-7-24,1540,1550,1534,1550,6014
2007-7-25,1549.99,1599.97,1540,1563.01,17430
2007-7-26,1579.47,1605,1552,1552.01,7319
2007-7-27,1548,1584.33,1540.11,1566,2733
2007-7-30,1566,1566,1541.12,1557,1364
2007-7-31,1567.96,1577,1562,1570,2897
2007-8-1,1555,1567.97,1550,1550,3735
2007-8-2,1562.97,1563,1555,1560,2569
2007-8-3,1562.4,1585,1550,1562.47,3342
2007-8-6,1542.01,1542.01,1411.01,1540,795
2007-8-7,1578.9,1578.9,1540,1545.01,323
2007-8-8,1579,1588,1531,1555,706
2007-8-9,1570,1570,1531.01,1568,29535
2007-8-10,1545,1560,1541,1543.53,4312
2007-8-13,1545,1550,1540,1545,1141
2007-8-14,1540.03,1550,1535,1535,2618
2007-8-15,1534.99,1537,1510.03,1530,1127
2007-8-16,1450,1528,1450,1496,11865
2007-8-17,1500,1500,1425.01,1500,5902
2007-8-20,1507.5,1564.9,1461,1499.99,2341
2007-8-21,1475,1523.99,1442,1449,4089
2007-8-22,1440,1460,1440,1450,991
2007-8-23,1450,1490,1430,1437,1259
2007-8-24,1430,1441,1416,1418,5023
2007-8-27,1440,1441,1410,1424,2610
2007-8-28,1420,1421,1410,1412,1948
