Date,Open,High,Low,Close,Volume
2006-4-12,532.99,532.99,464,496.86,91
2006-4-13,472.5,480,450,478.95,25
2006-4-14,496.99,497,485,485,4
2006-4-17,489,489,478,478,10
2006-4-18,474.9,474.9,432.1,444,110
2006-4-19,440,458.82,433,458.8,389
2006-4-20,460,479.99,440,464.9,192
2006-4-21,448,459.98,435,451,17
2006-4-24,463,490,460,475,271
2006-4-25,465,480,465,478,28
2006-4-26,479,489,466,485,46
2006-4-27,474,474,440,445,132
2006-4-28,445,460,436,436,159
2006-5-2,454.9,465,436,453.9,33
2006-5-3,450,460,450,460,22
2006-5-4,445,458.58,420,438.99,149
2006-5-5,430,438.98,425,430,30
2006-5-6,430,434.99,430,434.99,1
2006-5-10,431,431,423,430,76
2006-5-11,429.95,430,405.2,422,45
2006-5-12,425,428,405.01,416,125
2006-5-15,424.9,424.9,400,414,37
2006-5-16,385,414.23,385,414.23,388
2006-5-17,413.5,434,409,417,3
2006-5-18,363,398,355.01,365.25,177
2006-5-19,414.98,414.98,320.01,390,67
2006-5-22,330.07,350,325.1,331.2,97
2006-5-23,350,350,225,340,90
2006-5-24,345,348,321.11,339.9,418
2006-5-25,339,345,305,324.9,262
2006-5-26,340,350,340,348,90
2006-5-29,350,350,333.1,346.99,42
2006-5-30,351,352.29,339.9,339.9,53
2006-5-31,341,347,300,347,115
2006-6-1,338.47,338.47,338.47,338.47,1
2006-6-2,309.02,368,309.01,367,75
2006-6-5,369.9,372,365,368,4
2006-6-6,340,360,333,347,35
2006-6-7,336,336,305.55,333.8,75
2006-6-8,315,315,308.9,310,126
2006-6-9,319.9,320,295,318,36
2006-6-13,280.01,310,275,299.99,24
2006-6-14,300,300,281.22,300,29
2006-6-15,315,315,285.36,300,75
2006-6-16,309,309,295,307.79,2
2006-6-19,315,315,298,298,5
2006-6-20,309.99,309.99,300,305,16
2006-6-21,309.97,309.97,299.99,299.99,30
2006-6-22,315,315,290,297,22
2006-6-23,298.95,298.95,291.01,295,1
2006-6-26,286.51,295.79,286.5,294.8,2
2006-6-27,288.01,297,285,296.95,93
2006-6-28,271.03,277.72,260,277.72,80
2006-6-29,296.9,296.9,278.01,289,71
2006-6-30,300,300,285.01,299.99,24
2006-7-3,310.01,310.01,277.01,299.54,11
2006-7-4,280,309,280,292.99,33
2006-7-5,288,299.99,275.05,290,27
2006-7-6,270,289.8,270,289.7,15
2006-7-7,300,302.98,290,301,14
2006-7-10,302,302,210.83,300,18
2006-7-11,300,309,298,301.93,40
2006-7-12,299.5,299.5,299,299,1
2006-7-13,285,298.96,281.01,298.96,5
2006-7-14,282,299.7,276.33,296.98,215
2006-7-19,299,299,281,285,8
2006-7-20,300,300,299.99,299.99,70
2006-7-21,290,299,290,298,11
2006-7-24,275.16,299,275.15,299,3
2006-7-25,286,295,286,295,4
2006-7-26,276,286,275,286,71
2006-7-27,287,298,275.11,298,20
2006-7-28,294.9,299.99,280,299.99,93
2006-7-31,286,297.9,281.01,297.9,64
2006-8-1,293.94,293.94,290,290,22
2006-8-2,297.99,304.95,290.03,304.95,25
2006-8-3,300,304,291.1,304,14
2006-8-4,304.9,304.9,304.9,304.9,0
2006-8-7,300.51,303,299,303,71
2006-8-8,300,320,295.01,306,106
2006-8-9,305.15,339.9,305.15,335,123
2006-8-10,332,332,310.15,317,109
2006-8-11,310.17,324.98,305,324,36
2006-8-14,323.5,338,315,327.77,81
2006-8-15,326.89,333,305.16,324,67
2006-8-16,326,426,316.06,383.7,3243
2006-8-17,370,381.95,360,362,38
2006-8-18,379.8,405.39,335.55,351.98,72
2006-8-21,340.01,369.98,307.1,320,131
2006-8-22,329,357.8,321.1,339.9,37
2006-8-23,344,344,336,342.9,0
2006-8-24,326,343.97,315.24,343.97,1
2006-8-25,325,345,321.11,345,13
2006-8-28,347.92,347.93,347.82,347.82,4
2006-8-29,345.73,389,345.73,378,21
2006-8-30,350,372,350,355,38
2006-8-31,368,368,335.01,358,3
2006-9-1,364.99,364.99,350.99,359.99,1
2006-9-4,350,369,350,362,22
2006-9-5,330.02,357.99,330.02,357.99,83
2006-9-6,364.89,364.89,350,350,111
2006-9-7,343,358.99,321.01,353.5,82
2006-9-8,335,350,335,349.95,19
2006-9-11,336,339,335,338.99,7
2006-9-12,338.99,345,338.99,343.89,19
2006-9-13,379,379,333.01,349.99,64
2006-9-14,352,352.26,351.99,352.26,2
2006-9-15,348,349.98,341,345,16
2006-9-18,352.69,352.69,330.15,350,31
2006-9-19,337.58,349.6,335,340,40
2006-9-20,332,363.99,326,359,214
2006-9-21,350,354.99,336,350,46
2006-9-22,341,349.99,336,348,17
2006-9-25,330.5,339.99,315.57,333.99,28
2006-9-26,338,357,338,349.98,393
2006-9-27,352,368,352,364,204
2006-9-28,360,385.98,356,383,278
2006-9-29,384.9,394.4,373,381,382
2006-10-2,384,419,384,416,634
2006-10-3,416,423.37,396,397.84,376
2006-10-4,398,406,397,400,62
2006-10-5,399.8,418.89,396,417.77,377
2006-10-6,414.5,447.94,400,418,505
2006-10-9,420.5,445,417.5,435,369
2006-10-10,448,454,422,434,389
2006-10-11,425,445,420,437.5,132
2006-10-12,437,439,420.02,430,24
2006-10-13,420.51,451.99,420.51,433.03,253
2006-10-16,448.98,449,440,440,14
2006-10-17,449,449,421,430,99
2006-10-18,429,439,415,430,218
2006-10-19,437.87,446.99,415.1,415.1,37
2006-10-20,438.9,438.9,415.02,415.12,168
2006-10-23,420,429.84,405,424.77,367
2006-10-24,421,454.5,417,450.8,1276
2006-10-25,459.69,463.98,448,454.8,220
2006-10-26,460,470,453,457,583
2006-10-27,465.92,489.98,455,469,94
2006-10-30,474.99,475,452.99,455,40
2006-10-31,430,465,421,446,314
2006-11-1,465,469.98,450,454.98,233
2006-11-2,460,468,451.05,455.02,278
2006-11-3,462.37,464.9,458,460,211
2006-11-7,462.46,467.48,459.9,465,190
2006-11-8,460.03,469.96,450.01,469.96,248
2006-11-9,468,470,457,469.5,486
2006-11-10,465.05,468.89,465.05,468.89,7
2006-11-13,469.5,493,469.49,480.01,637
2006-11-14,488.99,489,460.03,479,84
2006-11-15,479.89,490,479.89,490,200
2006-11-16,493,495,475.03,493,228
2006-11-17,493,506.5,479.99,506.5,487
2006-11-20,514.5,520,505.01,518.99,123
2006-11-21,528,554.98,521.02,545,248
2006-11-22,555,555,530.3,540.08,4308
2006-11-23,552,563.99,540.3,559,3463
2006-11-24,555.01,559.99,550,557,55
2006-11-27,542.03,578.97,542.02,544,64
2006-11-28,547.2,559,539.99,545,32
2006-11-29,533,552,533,551.99,630
2006-11-30,547.05,552.5,535.02,540.01,9695
2006-12-1,540,555.98,509.99,541.99,1989
2006-12-4,554.99,554.99,529.99,536.5,240
2006-12-5,537.99,540,515.98,533.2,135
2006-12-6,520.01,530.5,515,521.01,57
2006-12-7,535.99,539,522.1,530,64
2006-12-8,530,530,500.02,525.99,209
2006-12-11,517.05,535,497,517.49,369
2006-12-12,524,527.9,501.1,525,1881
2006-12-13,530,543,503.26,512.06,120
2006-12-14,520,530,511,520,2727
2006-12-15,525,526,512,525,426
2006-12-18,530,535,521,530,160
2006-12-19,530,582.79,521.1,560.5,2352
2006-12-20,585.99,601.69,566.45,592.57,2660
2006-12-21,585.5,628,585.5,615.01,1763
2006-12-22,620,628.72,600,600,356
2006-12-25,601.02,608.34,582.1,591.57,195
2006-12-26,591.29,591.29,570,576.9,202
2006-12-27,575.5,599.95,575,592,402
2006-12-28,599.88,643.5,598.99,629.98,1232
2006-12-29,634.9,644,625.99,640,2427
2007-1-9,631.21,634.6,592.01,627,560
2007-1-10,619.99,619.99,585.49,600,337
2007-1-11,600,657.07,599.99,650,1156
2007-1-12,645,813,645,799.77,3004
2007-1-15,766.5,1000,766.5,998.81,2836
2007-1-16,999.99,1195,999.99,1123,3585
2007-1-17,1147.5,1279,960,1011,3091
2007-1-18,1035.01,1083,980,1000,1239
2007-1-19,982.16,982.16,910,959.09,735
2007-1-22,970,1110,970,1110,1343
2007-1-23,1115,1115,1056,1079.88,436
2007-1-24,1079.88,1091.5,976,1027,606
2007-1-25,1009.5,1068.79,1009.5,1055,423
2007-1-26,1045.51,1045.51,999.99,1028,285
2007-1-29,1027.97,1049.8,979,981.01,275
2007-1-30,970,970,928.2,964,337
2007-1-31,965.5,1024.5,960,991,1030
2007-2-1,995,1009.96,985.01,997.5,257
2007-2-2,1019.86,1029,970.04,995.93,182
2007-2-5,990,1000.47,970.15,990,106
2007-2-6,990,1000,950,992,907
2007-2-7,970.01,970.01,930.02,933,633
2007-2-8,943.99,943.99,880.3,887.04,385
2007-2-9,909,910,860,900.47,192
2007-2-12,870.05,904.79,870.05,890.9,119
2007-2-13,876,969,875,955,402
2007-2-14,950,959.8,918.05,944.88,219
2007-2-15,960,960,911.3,919.89,171
2007-2-16,920.98,935.94,911,920,75
2007-2-19,920,946,905,915,81
2007-2-20,919.99,976,919.99,940,517
2007-2-21,969.99,980,945.1,948.02,299
2007-2-22,970,979,953.23,961,97
2007-2-26,976.75,976.75,953,964,148
2007-2-27,956.22,965,875,900,152
2007-2-28,899.5,899.5,610.01,847.05,620
2007-3-1,847.06,879.96,730,780,246
2007-3-2,791,805,780,790,60
2007-3-5,797,797,701.01,726.05,271
2007-3-6,760,885,755.24,785,207
2007-3-7,805,863,805,845.78,142
2007-3-9,879,909.1,855.1,890.99,152
2007-3-12,909.09,947,856.09,870,232
2007-3-13,889.99,890,859.99,861.01,48
2007-3-14,803.01,845,777,843.97,159
2007-3-15,860,870.32,810.03,845,187
2007-3-16,862.77,870,831,848.94,56
2007-3-19,869.69,869.69,823,855,65
2007-3-20,855,857.21,821.04,839.9,37
2007-3-21,864.99,864.99,812.01,845.99,30
2007-3-22,869.7,869.7,845.03,850,52
2007-3-23,855.5,870,850,856,89
2007-3-26,860,868.77,850,860,100
2007-3-27,860.5,870.01,858,863,181
2007-3-28,850.01,867.98,850,863.23,124
2007-3-29,869.99,901.01,869.99,887.78,120
2007-3-30,899.5,899.99,870.01,878.97,85
2007-4-2,879,879,855.04,860.01,29
2007-4-3,861.05,873,861.05,873,43
2007-4-4,889,897.27,877.01,882,55
2007-4-5,883.94,970,883.94,958.51,460
2007-4-6,990,1050,981.51,1039.94,1859
2007-4-9,1055.17,1139,1049,1109.93,1191
2007-4-10,1110,1128.54,1011,1114.87,758
2007-4-11,1122,1124.99,1085.09,1098.99,572
2007-4-12,1099,1099,1040,1078.8,332
2007-4-13,1078.8,1097.88,1055.1,1085,335
2007-4-16,1038,1105,1038,1075,293
2007-4-17,1086.93,1090,1039.5,1048.99,273
2007-4-18,1049.4,1049.4,1001.02,1003.9,249
2007-4-19,1000,1014,960,975,231
2007-4-20,998.97,1012.99,990,990,225
2007-4-23,996.83,1010,990,990,78
2007-4-24,996,996,970,985.99,80
2007-4-25,970,970.01,927.27,952.01,555
2007-4-26,968.92,968.99,927.33,927.33,137
2007-4-27,920.01,928.99,880.1,890,153
2007-4-28,909.8,915,881,908.88,158
2007-5-2,908.9,945,900.04,945,208
2007-5-3,958.69,1030,958.69,988,409
2007-5-4,995,999.99,933,987.99,197
2007-5-7,989,1050,965,1049,813
2007-5-8,1070,1098.99,1008,1023.59,363
2007-5-10,1014,1050,993.01,1015,289
2007-5-11,1002,1002,940,954,294
2007-5-14,977.89,985,901,968,232
2007-5-15,968.5,970,933.86,965.99,285
2007-5-16,942.01,968.8,942.01,968.8,94
2007-5-17,969,986.04,945,950,43
2007-5-18,940,961.01,937,940.01,119
2007-5-21,954.99,960,943,954.98,80
2007-5-22,954,960,911.01,926.06,165
2007-5-23,939.99,939.99,903.22,920,452
2007-5-24,910,929.83,881.01,917,436
2007-5-25,885,924.99,882,914,59
2007-5-28,927.71,938.99,901.01,914.98,62
2007-5-29,910.01,910.03,873,873,57
2007-5-30,826,887.98,821,880,243
2007-5-31,884.85,898,880,894.79,329
2007-6-1,890,900,885.2,895.29,63
2007-6-4,891.88,891.88,880,889.98,71
2007-6-5,894.79,905,886.18,894.5,77
2007-6-6,895,895,880.16,880.16,16
2007-6-7,878,881,870,875,64
2007-6-8,847.54,888,847.54,879.98,216
2007-6-9,860.21,900,860.21,880,20
2007-6-13,874,980,863.09,885,454
2007-6-14,887,895,875,895,83
2007-6-15,900,900,890,890,52
2007-6-18,900,900,876.05,880,48
2007-6-19,877.71,879.99,850,878.75,137
2007-6-20,885.51,904.99,871.06,883.86,308
2007-6-21,883.86,883.86,871,875,368
2007-6-22,879.9,895,860.83,886.79,157
2007-6-25,870.51,878.87,864.92,877.97,32
2007-6-26,861.51,874.99,860,869,54
2007-6-27,868.98,868.98,856.09,856.09,46
2007-6-28,879,883.82,861.02,862.2,28
2007-6-29,866,866,859,859,18
2007-7-2,851.41,862,850,858.5,57
2007-7-3,858,860,846.01,853.89,91
2007-7-4,850.01,855.37,845,854,151
2007-7-5,854.36,860,843.05,855,579
2007-7-6,847.02,854.98,840,853.35,904
2007-7-9,853.36,860.99,845.32,860,312
2007-7-10,855,858,847.05,850,103
2007-7-11,845.03,849.9,838,848.04,94
2007-7-12,853.5,855,842,842.3,153
2007-7-13,845.99,849.89,840,847,56
2007-7-16,849.49,849.5,843,843,22
2007-7-17,844,844,841.05,842,21
2007-7-18,848.97,848.97,835,840,212
2007-7-19,840,855,839.02,850.9,204
2007-7-20,842,843.99,835,835,101
2007-7-23,836.1,836.1,828.11,835,213
2007-7-24,826.5,840,820,824,246
2007-7-25,821.1,821.11,800.12,815,146
2007-7-26,822.36,836,810,811.66,327
2007-7-27,780.54,810,771.08,795,58
2007-7-30,800,814.8,780,804.78,52
2007-7-31,803,809,790,806.98,64
2007-8-1,790,806,787.01,799.97,174
2007-8-2,798.99,807,791.16,806.99,15
2007-8-3,804.99,804.99,780,800.8,57
2007-8-6,776.13,790,770,782,19
2007-8-7,787.97,794.5,785,790,29
2007-8-8,794.99,804.4,794.99,804.4,135
2007-8-9,803,806.79,792.01,792.01,145
2007-8-10,791,795,760.05,780,94
2007-8-13,785,798,783.01,789,61
2007-8-14,781,797,780,784,94
2007-8-15,784,784,762,777.19,10
2007-8-16,765,771.01,740.01,740.01,170
2007-8-17,743.99,745,725,744.99,114
2007-8-20,755.02,764.86,725.48,736.99,39
2007-8-21,732,732,710.02,717,78
2007-8-22,725,728.99,714,723.8,52
2007-8-23,728,735,714,714,16
2007-8-24,702.22,715.99,690.18,710.99,14
