Date,Open,High,Low,Close,Volume
2007-10-29,18,18.4,17.99,18.3,5210
2007-10-30,18.15,18.3,18.112,18.299,174
2007-10-31,18.001,18.29,18.001,18.29,78
2007-11-1,17.821,18.205,17.55,18,477
2007-11-2,18.28,18.39,18.001,18.299,146
2007-11-6,17.601,18.3,17.55,18.001,368
2007-11-7,18.001,18.2,18,18.048,187
2007-11-8,18,18.02,17.8,18.01,111
2007-11-12,17.8,17.8,17.8,17.8,6
2007-11-13,17.812,17.857,17.81,17.81,7
2007-11-14,17.757,18.01,17.757,18.01,2
2007-11-16,18.09,18.1,17.299,17.299,2700
2007-11-19,17.4,17.4,17.16,17.16,87
2007-11-20,17.4,18.15,17.1,17.2,8410
2007-11-21,17.2,17.21,17.195,17.21,1606
2007-11-22,17.2,17.2,17.1,17.1,230
2007-11-23,17.199,17.199,17,17,2114
2007-11-26,17,17,16.95,16.95,130
2007-11-28,16.9,16.9,16.9,16.9,20
2007-11-29,16.75,17,16.75,16.9,112
2007-11-30,17,17,17,17,59
2007-12-3,17.2,17.2,16.75,16.75,510
2007-12-4,16.6,16.7,16.6,16.7,35
2007-12-5,16.601,16.9,16.6,16.65,387
2007-12-7,17.2,17.2,17,17,6
2007-12-11,17.85,17.85,17.85,17.85,1
2007-12-12,16.602,17.249,16.602,16.95,152
2007-12-13,17.77,17.77,16.8,16.8,111
2007-12-14,16.795,17,16.795,17,6
2007-12-17,16.8,16.8,16.8,16.8,20
2007-12-18,16.8,16.8,16.8,16.8,50
2007-12-19,16.7,16.7,16.5,16.5,252
2007-12-20,16.7,16.7,16.002,16.698,53
2007-12-21,16.699,16.7,16.699,16.7,16
2007-12-24,16.8,16.8,16.6,16.6,4
2007-12-25,16.8,16.8,16.57,16.57,18
2007-12-27,16.6,16.6,16.6,16.6,2
2007-12-28,16.6,16.6,16.37,16.41,293
2008-1-10,16.4,16.4,16.4,16.4,56
2008-1-11,16.6,16.6,16.5,16.5,278
2008-1-14,16.6,16.6,16.6,16.6,103
2008-1-16,16.6,16.6,16.4,16.4,13
2008-1-17,16.5,16.6,16.5,16.6,22
2008-1-18,16.55,16.55,16.3,16.3,55
2008-1-21,16.4,16.4,16.4,16.4,1
2008-1-22,16.3,16.5,15.5,16.3,411
2008-1-23,16.3,16.3,16.3,16.3,9
2008-1-24,15.001,15.001,15,15,2
2008-1-25,16,16.3,16,16.3,51
2008-1-28,16.19,16.2,16.19,16.2,101
2008-1-29,16.1,16.1,16.1,16.1,11
2008-1-30,16.27,16.27,16.1,16.1,3
