Date,Open,High,Low,Close,Volume
2011-12-21,2.35,2.57,2.1,2.5,60
2011-12-22,2.5555,2.999,2.55,2.999,3
2011-12-27,3.1,3.1,3.1,3.1,1
2011-12-28,3.5,3.5,3.5,3.5,1
2011-12-29,2.35,2.35,2.35,2.35,1
2011-12-30,2.8,2.8,2.8,2.8,1
2012-1-3,2.3001,2.7963,2.3001,2.7963,5
2012-1-16,2.81,2.81,2.81,2.81,4
2012-2-8,3.78,3.93,3.78,3.93,5
2012-3-5,3.5,3.5,3.5,3.5,2
2012-3-11,2.5,2.5,2.1,2.1,2
2012-3-12,2.99,2.99,2.99,2.99,1
2012-3-19,3.3,3.3,3.3,3.3,50
2012-3-27,4.62,4.62,2.3714,4.62,33
2012-3-28,6.468,6.468,6.46,6.468,59
2012-3-29,6.46,6.46,3.9,4.9,19
2012-3-30,3.1081,4.899,2.94,3.07,104
2012-4-2,3,3,2.6,2.6,4
2012-4-3,3.0509,3.64,3.0509,3.64,37
2012-4-4,3.97,4.1899,3.35,3.8999,34
2012-4-5,4.5,4.5,3.6011,3.9,7
2012-4-6,4.1,4.2,4.1,4.2,2
2012-4-9,3.1501,3.9,3.1501,3.9,7
2012-4-10,3.9,4.5,3.9,4.5,19
2012-4-11,3.95,3.95,3.65,3.75,11
2012-4-12,3.8999,3.8999,3.49,3.75,12
2012-4-13,3.71,3.75,3.71,3.75,2
2012-4-17,3.0004,3.9,3.0004,3.9,4
2012-4-18,3.849,3.849,3.0251,3.0251,6
2012-4-19,3.3499,3.5,2.5001,3.4,16
2012-4-20,3,3,2.6311,2.6311,15
2012-4-23,2.9799,2.9997,2.8888,2.9997,9
2012-4-24,2.9501,2.9501,2.7,2.7885,5
2012-4-25,2.84,2.9,2.84,2.88,5
2012-4-26,2.7,2.82,2.6,2.76,5
2012-5-3,2.07,2.5,2.07,2.5,30
2012-5-4,2.5,2.5,2.3001,2.3002,6
2012-5-5,2.4999,2.8,2.1001,2.8,9
2012-5-8,2.5,2.5,2.5,2.5,1
2012-5-10,2.85,3.2,2.85,3.2,3
2012-5-11,3.1,3.9999,3.1,3.9999,3
2012-5-17,2.78,2.78,2.5,2.561,30
2012-5-21,2.5001,2.83,2.5001,2.83,2
2012-6-20,2.86,2.86,2.86,2.86,1
2012-7-5,2.2003,2.2003,2.2003,2.2003,1
2012-7-6,2.12,2.12,2.12,2.12,1
2012-7-9,2.1156,2.1156,2.1156,2.1156,1
2012-7-11,2.0001,2.2156,2.0001,2.2156,2
2012-7-12,2.0403,2.0403,2,2,6
2012-7-16,2.15,2.15,2.15,2.15,1
2012-7-17,2.32,2.8,2.1,2.1,12
2012-7-20,2.95,2.95,2.95,2.95,3
2012-7-24,2.25,2.5,2.1509,2.3101,88
2012-7-25,2.15,2.25,2.1,2.25,22
2012-7-26,2.275,2.47,2.275,2.47,13
2012-7-31,2.35,2.35,2.35,2.35,2
2012-8-1,2.1,2.1501,2.0336,2.15,11
2012-8-2,2.24,2.24,2.24,2.24,1
2012-8-6,2.3497,2.35,2.3497,2.35,17
2012-8-8,2.3,2.3,2.3,2.3,14
2012-8-9,2.2011,2.2011,2.2,2.2,9
2012-8-10,2.2999,2.2999,2.17,2.18,5
2012-8-13,2.2998,2.45,2.2998,2.45,640
2012-8-14,2.425,2.8,2.425,2.5999,290
2012-8-15,2.5001,2.7,2.5,2.681,42
2012-8-16,2.5004,2.6989,2.5,2.6989,30
2012-8-17,2.59,2.8,2.59,2.8,7
2012-8-20,2.8,3.2,2.8,3.15,43
2012-8-21,3.03,3.7,3.03,3.7,26
2012-8-22,3.444,3.444,3.444,3.444,1
2012-8-23,3.6,3.7,3.6,3.7,3
2012-8-24,3.6,3.6,3.1001,3.1608,17
2012-8-27,3.4,3.4,3.1,3.2,9
2012-8-28,3.25,3.3,3.25,3.3,6
2012-8-29,3.3,3.4,3.3,3.4,2
2012-8-30,3.39,4.76,3.39,4.1,362
2012-8-31,4.09,4.09,3.3337,3.94,20
2012-9-3,4,4,3.9501,3.9994,10
2012-9-4,4.3299,4.3299,3.5009,3.9992,29
2012-9-5,4,4.28,4,4.28,7
2012-9-6,4.25,4.2899,4,4.0496,30
2012-9-7,4.2,4.2,3.9,4.1498,11
2012-9-10,4,4,3.7004,3.85,28
2012-9-11,3.9999,4.25,3.9999,4.25,515
2012-9-12,4.0503,5,4.0503,5,119
