Date,Open,High,Low,Close,Volume
2008-9-23,0.357,0.357,0.357,0.357,1
2008-9-24,0.357,0.357,0.357,0.357,0
2008-9-25,0.357,0.357,0.357,0.357,1
2008-10-2,0.357,0.357,0.357,0.357,0
2008-10-3,0.357,0.357,0.357,0.357,0
2008-10-13,0.357,0.357,0.357,0.357,0
2008-12-8,0.215,0.302,0.215,0.302,255
2008-12-9,0.1815,0.1815,0.1815,0.1815,0
2008-12-10,0.109,0.109,0.109,0.109,54
2008-12-11,0.0654,0.0654,0.0654,0.0654,34
2008-12-12,0.05,0.055,0.043,0.055,1162
2008-12-15,0.06,0.07,0.06,0.07,201
2008-12-16,0.07,0.07,0.0655,0.0655,100
2008-12-17,0.075,0.075,0.0749,0.0749,2
2008-12-18,0.0451,0.065,0.045,0.065,7
2008-12-22,0.0749,0.0749,0.0747,0.0747,0
2008-12-23,0.07,0.09,0.07,0.09,50
2008-12-24,0.07,0.071,0.06,0.0603,13
2008-12-25,0.0601,0.0843,0.0601,0.0843,24
2008-12-26,0.07,0.1035,0.07,0.1034,42
2008-12-29,0.14,0.1408,0.0652,0.1,0
2008-12-30,0.14,0.14,0.1,0.14,13
2008-12-31,0.19,0.19,0.1,0.18,11
2009-1-11,0.14,0.14,0.0751,0.119,1
2009-1-12,0.1666,0.1666,0.0872,0.0872,13
2009-1-13,0.1,0.1,0.061,0.0657,5
2009-1-14,0.0725,0.12,0.072,0.098,5
2009-1-15,0.098,0.1,0.0831,0.1,1
2009-1-16,0.1,0.12,0.1,0.12,1
2009-1-19,0.0677,0.1199,0.0677,0.075,11
2009-1-20,0.0705,0.0705,0.07,0.07,1
2009-1-21,0.0949,0.0949,0.0949,0.0949,0
2009-1-22,0.095,0.095,0.095,0.095,0
2009-1-26,0.09,0.09,0.09,0.09,0
2009-1-27,0.09,0.09,0.09,0.09,0
2009-1-30,0.09,0.09,0.0625,0.063,0
2009-2-2,0.0882,0.0882,0.083,0.0882,0
2009-2-3,0.0882,0.0882,0.0882,0.0882,0
2009-2-4,0.0882,0.0882,0.0882,0.0882,0
2009-2-5,0.09,0.09,0.09,0.09,0
2009-2-6,0.0896,0.09,0.0896,0.09,17
2009-2-9,0.1198,0.1198,0.09,0.119,1
2009-2-10,0.1195,0.1197,0.1,0.1197,4
2009-2-11,0.12,0.14,0.085,0.11,198
2009-2-12,0.11,0.125,0.11,0.125,11
2009-2-13,0.125,0.125,0.125,0.125,0
2009-2-16,0.123,0.16,0.123,0.16,2
2009-2-17,0.148,0.15,0.0813,0.15,0
2009-2-18,0.12,0.1236,0.0929,0.0929,3
2009-2-19,0.1199,0.1199,0.1199,0.1199,0
2009-2-20,0.09,0.09,0.075,0.075,0
2009-2-24,0.077,0.1155,0.0761,0.1155,2
2009-2-25,0.1155,0.1155,0.1155,0.1155,10
2009-2-26,0.1237,0.1237,0.0812,0.0812,4
2009-2-27,0.113,0.1137,0.111,0.111,1
2009-3-2,0.08,0.15,0.08,0.09,743
2009-3-3,0.098,0.11,0.093,0.098,9
2009-3-4,0.0901,0.12,0.0901,0.109,39
2009-3-5,0.095,0.105,0.095,0.105,77
2009-3-10,0.1,0.1184,0.095,0.1184,113
2009-3-11,0.11,0.117,0.1,0.114,14
2009-3-12,0.107,0.107,0.102,0.102,11
2009-3-13,0.1247,0.1247,0.0968,0.0969,14
2009-3-16,0.0824,0.1099,0.0824,0.1099,0
2009-3-17,0.1348,0.1348,0.095,0.12,62
2009-3-18,0.1197,0.1197,0.1197,0.1197,0
2009-3-19,0.1027,0.1181,0.101,0.1181,33
2009-3-20,0.1101,0.1243,0.0999,0.1109,29
2009-3-23,0.0951,0.1099,0.0951,0.1098,72
2009-3-24,0.0992,0.0992,0.0992,0.0992,0
2009-3-25,0.0971,0.1074,0.0954,0.1074,11
2009-3-26,0.0998,0.1065,0.07,0.1001,49
2009-3-27,0.0974,0.1098,0.0901,0.1,43
2009-3-30,0.1074,0.1074,0.1049,0.105,69
2009-3-31,0.0982,0.0982,0.0982,0.0982,0
2009-4-1,0.1088,0.1089,0.0984,0.1088,8
2009-4-2,0.1079,0.137,0.1079,0.1248,118
2009-4-3,0.1367,0.1367,0.101,0.1309,8
2009-4-6,0.1306,0.1309,0.1212,0.13,2
2009-4-7,0.1214,0.1295,0.1023,0.1288,5
2009-4-8,0.1244,0.1443,0.1244,0.13,20
2009-4-9,0.15,0.16,0.12,0.1574,14
2009-4-10,0.1695,0.1695,0.135,0.1498,47
2009-4-13,0.1498,0.1587,0.1375,0.14,83
2009-4-14,0.135,0.1704,0.135,0.1455,38
2009-4-16,0.169,0.2,0.1,0.16,43
2009-4-17,0.15,0.164,0.15,0.164,4
2009-4-20,0.1527,0.1527,0.1526,0.1526,1
2009-4-21,0.1515,0.1525,0.13,0.1305,16
2009-4-22,0.1405,0.159,0.135,0.159,11
2009-4-23,0.159,0.1933,0.141,0.1698,22
2009-4-24,0.168,0.168,0.14,0.14,8
2009-4-27,0.13,0.162,0.13,0.1438,14
2009-4-28,0.1696,0.1696,0.1696,0.1696,0
2009-4-29,0.1596,0.2374,0.1596,0.1797,318
2009-4-30,0.2109,0.2494,0.169,0.1947,69
2009-5-4,0.1902,0.206,0.1812,0.1812,402
2009-5-5,0.2,0.2,0.1801,0.1879,8
2009-5-6,0.1939,0.195,0.187,0.188,12
2009-5-7,0.209,0.2289,0.19,0.19,21
2009-5-8,0.199,0.1998,0.1801,0.19,1
2009-5-12,0.2,0.266,0.19,0.266,340
2009-5-13,0.3,0.3724,0.27,0.34,726
2009-5-14,0.34,0.35,0.27,0.2899,198
2009-5-15,0.3269,0.3398,0.2516,0.2701,104
2009-5-18,0.2715,0.2988,0.2705,0.2988,25
2009-5-19,0.3,0.3579,0.2995,0.3175,286
2009-5-20,0.317,0.3224,0.2999,0.3011,63
2009-5-21,0.293,0.3086,0.272,0.3029,12
2009-5-22,0.3003,0.3003,0.28,0.28,19
2009-5-25,0.2829,0.2829,0.27,0.27,132
2009-5-26,0.2616,0.274,0.2501,0.274,68
2009-5-27,0.274,0.2847,0.2643,0.2845,27
2009-5-28,0.2671,0.2818,0.2639,0.2809,4
2009-5-29,0.2997,0.2997,0.2976,0.2993,1
2009-6-1,0.3027,0.3027,0.2989,0.3017,10
2009-6-2,0.32,0.422,0.2909,0.3024,27
2009-6-3,0.3715,0.3715,0.27,0.2975,67
2009-6-4,0.2717,0.275,0.2699,0.274,114
2009-6-5,0.3077,0.315,0.28,0.3085,45
2009-6-8,0.273,0.347,0.273,0.34,487
2009-6-9,0.3599,0.455,0.3262,0.3456,300
2009-6-10,0.3899,0.432,0.3122,0.3839,0
2009-6-11,0.3186,0.38,0.3186,0.38,0
2009-6-15,0.38,0.3999,0.3201,0.3484,35
2009-6-16,0.3638,0.3638,0.2501,0.3299,52
2009-6-17,0.3895,0.3895,0.3895,0.3895,0
2009-6-18,0.3389,0.3446,0.2722,0.312,109
2009-6-19,0.3456,0.3456,0.2766,0.2995,96
2009-6-22,0.2831,0.2994,0.2551,0.2799,357
2009-6-23,0.231,0.2989,0.2201,0.2976,80
2009-6-24,0.297,0.297,0.2566,0.2697,67
2009-6-25,0.2799,0.2799,0.255,0.2693,35
2009-6-26,0.26,0.2697,0.2401,0.2659,15
2009-6-29,0.2596,0.2596,0.2596,0.2596,0
2009-6-30,0.2734,0.2734,0.2521,0.264,1
2009-7-1,0.2793,0.2795,0.2503,0.265,246
2009-7-2,0.2598,0.2729,0.2522,0.2522,0
2009-7-3,0.2699,0.2699,0.2457,0.2587,1
2009-7-6,0.2592,0.2592,0.22,0.2547,38
2009-7-7,0.2727,0.2727,0.2253,0.2578,68
2009-7-8,0.2648,0.2648,0.2287,0.245,28
2009-7-9,0.2559,0.2584,0.2351,0.2578,41
2009-7-10,0.2578,0.2578,0.235,0.2354,10
2009-7-13,0.2575,0.2575,0.1626,0.2467,41
2009-7-14,0.2498,0.2687,0.2352,0.2523,0
2009-7-15,0.254,0.254,0.218,0.2494,0
2009-7-16,0.2494,0.2494,0.2494,0.2494,2
2009-7-17,0.2525,0.2525,0.23,0.2514,43
2009-7-20,0.272,0.272,0.2517,0.252,9
2009-7-21,0.2539,0.254,0.2539,0.254,0
2009-7-22,0.267,0.267,0.24,0.2539,5
2009-7-23,0.24,0.265,0.2025,0.2589,24
