Date,Open,High,Low,Close,Volume
2014-6-4,1546.7,1546.8,1163,1170,35146
2014-6-5,1187.3,1195,1141.1,1145.1,24974
2014-6-6,1158.3,1173.5,1151,1163,7889
2014-6-9,1178.9,1185.6,1155.7,1172.1,7304
2014-6-10,1178.9,1181,1160.1,1170,3216
2014-6-11,1175,1183,1157.1,1179.9,8837
2014-6-16,1164,1181.2,1150,1165,13904
2014-6-17,1157.5,1187.7,1157.5,1185.5,8519
2014-6-18,1180.1,1185,1176,1182.9,1455
2014-6-19,1176,1182.7,1165,1168,1396
2014-6-20,1165.2,1179,1160,1175,2702
2014-6-23,1193.1,1218.8,1185,1196,14181
2014-6-24,1200,1208.9,1191,1191.8,3895
2014-6-25,1185.1,1195,1153.1,1176.8,3985
2014-6-26,1185,1188.5,1168.9,1185,2403
2014-6-27,1172.1,1197,1165,1185,1148
2014-6-30,1185,1218.1,1184.1,1218,8754
2014-7-1,1212.5,1239.8,1212.5,1218.2,3036
2014-7-2,1218,1220,1195,1200,33473
2014-7-3,1189.6,1213.8,1184,1192,25620
2014-7-4,1184.9,1204.9,1183,1186,2133
2014-7-7,1200,1211.8,1152,1160,19359
2014-7-8,1165,1180,1100,1113.4,26565
2014-7-9,1100,1111,1073.8,1094,19466
2014-7-10,1102.5,1125.7,1061.5,1077.8,11235
2014-7-11,1072.2,1101.5,1056,1099.3,35563
2014-7-14,1109.6,1123.5,1090.2,1118.9,6202
2014-7-15,1123.3,1127.5,1110,1114.3,2789
2014-7-16,1114.2,1115.5,1098.1,1106.5,7340
2014-7-17,1098,1107.5,1067.6,1088,7221
2014-7-18,1084.2,1084.2,1054.1,1072.3,7146
2014-7-21,1080,1081.4,1035,1047.5,8353
2014-7-22,1050.4,1060,1043.9,1060,10468
2014-7-23,1061.4,1062,1047.4,1056.2,5286
2014-7-24,1056.2,1093.4,1048.3,1077.8,5186
2014-7-25,1077.8,1109.4,1070.1,1075.1,5127
2014-7-28,1060.2,1075,1050.1,1055,3992
2014-7-29,1055.1,1147.6,1055.1,1116,11794
2014-7-30,1112.3,1129.8,1106,1120,3075
2014-7-31,1129.9,1129.9,1081.1,1087.7,4886
2014-8-1,1096.9,1096.9,1060,1062.2,6621
2014-8-4,1073.2,1101.9,1072.7,1089.5,7073
2014-8-5,1101.3,1110.9,1076.1,1094.6,528
2014-8-6,1076.1,1076.1,1043,1060.1,3329
2014-8-7,1041.1,1055,1041.1,1054.5,3528
2014-8-8,1077.2,1077.2,1033.5,1033.5,7627
2014-8-11,1040,1071.9,1040,1053,13759
2014-8-12,1050,1070,1027.9,1052.1,15203
2014-8-13,1050,1067,1045.1,1054.6,2194
2014-8-14,1047.5,1065.4,1040,1053.1,3752
2014-8-15,1040.6,1060,1040,1041,3461
2014-8-18,1025.4,1038.4,1025,1032,5935
2014-8-19,1045,1100,1040,1089,16775
2014-8-20,1081.3,1116.9,1081.3,1109.7,6577
2014-8-21,1098.1,1103.3,1085.7,1089.2,10737
2014-8-22,1085,1085,1041,1050,16800
2014-8-25,1054,1066.9,1051,1061.6,2679
2014-8-26,1062,1068,1056,1056,3465
2014-8-27,1059.8,1062.1,1058,1062.1,457
2014-8-28,1050.2,1060,1041,1055,10192
2014-8-29,1047,1061.6,1044.9,1050,7012
2014-9-1,1061.7,1061.7,1050.5,1055.5,184
2014-9-2,1059.5,1092.9,1057.5,1087.6,1756
2014-9-3,1089.9,1133.3,1079.8,1116.8,49804
2014-9-4,1120.4,1133.9,1100.1,1119,13880
2014-9-5,1109.9,1160,1106.3,1159.6,15060
2014-9-8,1166.5,1537.8,1159.7,1173.7,12376
2014-9-9,1170,1170,1157.3,1157.3,1918
2014-9-10,1150.1,1168.5,1141.1,1149,3514
2014-9-11,1154,1174,1148.5,1149.9,3651
2014-9-12,1144.1,1200.9,1144.1,1173.7,4322
2014-9-15,1187.7,1230,1175,1230,26905
2014-9-16,1195.6,1549.9,1167.1,1176.8,41462
2014-9-17,1189.5,1212.9,1165,1174.1,22337
2014-9-18,1174.5,1205,1159.2,1164.1,17209
2014-9-19,1162,1177,1121.6,1148.5,18414
2014-9-22,1159.9,1179,1113,1135.2,9633
2014-9-23,1115,1144.8,1103,1125,11478
2014-9-24,1125,1146.4,1112,1130,12744
2014-9-25,1140.6,1171.6,1140.6,1154,16407
2014-9-26,1164.7,1168.8,1112.1,1162,8655
2014-9-29,1163.9,1180,1120.6,1131.3,15825
2014-9-30,1120,1160,1114.1,1130.7,18898
2014-10-1,1110,1116,1077,1091,10870
2014-10-2,1072,1076,1032,1035,9479
2014-10-3,1065,1084,1056,1078,7461
2014-10-6,1081,1107,1078,1082,12208
2014-10-7,1077,1080,1060,1069,6037
2014-10-8,1061,1061,1035,1036,5456
2014-10-9,1047,1058,1037,1037,3451
2014-10-10,1045,1046,1006,1011,4958
2014-10-13,1027,1048,986,996,18937
2014-10-14,1010,1050,1010,1050,17512
2014-10-15,1031,1055,1001,1015,15854
2014-10-16,1026,1049,1010,1035,11639
2014-10-17,1040,1105,1040,1077,19695
2014-10-20,1080,1092,1060,1072,7157
2014-10-21,1078,1104,1076,1096,7164
2014-10-22,1115,1127,1106,1125,12210
2014-10-23,1113,1180,1075,1155,41504
2014-10-24,1147,1168,1132,1142,11694
2014-10-27,1150,1176,1136,1153,4996
2014-10-28,1154,1196,1154,1196,17960
2014-10-29,1207,1232,1202,1208,14261
2014-10-30,1212,1240,1166,1174,17743
2014-10-31,1171,1237,1160,1213,39161
2014-11-3,1232,1250,1200,1233,3698
2014-11-5,1205,1247,1172,1214,8978
2014-11-6,1228,1277,1221,1229,12389
2014-11-7,1242,1350,1205,1233,13308
2014-11-10,1243,1300,1156,1214,16825
2014-11-11,1232,1248,1182,1221,9302
2014-11-12,1226,1232,1186,1221,4480
2014-11-13,1222,1332,1220,1230,4985
2014-11-14,1228,1298,1210,1224,3632
2014-11-17,1225,1253,1223,1230,2447
2014-11-18,1221,1234,1212,1224,5125
2014-11-19,1221,1222,1204,1206,1726
2014-11-20,1206,1212,1194,1209,3247
2014-11-21,1206,1231,1180,1226,10804
2014-11-24,1207,1251,1174,1183,6219
2014-11-25,1163,1215,1162,1208,4155
2014-11-26,1196,1244,1184,1235,7898
2014-11-27,1232,1257,1174,1230,9577
2014-11-28,1240,1289,1218,1238,19198
2014-12-1,1242,1324,1200,1244,21771
2014-12-2,1222,1283,1205,1283,17393
2014-12-3,1260,1323,1240,1280,22431
2014-12-4,1274,1321,1210,1236,19206
2014-12-5,1248,1248,1137,1149,29998
2014-12-8,1144,1196,1076,1090,16368
2014-12-9,1090,1090,1034,1075,24783
2014-12-10,1082,1157,1055,1088,35769
2014-12-11,1079,1085,1050,1055,28533
2014-12-12,1055,1152,955,1133,26472
2014-12-15,1125,1195,1087,1127,33525
2014-12-16,1095,1198,1061,1131,26790
2014-12-17,1175,1180,1078,1096,13521
2014-12-18,1101,1149,1061,1100,27341
2014-12-19,1118,1132,1022,1063,32333
2014-12-22,1065,1065,973,1000,27332
2014-12-23,1002,1032,990,1013,11153
2014-12-24,980,1014,980,996,40942
2014-12-25,1001,1045,1001,1038,35626
2014-12-26,1036,1045,980,991,24041
2014-12-29,1010,1044,971,1028,37278
2014-12-30,1047,1060,1010,1025,11610
2015-1-5,1064,1080,1051,1079,8834
2015-1-6,1123,1123,1047,1092,4009
2015-1-8,1084,1117,1069,1094,5960
2015-1-9,1101,1116,1030,1098,3064
2015-1-12,1100,1129,1093,1113,7511
2015-1-13,1115,1155,1115,1153,72155
2015-1-14,1150,1185,1147,1177,18285
2015-1-15,1181,1200,1165,1175,34207
2015-1-16,1165,1170,1150,1165,8067
2015-1-19,1121,1182,1121,1165,9278
2015-1-20,1165,1167,1101,1122,41989
2015-1-21,1110,1125,1075,1083,109370
2015-1-22,1085,1115,1084,1106,25857
2015-1-23,1111,1161,1104,1117,36333
2015-1-26,1133,1133,1105,1121,11550
2015-1-27,1099,1116,1084,1095,12515
2015-1-28,1093,1105,1069,1081,23975
2015-1-29,1060,1079,1045,1075,83883
2015-1-30,1090,1100,1052,1075,99815
2015-2-2,1058,1088,980,998,56487
2015-2-3,1010,1034,992,997,75020
2015-2-4,1008,1051,1005,1050,41377
2015-2-5,1040,1096,1035,1090,37434
2015-2-6,1085,1125,1080,1084,20518
2015-2-9,1084,1150,1060,1078,65849
2015-2-10,1060,1101,1036,1045,69119
2015-2-11,1049,1078,1019,1037,49561
2015-2-12,1047,1130,1030,1071,79591
2015-2-13,1062,1120,1062,1115,40958
2015-2-16,1105,1105,1066,1070,46228
2015-2-17,1049,1094,1025,1030,60018
2015-2-18,1035,1160,1035,1084,159145
2015-2-19,1080,1098,1033,1049,66788
2015-2-20,1050,1085,1045,1053,56420
2015-2-24,1044,1049,1030,1038,53301
2015-2-25,1040,1075,1007,1025,95426
2015-2-26,1039,1039,1005,1009,59208
2015-2-27,1016,1028,1004,1016,46134
2015-3-2,1001,1030,991,1000,68716
2015-3-3,1009,1022,998,1000,99947
2015-3-4,1000,1033,985,996,361836
2015-3-5,995,1025,961,970,298623
2015-3-6,970,970,924,932,98064
2015-3-10,910,917,866,885,111168
2015-3-11,890,905,866,898,73769
2015-3-12,900,903,881,894,29977
2015-3-13,923,923,870,880,42268
2015-3-16,891,905,876,878,45891
2015-3-17,878,890,870,889,34938
2015-3-18,890,899,871,877,29003
2015-3-19,877,888,857,874,46106
2015-3-20,874,874,863,866,33000
2015-3-23,866,891,863,874,42844
2015-3-24,874,885,852,866,53437
2015-3-25,871,890,866,885,33468
2015-3-26,885,888,859,880,36203
2015-3-27,875,885,865,883,20583
2015-3-30,877,903,877,887,38555
2015-3-31,891,895,878,893,28269
2015-4-1,885,903,883,902,45171
2015-4-2,902,920,887,919,63305
2015-4-3,924,946,922,940,34954
2015-4-6,949,957,914,934,39601
2015-4-7,940,958,934,942,58412
2015-4-8,939,958,920,946,38481
2015-4-9,948,948,919,939,38163
2015-4-10,939,946,922,940,41815
2015-4-13,945,969,931,941,61203
2015-4-14,943,947,903,910,65429
2015-4-15,911,977,908,973,77722
2015-4-16,987,1049,983,1028,201660
2015-4-17,1037,1064,1010,1053,97633
2015-4-20,1061,1076,1039,1054,70768
2015-4-21,1075,1100,1061,1091,112991
2015-4-22,1044,1095,1044,1081,29001
2015-4-23,1088,1088,1056,1076,20456
2015-4-24,1064,1072,1050,1052,26802
2015-4-27,1060,1075,1050,1070,13031
2015-4-28,1070,1070,947,986,136393
2015-4-29,994,1013,968,997,35140
2015-4-30,998,1010,994,1001,23473
2015-5-5,999,1013,984,985,46740
2015-5-6,995,1009,979,1006,55440
2015-5-7,1001,1005,961,968,82000
2015-5-8,970,991,963,979,52763
2015-5-12,986,995,970,979,38788
2015-5-13,977,982,940,944,78032
2015-5-14,954,982,954,971,34923
2015-5-15,980,984,948,950,28844
2015-5-18,948,948,928,944,45590
2015-5-19,955,957,933,939,54805
2015-5-20,940,940,923,926,9760
2015-5-21,928,940,926,935,25100
2015-5-22,932,936,923,928,27601
2015-5-25,927,930,916,928,14561
2015-5-26,967,967,915,923,20690
2015-5-27,925,935,911,919,29120
2015-5-28,928,964,926,950,26138
2015-5-29,964,980,941,941,31993
2015-6-1,949,968,948,950,16336
2015-6-2,953,997,953,997,32356
2015-6-3,990,1004,976,980,43881
2015-6-4,980,999,970,993,28282
2015-6-5,995,998,960,976,44361
2015-6-8,974,995,970,977,20654
2015-6-9,975,975,948,965,25460
2015-6-10,960,970,940,950,32914
2015-6-11,954,954,936,950,35944
2015-6-15,954,964,942,946,23830
2015-6-16,941,944,921,927,26004
2015-6-17,933,940,920,930,13611
2015-6-18,932,932,902,906,41408
2015-6-19,913,919,895,910,16535
2015-6-22,914,927,870,881,89054
2015-6-23,885,894,866,871,44558
2015-6-24,870,878,861,871,25909
2015-6-25,879,881,861,866,25123
2015-6-26,866,884,846,855,52782
2015-6-29,854,863,835,842,32921
2015-6-30,840,864,822,848,58506
2015-7-1,847,865,845,853,24063
2015-7-2,850,856,840,853,24700
2015-7-3,853,859,843,857,13915
2015-7-6,853,867,843,860,36238
2015-7-7,858,880,801,820,128528
2015-7-8,840,852,821,845,69615
2015-7-9,860,862,838,855,40753
2015-7-10,854,867,838,845,29611
2015-7-13,835,857,835,857,27807
2015-7-14,858,880,858,880,46773
2015-7-15,880,890,856,875,23962
2015-7-16,875,880,867,873,21227
2015-7-17,873,904,873,900,39649
2015-7-20,885,904,885,891,29295
2015-7-21,889,894,873,889,25412
2015-7-22,887,887,865,865,22417
2015-7-23,868,879,859,879,21943
2015-7-24,874,890,856,867,28701
2015-7-27,866,871,845,860,21662
2015-7-28,860,890,860,883,40624
2015-7-29,883,914,880,903,25671
2015-7-30,905,929,884,898,99490
2015-7-31,888,888,850,882,96600
2015-8-3,864,886,845,866,45982
2015-8-4,866,885,860,869,23533
2015-8-5,868,885,864,878,21998
2015-8-6,880,880,844,850,75981
2015-8-7,854,869,854,860,28458
2015-8-10,855,870,853,858,23258
2015-8-11,858,869,846,851,52602
2015-8-12,851,858,825,830,101531
2015-8-13,837,851,831,839,95839
2015-8-14,840,846,821,831,64741
2015-8-17,828,847,825,835,64859
2015-8-18,830,831,812,819,43912
2015-8-19,822,832,790,799,125770
2015-8-20,799,809,773,780,76956
2015-8-21,780,787,762,770,60797
2015-8-24,741,762,711,738,163995
2015-8-25,732,769,732,764,111491
2015-8-26,754,767,737,742,103780
2015-8-27,748,780,746,776,121225
2015-8-28,786,806,783,800,99472
2015-8-31,801,814,791,805,78096
2015-9-1,797,807,770,782,96381
2015-9-2,775,797,772,780,58513
2015-9-3,783,801,783,795,55513
2015-9-4,789,797,782,790,69142
2015-9-7,787,795,784,786,39642
2015-9-8,788,799,785,786,39570
2015-9-9,786,801,782,787,89630
2015-9-10,787,795,767,773,104104
2015-9-11,775,780,755,760,81910
2015-9-14,762,836,741,809,347085
2015-9-15,813,829,792,815,138531
2015-9-16,814,872,807,862,156563
2015-9-17,859,869,850,860,45814
2015-9-18,860,873,832,841,68502
2015-9-21,841,847,821,826,22676
2015-9-22,820,821,774,775,106292
2015-9-23,780,800,749,752,153537
2015-9-24,750,752,705,714,152650
2015-9-25,716,738,706,714,140554
2015-9-28,712,720,686,694,92047
2015-9-29,689,715,683,703,129448
2015-9-30,710,732,704,713,110553
2015-10-1,718,722,698,704,58288
2015-10-2,706,734,701,730,81032
2015-10-5,737,783,737,775,130635
2015-10-6,784,794,752,769,103725
2015-10-7,770,785,738,745,111838
2015-10-8,749,749,731,736,62763
2015-10-9,742,769,736,763,76620
2015-10-12,764,767,732,743,63319
2015-10-13,744,821,744,814,239794
2015-10-14,804,823,787,818,151268
2015-10-15,828,862,821,821,214592
2015-10-16,828,844,813,813,78331
2015-10-19,811,857,811,845,85526
2015-10-20,842,854,830,834,52935
2015-10-21,831,836,801,822,62432
2015-10-22,820,840,813,836,49449
2015-10-23,822,823,798,813,122032
2015-10-26,815,854,808,838,91353
2015-10-27,862,965,851,940,624018
2015-10-28,960,1009,932,1002,321318
2015-10-29,996,1020,971,1009,123641
2015-10-30,995,1022,989,1016,59156
2015-11-2,1018,1036.8,1003.1,1030,83386
2015-11-3,1030.3,1039.9,1011,1011,76620
2015-11-5,1002.2,1011.7,980,980,66631
2015-11-6,982.1,1005,967,994.9,55334
2015-11-9,999,1028.4,994.2,1012,44129
2015-11-10,1021.1,1036.5,1011.7,1027,63241
2015-11-11,1020.1,1048.9,1015.2,1040,51775
2015-11-12,1040.5,1049.9,1005,1020.6,55771
2015-11-13,1017.9,1020,990,1001,42234
2015-11-16,996,1022,996,1015.1,31869
2015-11-17,1014.9,1080.5,1012.2,1059,103890
2015-11-18,1060,1098.8,1050.2,1094,116318
2015-11-19,1099,1106.8,1071.8,1086,150586
