Date,Open,High,Low,Close,Volume
2007-3-12,25,25,25,25,10
2007-3-13,35,35,35,35,1
2007-3-23,50,70,35,70,20
2007-3-26,70,120,70,95.001,6
2007-3-28,71,71,50,50,9
2007-4-3,67.7,67.7,67.7,67.7,2
2007-4-13,40,50,39.97,50,92
2007-4-16,40.4,40.5,39.77,40,10
2007-4-17,40,45,40,45,21
2007-4-18,36.001,36.001,36,36,18
2007-4-19,35,35,30,30,12
2007-4-20,28.999,29.999,20,20.151,325
2007-4-23,19.5,20.494,18.7,19,53
2007-4-24,20,20.497,18.1,18.998,299
2007-4-25,18.5,19,17.885,17.885,55
2007-4-26,17.5,18.5,17.5,18.5,4
2007-4-27,17.101,18.18,17.001,17.001,12
2007-4-28,17.1,18,17.1,18,2
2007-5-2,18,19,18,19,4
2007-5-4,17.131,17.5,15.01,17.5,46
2007-5-7,15.202,15.202,14.31,14.31,53
2007-5-8,15.999,15.999,15.999,15.999,1
2007-5-10,16.3,30,15.7,15.7,501
2007-5-11,15.2,18.66,13.85,14,818
2007-5-14,14,16.05,13.522,14,109
2007-5-15,14,14,13.2,13.2,8
2007-5-16,14.75,15,13.24,13.999,96
2007-5-17,14.4,18,11.11,13.99,193
2007-5-18,13.9,13.9,12,12,95
2007-5-21,13,14.47,11.999,12,215
2007-5-22,12.7,12.7,11.506,11.506,98
2007-5-23,12.6,12.6,11.621,12,215
2007-5-25,11.071,11.8,10.011,11.5,144
2007-5-28,10,13.5,9.55,11.999,257
2007-5-29,9.622,11.8,9.62,10.04,5
2007-5-30,10.001,10.001,9.9,9.9,4
2007-5-31,10,10.5,9.953,10.302,10
2007-6-4,11.499,12.2,10.7,10.7,6
2007-6-5,11.5,12.3,11.4,12.3,42
2007-6-6,12.477,12.477,12,12,10
2007-6-7,12.379,12.379,12.379,12.379,1
2007-6-8,12.479,12.479,12.478,12.478,2
2007-6-9,12.48,12.48,12.479,12.479,11
2007-6-13,12.478,12.478,12.477,12.477,2
2007-6-14,11.001,11.001,11,11,3
2007-6-15,12.45,12.45,10.705,10.706,6
2007-6-18,12,12,10.855,11.18,138
2007-6-19,10.651,11.78,10.651,10.98,59
2007-6-20,11.67,11.67,10.5,10.5,97
2007-6-21,10.504,11.7,10.501,11.2,200
2007-6-22,11.6,12.446,10.803,11.55,55
2007-6-25,11,11,11,11,10
2007-6-26,11,11,8,9,763
2007-6-27,9.333,13.77,9.332,9.8,2607
2007-6-28,10,10.2,8,8.446,1316
2007-6-29,8.5,9.4,7.516,8,2180
2007-7-2,7.999,8.477,6.555,7.999,983
2007-7-3,7.9,8.08,6.62,7,2184
2007-7-4,7.15,7.8,7.042,7.699,365
2007-7-5,7.8,8.689,6.55,7.05,10456
2007-7-6,7.319,7.46,6.759,6.86,1140
2007-7-9,6.977,7.175,6.865,7.15,1060
2007-7-10,7.09,7.4,7.09,7.275,1144
2007-7-11,7.12,7.299,7.11,7.235,298
2007-7-12,7.239,7.399,7.1,7.245,232
2007-7-13,7.115,7.2,7.001,7.177,233
2007-7-16,7.05,7.14,7.026,7.027,132
2007-7-17,7.01,7.279,7,7.128,159
2007-7-18,7.021,7.05,7,7.039,116
2007-7-19,7.001,7.203,6.901,7.033,184
2007-7-20,7.03,7.194,7,7.05,893
2007-7-23,6.95,7.1,6.95,7.05,249
2007-7-24,7.085,7.085,6.97,7.077,43
2007-7-25,7,7,7,7,4
2007-7-26,7,7.14,6.851,7.033,293
2007-7-27,6.81,8.499,6.81,7.383,3141
2007-7-30,7.4,7.587,7.14,7.3,69
2007-7-31,7.2,7.477,7.15,7.224,86
2007-8-1,7.14,10.2,7,10.18,9784
2007-8-2,10.18,11,8.1,8.65,8536
2007-8-3,8.93,10.1,7.96,8.9,1485
2007-8-6,9.44,9.44,8.318,8.879,597
2007-8-7,8.799,9.199,8.111,8.986,348
2007-8-8,8.506,9.83,8.48,9.76,5830
2007-8-9,9.991,10.69,8.8,9.287,5368
2007-8-10,9.37,9.37,8.5,8.988,216
2007-8-13,9,9.25,8.6,9.188,170
2007-8-14,8.511,9.64,8.511,9.08,792
2007-8-15,9.229,9.229,8.7,8.899,157
2007-8-16,8.7,8.899,7.9,8.338,445
2007-8-17,8.229,8.949,7.018,8.2,408
2007-8-20,8,8.35,7.5,7.979,500
2007-8-21,8.1,8.69,7.3,8,1291
2007-8-22,7.52,7.925,5,7.411,360
2007-8-23,7.799,7.799,7.2,7.4,136
2007-8-24,7.494,7.7,7.2,7.68,82
2007-8-27,8,8.149,7.5,8.149,319
2007-8-28,7.804,9,7.804,8.499,704
2007-8-29,8.79,8.8,7.815,8.38,221
2007-8-30,8.002,8.19,8.002,8.19,37
2007-8-31,7.931,8,7.93,8,14
2007-9-3,7.905,8.076,7.45,8.076,35
2007-9-4,8,8.15,7.901,8.15,12
2007-9-5,7.702,8.435,7.702,8.435,2
2007-9-6,7.777,8.7,7.777,8.18,166
2007-9-7,7.908,8.18,7.874,8,158
2007-9-10,7.999,8.099,7.874,8.099,22
2007-9-11,8.24,8.428,8.1,8.11,60
2007-9-12,8.43,8.5,8.303,8.348,74
2007-9-13,8.045,8.37,7.941,8.37,188
2007-9-14,8.389,8.389,7.95,8.15,127
2007-9-17,7.85,8.05,7.83,7.83,38
2007-9-18,8.098,8.1,7.91,8,88
2007-9-19,7.902,8.05,7.3,8.05,518
2007-9-20,7.9,8.047,7.615,7.989,49
2007-9-21,7.555,8.019,7.402,7.979,8
2007-9-24,7.977,7.999,7.974,7.999,32
2007-9-25,7.6,7.998,7.301,7.95,148
2007-9-26,7.589,8.301,7,7.586,746
2007-9-27,7.689,7.699,7.47,7.617,58
2007-9-28,7.426,7.599,7.355,7.599,8
2007-10-1,7.101,7.88,7.011,7.499,170
2007-10-2,7.542,7.542,7.498,7.499,3
2007-10-3,7.28,7.5,7.12,7.495,36
2007-10-4,7.271,7.587,7.25,7.5,52
2007-10-5,7.202,7.499,7.2,7.499,299
2007-10-8,7.25,7.4,7.218,7.4,34
2007-10-9,7.5,7.5,7.21,7.397,118
2007-10-10,7.499,7.499,7.052,7.349,91
2007-10-11,7.2,8.896,7.2,8.676,1452
2007-10-12,8.67,10.197,8.05,8.698,3980
2007-10-15,8.401,8.978,8.3,8.5,1572
2007-10-16,8.949,8.949,8.14,8.317,1488
2007-10-17,8.11,8.596,8.11,8.5,740
2007-10-18,8.401,8.63,8.303,8.34,975
2007-10-19,8.394,8.394,8.394,8.394,1
2007-10-22,8.2,8.534,8.08,8.277,72
2007-10-23,8.488,8.987,8.119,8.119,106
2007-10-24,8.119,8.675,8.111,8.496,71
2007-10-25,8.498,8.501,8.211,8.349,40
2007-10-26,8.539,8.539,8.03,8.24,330
2007-10-29,8.535,8.535,8.001,8.251,150
2007-10-30,8.409,8.409,7.822,8.249,699
2007-10-31,8.245,8.255,8.055,8.255,40
2007-11-1,8.001,8.198,8,8.168,93
2007-11-2,7.901,8.194,7.901,8.188,4
2007-11-6,8,8.22,7.7,8,190
2007-11-7,8,8,8,8,2
2007-11-8,8,8.01,7.751,7.999,4
2007-11-9,8,8,7.822,7.9,39
2007-11-12,8.01,8.01,7.733,7.733,4
2007-11-13,7.9,7.9,7.736,7.899,14
2007-11-14,7.899,7.899,7.736,7.75,24
2007-11-15,7.7,8.47,7.7,8.371,80
2007-11-16,8.05,8.199,7.801,8.199,73
2007-11-19,7.901,7.971,7.5,7.971,14
2007-11-20,7.702,8.198,7.702,8.06,34
2007-11-22,7.771,7.771,7.618,7.759,25
2007-11-23,8.05,8.05,7.35,8,1604
2007-11-26,7.612,7.699,7.526,7.699,64
2007-11-27,7.7,7.7,7.6,7.689,276
2007-11-28,7.413,7.888,7.4,7.883,115
2007-11-29,7.603,7.75,7.603,7.75,182
2007-11-30,7.794,7.989,7.58,7.989,29
2007-12-3,7.621,7.91,7.6,7.6,45
2007-12-4,7.61,7.65,7.601,7.65,28
2007-12-5,7.5,7.729,7.35,7.5,49
2007-12-6,7.488,7.5,7.4,7.45,150
2007-12-7,7.451,7.55,7.31,7.311,49
2007-12-10,7.312,7.65,7.3,7.58,396
2007-12-11,7.382,7.6,7.301,7.597,197
2007-12-12,7.596,7.65,7.301,7.49,587
2007-12-13,7.313,7.535,7.25,7.496,40
2007-12-14,7.361,7.361,7.26,7.26,6
2007-12-18,7.25,7.398,7.1,7.301,71
2007-12-19,7.1,7.659,7,7.489,515
2007-12-20,7.2,7.389,7.2,7.38,97
2007-12-21,7.2,7.579,7.2,7.549,128
2007-12-24,7.649,7.649,7.28,7.549,21
2007-12-25,7.225,7.497,7.221,7.364,42
2007-12-26,7.153,7.474,7.153,7.474,2
2007-12-27,7.27,7.5,7.261,7.261,270
2007-12-28,7.332,7.333,7.279,7.3,55
2008-1-9,7.3,7.591,7.3,7.485,8
2008-1-10,7.4,7.4,7.35,7.398,9
2008-1-11,7.399,7.43,7.01,7.399,58
2008-1-14,7.377,7.387,7.299,7.387,96
2008-1-15,7.38,8.879,7.2,8.5,3031
2008-1-16,8.4,9,8.222,9,2525
2008-1-17,8.8,9.39,8.611,8.611,527
2008-1-18,8.9,10,8.361,8.899,171
2008-1-21,8.351,8.351,7.75,7.901,338
2008-1-22,7.51,9.5,7.4,8.985,466
2008-1-23,8.463,8.997,8.03,8.03,97
2008-1-24,8.15,8.5,8.12,8.25,377
2008-1-25,8.997,9.391,7.6,8.21,309
2008-1-30,8,8.2,8,8.2,2
2008-1-31,7.5,8,7.001,7.84,196
2008-2-1,7.7,7.977,7.7,7.95,158
2008-2-4,7.603,7.868,7.602,7.868,40
2008-2-6,7.115,7.886,7.115,7.794,50
2008-2-7,7.562,7.58,7.4,7.4,109
2008-2-8,7.413,7.413,7.301,7.301,2
2008-2-11,7.7,7.785,7.7,7.785,3
2008-2-12,8.25,8.25,7.425,7.938,3
2008-2-13,7.411,7.849,7.411,7.849,2
2008-2-18,7.701,7.84,7.55,7.84,31
2008-2-19,8.23,8.23,7.94,8,326
2008-2-22,7.6,8,7.551,7.98,279
2008-2-26,7.603,8,7.6,7.9,625
2008-2-27,7.95,8.2,7.95,8,35
2008-2-28,7.663,8.095,7.6,7.996,396
2008-2-29,7.703,8.38,7.702,8.146,131
2008-3-3,7.705,7.95,7.7,7.95,46
2008-3-4,7.97,8,7.8,7.801,498
2008-3-5,7.51,7.9,7.5,7.9,142
2008-3-6,7.8,7.9,7.6,7.6,319
2008-3-7,7.85,7.85,7.85,7.85,1
2008-3-11,7.85,7.85,7.8,7.85,390
2008-3-12,7.85,7.85,7.84,7.84,292
2008-3-13,7.995,8.275,7.92,8.275,119
2008-3-14,8.026,8.151,8,8.001,297
2008-3-17,8,8,7.5,7.633,347
2008-3-18,8.15,10.68,8.1,9,3115
2008-3-19,9,9.9,8.2,8.8,4185
2008-3-20,8.9,9.4,8.46,9.4,4936
2008-3-21,9.9,9.9,8.671,8.71,247
2008-3-24,9.2,9.2,8.69,9,151
2008-3-25,9.28,9.794,9.056,9.056,380
2008-3-26,9.05,9.592,9.05,9.251,91
2008-3-27,9.251,9.251,8.542,8.801,76
2008-3-28,9.3,9.3,9.3,9.3,2
2008-3-31,8.703,8.793,8.7,8.793,27
2008-4-1,9.1,9.13,9.1,9.11,97
2008-4-2,9.2,9.2,9.151,9.151,24
2008-4-3,9.15,9.15,9.05,9.05,110
2008-4-4,9.173,9.89,9.158,9.88,598
2008-4-7,9.4,9.5,9,9.5,462
2008-4-8,9.2,10,9.2,10,298
2008-4-9,9.95,10.499,9.801,10.4,837
2008-4-10,10,11,10,10.55,1407
2008-4-11,10.263,10.52,10.015,10.2,445
2008-4-14,9.612,9.612,9.612,9.612,9
2008-4-15,9.504,9.9,8.7,9.9,21
2008-4-16,9.521,9.521,9.521,9.521,12
2008-4-17,9.6,9.6,9.6,9.6,84
2008-4-18,9.824,10.8,9.824,10.8,1025
2008-4-21,9.84,10.2,9.69,10.2,487
2008-4-23,9.5,10.9,9.5,10.9,802
2008-4-24,10.63,11,10.63,11,500
2008-4-29,10.895,10.895,9.35,9.396,16
2008-4-30,9,9,9,9,17
2008-5-5,10.25,10.6,9.6,10.6,87
2008-5-6,9.478,10,8.815,8.815,221
2008-5-7,9.263,10.4,9.011,10.4,776
2008-5-8,10.2,11.2,10.099,10.11,1026
2008-5-12,10.6,12.25,10.5,12.25,976
2008-5-13,11.9,13,11.9,13,200
2008-5-16,12,12.8,12,12.8,509
2008-5-19,12.98,15,12.98,14.01,520
2008-5-20,14.75,14.75,14,14.6,114
2008-5-21,14.89,15,14.76,14.76,3
2008-5-28,14,14,13,13,378
2008-5-29,14.9,15.75,14.9,15,302
2008-5-30,15,15,15,15,3
2008-6-3,14.65,15,14.65,15,1014
2008-6-5,14.98,14.99,14.95,14.99,11
2008-6-6,13.7,13.7,13.7,13.7,2
2008-6-9,13,13,13,13,2
2008-6-11,10.756,10.756,10.756,10.756,1
2008-6-18,11.076,11.076,11.076,11.076,3
2008-6-27,11.071,11.071,11.07,11.07,5
2008-6-30,11.07,11.07,11.07,11.07,6
2008-7-1,10,10,10,10,10
2008-7-8,9.723,9.723,9.723,9.723,1
2008-7-10,9.723,9.723,9.723,9.723,2
2008-7-11,10,10,9.723,9.723,2
2008-7-14,10,11.5,10,11.5,3
2008-7-15,10.05,12.99,10.05,12.99,2
2008-8-5,11.042,11.042,11.042,11.042,1
2008-8-12,9.725,9.725,9.725,9.725,2
2008-8-15,11.988,11.988,9.726,9.8,28
2008-8-18,11.468,11.5,11.468,11.5,7
2008-8-19,11.5,11.5,11.5,11.5,3
2008-8-20,12.5,12.5,9.775,9.775,4
2008-8-21,11.49,11.5,11.49,11.5,4
2008-8-22,11.5,13.3,11.5,13.3,160
2008-8-25,13,17,9.738,17,112
2008-8-26,17.2,19.9,13.102,18,1262
2008-8-27,11.862,11.862,11.862,11.862,52
2008-8-28,14.88,14.88,10,11.49,274
2008-8-29,11.999,11.999,11.862,11.862,8
2008-9-1,11.889,11.889,11.862,11.862,2
2008-9-2,11.862,12.999,8.001,12.389,17
2008-9-3,11.87,11.87,11.862,11.862,58
2008-9-8,11.862,12.199,11.862,12.199,2
2008-9-23,11.862,11.862,11.862,11.862,1
2008-9-25,11.862,11.862,11.862,11.862,23
2008-9-26,11.862,12,11.862,12,83
2008-9-29,11.862,11.862,11.862,11.862,6
2008-9-30,11.862,12.98,11.862,12,273
2008-10-1,12.979,15.995,11.001,11.001,80
2008-10-2,11.66,12.299,11.66,12.299,2
2008-10-3,11.01,11.01,10.61,10.611,138
2008-10-6,11.796,11.8,11.796,11.8,116
2008-10-7,9.001,9.001,9.001,9.001,1
2008-10-9,9.811,9.811,9.811,9.811,1
2008-10-13,9.813,9.813,9.811,9.811,7
2008-10-16,10.012,10.012,10,10,17
2008-10-20,10,10,10,10,40
2008-10-21,10,10.5,10,10.5,3
2008-10-23,10.5,10.5,10.5,10.5,16
2008-10-28,10.012,10.012,10,10,12
2008-10-29,9,9,9,9,38
2008-10-31,9.901,9.901,9.901,9.901,1
2008-11-1,9.5,9.5,9.5,9.5,1
2008-11-10,12.334,12.334,9.134,11.4,29
2008-11-11,10.286,10.286,10.28,10.28,47
2008-11-13,9.001,9.95,8.1,9.95,62
2008-11-14,9.001,10,8.997,10,132
2008-11-18,12.22,12.25,10,10,56
2008-11-19,10,10,10,10,5
2008-11-20,9,9,9,9,13
2008-11-27,9.5,9.5,9.5,9.5,20
2008-11-28,9.5,9.5,9.5,9.5,14
