Date,Open,High,Low,Close,Volume
2011-12-21,174,174,174,174,1
2011-12-22,243,243,190,195,5
2011-12-23,200,200,200,200,1
2011-12-26,205,250,175,175,30
2011-12-28,175,175,175,175,2
2012-1-4,150,150,150,150,1
2012-1-20,189,189,189,189,1
2012-1-25,264,264,264,264,1
2012-1-26,190,250,162.02,162.02,76
2012-1-27,210,210,210,210,1
2012-2-1,199.97,200,199.97,200,5
2012-2-6,200,200,200,200,1
2012-2-15,200,200,200,200,1
2012-2-20,165.01,165.01,165,165,42
2012-2-24,169.99,170,169.99,170,3
2012-2-29,184.99,200,184.98,184.98,62
2012-3-1,217.5,217.5,180,180,9
2012-3-6,225,225,170,170,41
2012-3-7,185,194.99,170,170,13
2012-3-11,213,213,173,174,12
2012-3-12,190,190,190,190,1
2012-3-13,190,250,180,229.99,172
2012-3-14,225,225,190.01,209.5,49
2012-3-16,249,249,180,205,10
2012-3-19,204,205,171,184.95,61
2012-3-21,206.48,206.48,178.92,178.92,17
2012-3-23,180,189.95,180,189.95,3
2012-3-26,190.73,190.74,190.73,190.74,14
2012-3-28,199.56,202,199.56,202,5
2012-3-29,211,215,195,195,12
2012-3-30,209.98,209.98,209.98,209.98,1
2012-4-2,211.09,215,211.09,215,29
2012-4-3,200.03,214.99,200.03,214.99,4
2012-4-4,200.05,209.89,200,209.89,4
2012-4-6,212.87,212.96,195.01,195.01,5
2012-4-9,239,239,205,214.99,3
2012-4-11,205,215,205,215,25
2012-4-12,210,215,210,215,50
2012-4-13,215,215,215,215,1
2012-4-20,210,214.99,210,214.99,3
2012-4-27,215,215,215,215,10
2012-4-28,210,210,200,209.99,8
2012-5-18,170.05,190,150,170.01,24
2012-5-21,170,189,170,189,3
2012-5-25,179.99,180,179.99,180,4
2012-5-28,180,198,180,198,2
2012-5-29,215,264.6,200,235,131
2012-5-30,250,329,210.08,300,26
2012-5-31,250,260,200,260,12
2012-6-1,320,364,250,269.99,47
2012-6-6,250,250,250,250,5
2012-6-7,250,250,250,250,2
2012-6-8,200.06,206,200.06,206,4
2012-6-9,200.01,250,200.01,239.99,23
2012-6-13,300,300,216.96,259.97,9
2012-6-14,286.97,286.97,260.01,286.87,8
2012-6-15,250.05,299.95,250,250,17
2012-6-19,260.89,260.89,260.89,260.89,1
2012-6-20,230,230,229.87,229.99,15
2012-6-21,230,230,229.99,229.99,4
2012-6-22,201.6,229.99,201.6,223.57,12
2012-6-25,201.57,201.57,201.57,201.57,1
2012-6-27,228,228,210,221.91,9
2012-6-28,223.15,223.15,223.15,223.15,1
2012-6-29,221.95,233,220,220,85
2012-7-2,215.01,232.92,215.01,223.99,5
2012-7-3,227.98,234.98,220.48,234,24
2012-7-4,236,236,221.01,221.01,43
2012-7-5,215,223.03,215,223.03,2
2012-7-6,220,234.74,220,234.74,4
2012-7-9,234.98,234.98,234.98,234.98,1
2012-7-10,234.72,235.99,230,235.99,20
2012-7-11,230,235.87,230,235.87,3
2012-7-12,235.99,236.99,223.76,225.58,8
2012-7-13,237.82,237.82,237.82,237.82,1
2012-7-16,220.05,230,215,215,16
2012-7-17,227,233.91,221.57,226.21,8
2012-7-18,217.53,233.9,217.53,225,4
2012-7-19,216.05,236.66,216.01,236.66,5
2012-7-20,226.93,227,226.92,227,17
2012-7-23,232,236.97,220.6,222.01,22
2012-7-24,230,236.98,227,230,53
2012-7-25,224,229.99,220,224.22,21
2012-7-26,229.99,229.99,229,229.99,9
2012-7-27,264.5,264.5,220.03,220.03,2
2012-7-30,221,226.99,201.77,210,85
2012-7-31,209.99,215,209.99,215,26
2012-8-1,210.01,229.96,210.01,229.96,2
2012-8-2,210.01,229.99,210.01,229.97,33
2012-8-3,213.05,221,213.05,221,18
2012-8-6,215.01,221,215.01,221,18
2012-8-7,221,229.93,221,229.93,10
2012-8-10,218.8,225,218.8,225,25
2012-8-14,229.9,230,229.9,230,10
2012-8-15,229.99,230,212,230,22
2012-8-16,230,245,213.65,225.1,125
2012-8-17,239.96,239.96,239.96,239.96,1
2012-8-20,216.01,216.01,216,216,2
2012-8-21,226.93,226.94,226.93,226.94,2
2012-8-23,224.99,225,220,220,10
2012-8-27,220,220,220,220,11
2012-8-28,217.01,217.01,210.5,210.5,5
2012-8-29,211,211,201,201,2
2012-8-30,205,205,205,205,2
2012-8-31,210.96,210.96,210.96,210.96,1
2012-9-3,203.5,217.5,203.5,217.5,3
2012-9-4,217.95,250,217.95,250,23
2012-9-6,225.01,249.99,186.26,249.99,33
2012-9-11,210.5,223,210.5,223,3
2012-9-12,215,239.98,205.77,231.43,133
2012-9-14,210.51,210.51,203.92,208.98,23
2012-9-17,210.5,210.5,209.99,209.99,13
2012-9-18,210.01,210.01,205.51,205.51,85
2012-9-21,205.6,218.21,201.01,218.21,4
2012-9-25,211.01,215.99,211.01,215.99,4
2012-9-26,211,223.89,203.83,223.89,4
2012-10-1,210.06,210.06,210.06,210.06,2
2012-10-2,216.94,219.99,212,212,5
2012-10-4,219.99,219.99,219.99,219.99,2
2012-10-5,211,215.97,211,215.97,3
2012-10-8,201.56,201.56,201.56,201.56,6
2012-10-9,206.05,206.05,183.36,190,35
2012-10-10,191,191,190,190,24
2012-10-11,190,190,189.97,189.97,9
2012-10-12,190,190,189.96,189.96,2
