Date,Open,High,Low,Close,Volume
2006-3-10,100,120,100,120,120
2006-3-13,100,100,100,100,10
2006-3-16,79,79,79,79,10
2006-3-17,79.5,83,79.5,83,40
2006-3-20,79,79,75,75,40
2006-3-21,83,83,83,83,10
2006-3-23,72,72,72,72,10
2006-3-29,70,70,70,70,40
2006-3-31,78,78,78,78,10
2006-4-3,76,78,76,78,50
2006-4-5,71,75,71,75,60
2006-4-6,75,76,65,76,70
2006-4-12,75,75,75,75,100
2006-4-13,65,69.999,65,65,70
2006-4-14,70,70,70,70,20
2006-4-17,60,70,60,70,200
2006-4-20,62.7,62.7,62.7,62.7,10
2006-5-15,58,58,57,57,20
2006-5-18,68,68,68,68,20
2006-7-3,50,54,49,54,40
2006-7-5,58,58,58,58,30
2006-7-10,51,51,50,50,30
2006-7-11,57,57,57,57,20
2006-8-1,52.25,52.25,52.25,52.25,10
2006-9-11,2.15,45,2.15,40,30
2006-9-19,40,48,40,48,320
2006-9-21,50,50,50,50,10
2006-9-29,45,45,43,43,40
2006-10-2,53.37,53.37,50,50,50
2006-10-3,52.998,52.998,47,47,40
2006-10-4,53.37,53.37,53.37,53.37,20
2006-11-1,57.99,57.99,54,54,20
2006-11-2,54,55.45,53,53,50
2006-11-3,57,57,54.5,54.5,40
2006-11-7,54,54,54,54,20
2006-11-8,48,54.9,48,54.9,20
2006-11-9,49,49,45,45,20
2006-11-13,48.06,54,48.06,54,30
2006-11-14,55.37,55.37,55,55,20
2006-11-22,57.4,57.4,54,57,30
2006-12-4,56.5,58.7,56.5,58.7,30
2006-12-5,60,61,60,61,130
2006-12-6,61,62,61,61,90
2006-12-7,61,65,61,65,50
2006-12-8,64.5,65,64.5,65,190
2006-12-12,66,66,65,65,60
2006-12-13,66,68,66,66,140
2006-12-14,67,73,67,73,220
2006-12-15,65,65,64,64,100
2006-12-21,75,77.77,75,77.77,80
2006-12-22,76.65,76.65,76.65,76.65,10
2006-12-25,75,79,69.51,79,1270
2006-12-26,80,100,75.5,99,260
2006-12-27,90.11,96.5,90.11,96.5,210
2006-12-29,92.52,95,92.52,95,240
2007-1-9,90,103,90,103,300
2007-1-10,90,100,90,100,100
2007-1-15,91,91,85,85,20
2007-1-16,86,92.9,86,92.9,80
2007-1-17,85,85.1,85,85,40
2007-1-18,90.5,99,90.45,99,200
2007-1-23,81,92.9,81,90,390
2007-1-25,80,80,80,80,30
2007-1-29,82,82,82,82,10
2007-1-30,85,85,85,85,70
2007-1-31,82,82,82,82,10
2007-2-1,84,85,84,85,140
2007-2-5,86.37,86.37,82,82,70
2007-2-6,82,86,82,82,190
2007-2-7,82.9,82.97,79.99,79.99,1560
2007-2-8,75,75,75,75,30
2007-2-9,78,80,78,78,60
2007-2-12,81.2,81.2,81.2,81.2,10
2007-2-13,80,80,78,78,120
2007-2-14,75.139,75.139,75.139,75.139,50
2007-2-15,75.139,75.139,75.139,75.139,10
2007-2-16,75,75,75,75,30
2007-2-19,75,75.001,75,75,200
2007-2-20,75,75,75,75,10
2007-2-22,75,75,75,75,200
2007-2-27,75,77,71,71,30
2007-2-28,68,69,68,69,370
2007-3-1,68,68,68,68,20
2007-3-5,60,75,55.1,74,1230
2007-3-9,66,74,66,74,190
2007-3-12,73.4,73.4,73.4,73.4,20
2007-3-16,65.51,65.51,65,65,50
2007-3-20,66,66,66,66,40
2007-3-30,72,72,72,72,10
2007-4-4,65.001,65.001,65.001,65.001,10
2007-4-5,70,70,70,70,10
2007-4-9,69,72,69,70,260
2007-4-10,70,70,70,70,50
2007-4-11,67,67,67,67,20
2007-4-13,70,70,70,70,20
2007-4-18,65.3,65.3,65,65,30
2007-4-24,65.3,65.3,65.3,65.3,10
2007-4-28,66,66,50,50,20
2007-5-21,58.001,58.001,58.001,58.001,10
2007-5-22,61,61,61,61,10
2007-5-28,62,62,62,62,40
2007-5-31,56.002,60,56.002,60,100
2007-6-4,56,56.01,56,56,70
2007-6-5,60,60,60,60,60
2007-6-8,57.3,57.4,57.3,57.4,200
2007-6-13,58,58.8,58,58.8,100
2007-6-15,58.5,58.9,58.5,58.9,340
2007-6-18,58.35,58.35,58.35,58.35,50
2007-6-19,61,63,61,63,270
2007-6-20,63,63,63,63,10
2007-6-21,58.5,61,58.5,61,140
2007-6-22,63,63,63,63,40
2007-7-3,60,60,60,60,110
2007-7-4,58.01,58.01,58,58,20
2007-7-5,60,60,60,60,50
2007-7-6,61,61,61,61,200
2007-7-9,62,62,62,62,100
2007-7-12,63,63,63,63,100
2007-7-13,60.3,60.3,60.3,60.3,20
2007-7-16,80,80,80,80,10
2007-7-18,65,65,64.999,64.999,40
2007-7-19,60,60,60,60,30
2007-7-20,62,62,62,62,30
2007-7-25,60,60,60,60,110
2007-7-26,60,60,60,60,70
2007-7-30,62,62,60,62,390
2007-7-31,65,65,65,65,10
2007-8-1,61,61,60,60,20
2007-8-2,61,62,61,62,280
2007-8-3,62.5,62.5,62.5,62.5,20
2007-8-9,64.999,65,64.999,65,130
2007-8-16,60,60,60,60,10
2007-8-17,60,61,60,61,260
2007-8-20,60,61,60,61,40
2007-8-21,60,61,60,61,80
2007-8-22,60.1,60.1,60,60,40
2007-8-23,60,60,60,60,20
2007-8-24,60,61,60,61,230
2007-9-4,65,65,65,65,10
2007-9-6,61,62,61,62,40
2007-9-7,61,62,61,62,80
2007-9-10,61,61,61,61,20
2007-9-11,62,62,62,62,20
2007-9-12,61,62,61,62,40
2007-9-14,61,61,61,61,40
2007-9-17,62,62,61.5,61.5,40
2007-9-19,61.7,61.7,61.7,61.7,10
2007-9-20,61.501,61.501,60.75,61.5,50
2007-9-21,61.25,62,61.25,62,270
2007-9-24,61.25,61.25,61.25,61.25,20
2007-9-25,61.25,61.25,61.25,61.25,20
2007-9-26,62,62.8,61.25,62,210
2007-9-27,62.3,62.3,62.3,62.3,10
2007-10-3,61.5,61.5,61.5,61.5,10
2007-10-5,55,61.5,55,61.5,70
2007-10-8,61.5,62,61.5,62,160
2007-10-24,62,63,62,63,11990
2007-10-29,60,62,60,62,120
2007-10-30,62,62,62,62,10
2007-11-6,62,62,62,62,100
2007-11-7,62,62,62,62,100
2007-11-15,61.2,61.2,61.2,61.2,10
2007-11-16,62,62,62,62,10
2007-11-19,60,60,60,60,10
2007-11-20,61,62,61,62,40
2007-11-21,61.8,62,61.8,62,370
2007-11-22,60.5,61.25,60.5,61.25,40
2007-11-23,60.75,60.75,60.75,60.75,20
2007-11-26,60.5,61.25,60.5,61.25,60
2007-11-27,60.5,60.5,60.5,60.5,10
2007-11-28,61.25,61.5,61.25,61.5,20
2007-11-29,60.5,61.25,60.5,60.5,30
2007-11-30,61.25,61.25,61.25,61.25,10
2007-12-3,61.5,61.5,60.5,61.5,160
2007-12-4,62,62,61,61,200
2007-12-5,61.5,64.85,61.5,62,660
2007-12-6,61.75,61.75,61.75,61.75,10
2007-12-7,62,63.25,62,63.25,190
2007-12-11,62,62,62,62,10
2007-12-13,63,63,63,63,10
2007-12-14,63,63,63,63,60
2007-12-17,62,62,62,62,10
2007-12-18,63,63,63,63,10
2007-12-20,62,62,62,62,10
2007-12-21,62,63,55.01,63,2470
2007-12-24,64.98,66.5,64.98,66.5,610
2007-12-25,66.95,71,66.95,71,40
2007-12-26,71,80,71,80,2520
2007-12-27,76,78,75,76,70
2007-12-28,77,79,76,76.001,3250
2008-1-9,80,80,76,77,430
2008-1-10,80.55,80.85,77,77,350
2008-1-11,79,79,79,79,30
2008-1-14,76,79,76,79,20
2008-1-15,79,79,65,76,2850
2008-1-16,77,77,72.01,72.01,3540
2008-1-17,73.37,73.37,73.37,73.37,1000
2008-1-18,73.09,73.09,69.1,69.1,470
2008-1-21,68.891,68.891,62.16,62.16,30
2008-1-22,65,69,62,69,510
2008-1-23,68,69,65,69,230
2008-1-24,66,69,66,69,100
2008-1-28,70.5,74.8,70.5,74,40
2008-1-29,66.651,69,66.651,69,40
2008-1-30,66,69.99,66,66,120
2008-1-31,65.2,65.2,64.7,64.7,130
2008-2-1,67,69,66,69,800
2008-2-4,68.5,70,68.5,69.1,60
2008-2-5,70,73.05,70,71,530
2008-2-6,70,72,69,70,580
2008-2-7,71,72,70,72,70
2008-2-8,72.9,72.9,70,71,50
2008-2-11,70,70,70,70,20
2008-2-12,71.46,71.46,70.5,70.5,30
2008-2-13,68.6,68.6,68.6,68.6,10
2008-2-14,72.44,72.44,71.5,72.44,150
2008-2-15,65.15,72.44,65.15,69.96,1220
2008-2-18,72.45,72.45,72,72,820
2008-2-19,72.45,72.45,72,72,560
2008-2-20,72.31,73.1,72,72,270
2008-2-21,72,72.5,72,72.5,220
2008-2-22,72.5,73,72.5,73,160
2008-2-26,72.751,72.751,72.75,72.75,30
2008-2-28,72.5,72.5,72.49,72.49,100
2008-2-29,73,73.5,73,73,2190
2008-3-4,71,72,71,72,40
2008-3-5,71,72,71,72,20
2008-3-11,74,74,74,74,10
2008-3-12,70,71,70,71,20
2008-3-13,70.01,70.01,69,70,110
2008-3-14,71,71,71,71,70
2008-3-17,71,71,71,71,210
2008-3-18,68,71,68,71,220
2008-3-19,71,71.4,71,71.4,40
2008-3-20,70.001,70.5,70.001,70.5,60
2008-3-21,71,71,71,71,10
2008-3-24,73,73,73,73,270
2008-3-25,73,74,73,73,370
2008-3-27,74,78,74,77,100
2008-3-28,78,78,77,78,950
2008-3-31,79.9,80,79.9,80,100
2008-4-4,80,86,80,86,1310
2008-4-7,87,88,87,88,20
2008-4-8,89,89,89,89,90
2008-4-9,91,95,91,95,220
2008-4-10,98,119,96,96,170
2008-4-14,99,100.5,99,100.5,70
2008-4-15,102,102,100,102,60
2008-4-16,103,103,101,103,340
2008-4-17,104,104,102,104,220
2008-4-21,104,106,104,105,560
2008-4-22,107,107,107,107,10
2008-4-23,107.1,111,107,111,150
2008-4-24,118,118.5,109,110,110
2008-4-25,109,111,109,111,550
2008-4-29,112,114,110,114,580
2008-4-30,111.001,112,111,112,430
2008-5-4,112,118,112,118,700
2008-5-5,115,115,115,115,10
2008-5-7,114,115,114,115,20
2008-5-8,116,116,116,116,10
2008-5-12,115,116,115,116,200
2008-5-14,116,117,116,116.1,30
2008-5-15,117,117,117,117,30
2008-5-16,116,116,116,116,40
2008-5-19,116.5,116.5,116.5,116.5,140
2008-5-20,116.5,116.5,116.5,116.5,70
2008-5-21,117,119,117,119,510
2008-5-22,120.99,120.99,120.99,120.99,20
2008-5-27,118,118.1,118,118,270
2008-5-28,81.007,119,81,119,2330
2008-5-29,122,123.333,122,123.333,20
2008-5-30,126,126,126,126,10
2008-6-2,125,125,125,125,10
2008-6-5,121,122,118,121,4940
2008-6-6,122,122,122,122,130
2008-6-7,122.5,122.5,122.5,122.5,10
2008-6-9,123,123,123,123,50
2008-6-11,124,124,124,124,10
2008-6-17,84.77,121,84.77,121,110
2008-6-18,123,123,123,123,120
2008-6-19,122.5,125,122.5,125,60
2008-6-20,129,129,122.5,123.5,50
2008-6-24,122.507,123.5,122.5,123.5,30
2008-6-25,125.15,128,125.15,128,20
2008-6-26,127.9,127.9,127.9,127.9,40
2008-6-30,125,125,125,125,30
2008-7-1,122.5,123.5,122.5,123.5,160
2008-7-2,122,122.97,122,122.97,720
2008-7-3,126.777,126.777,126.77,126.77,20
2008-7-11,121.75,121.75,121.75,121.75,70
2008-7-14,121.75,129,100.001,118,170
2008-7-15,118,122.74,118,122.74,1000
2008-7-17,120.75,121.74,120.75,121.74,800
2008-7-18,82,100.1,82,100.1,20
2008-7-21,120,135,120,135,30
2008-7-22,120,120.97,120,120,100
2008-7-23,120.97,120.97,120.97,120.97,50
2008-7-24,120,120.97,120,120.97,20
2008-7-25,135.555,136.77,118,119.97,160
2008-7-28,123.246,123.246,102.751,102.751,20
2008-7-29,89.5,95,89.5,95,20
2008-7-30,110,116.5,110,116.5,30
2008-7-31,116.5,116.5,100,104,220
2008-8-1,116.5,116.5,116.5,116.5,20
2008-8-5,115,115,100,110,540
2008-8-11,109,109,109,109,10
2008-8-13,107,107,107,107,10
2008-8-14,111,111,111,111,30
2008-8-15,90,115.5,90,112.5,220
2008-8-18,113,113,113,113,50
2008-8-20,115,115,112,115,210
2008-8-21,112,115,112,115,120
2008-8-22,113,115,113,113,890
2008-8-26,111,113,111,113,80
2008-9-3,115,115,115,115,50
2008-9-4,111,111,100,100,80
2008-9-5,111,125,111,125,180
2008-9-8,109,112,109,112,80
2008-9-9,115,115,115,115,40
2008-9-10,111,113,111,113,60
2008-9-12,109,111,109,111,60
2008-9-16,100,100,98,100,160
2008-9-17,103,103,103,103,170
2008-9-22,91,91,91,91,20
2008-9-24,90,95,90,95,260
2008-10-1,88,91,88,90,120
2008-10-2,87,90,87,90,20
2008-10-3,87,90,87,90,80
2008-10-6,87,89,85,89,400
2008-10-7,80,82,80,82,40
2008-10-9,80,82,79,82,160
2008-10-13,84.8,84.8,84.8,84.8,60
2008-10-15,75,77,75,77,60
2008-10-17,70,70,69,70,90
2008-10-20,78,78,57,57,70
2008-10-21,57,57,57,57,10
2008-10-23,56.271,56.271,56.271,56.271,10
2008-10-24,57,57,57,57,10
2008-10-31,69.999,69.999,56.3,56.3,280
2008-11-5,56.5,56.5,56.5,56.5,10
2008-12-5,33.9,33.9,33.9,33.9,10
2008-12-18,20.34,20.34,20.34,20.34,10
2008-12-22,21,21,21,21,10
2008-12-23,26.25,29,26.25,29,90
2008-12-24,32,40,32,40,130
2008-12-25,50,50,50,50,10
2008-12-26,60,65,55,65,30
2008-12-29,56,60,56,60,30
2008-12-30,60,60,59,59,110
2009-1-11,62,62,62,62,290
2009-2-11,60,60,60,60,40
2009-3-10,59,67.95,59,67.95,440
2009-3-20,50,50,45,45,50
2009-3-27,29.2,29.2,29.2,29.2,10
2009-4-2,40.88,40.88,40.88,40.88,10
2009-4-6,40.9,40.9,40.9,40.9,10
2009-4-8,50,57.232,45,57.232,5590
2009-4-13,45,45,45,45,20
2009-4-20,53,53,53,53,30
2009-5-5,50.99,51,50.99,51,180
2009-5-18,50,52.5,36,52.5,3710
2009-5-19,51,51.5,41,51.5,3060
2009-5-20,50,50,45,49,320
2009-5-21,50.5,50.5,44,49.99,140
2009-5-26,36,49.9,36,49.9,1510
2009-5-27,40.2,49.9,40.2,49.9,760
2009-6-1,50,51,50,50,1410
2009-6-11,49,49,49,49,100
2009-6-16,40,46.9,40,40,70
2009-6-17,40.5,45.999,39,45.999,30
2009-6-18,39.001,43,39,42,1390
2009-6-19,39.001,43,39.001,41,2920
2009-6-22,38.5,38.5,32.111,32.111,20
2009-6-23,31.111,31.111,31.111,31.111,10
2009-6-24,32,42.888,31.11,38,160
2009-6-26,40,40,40,40,10
2009-6-29,41.77,41.77,41.77,41.77,20
2009-7-2,40,40,40,40,2500
2009-7-14,43,43,43,43,30
2009-7-16,38.001,38.001,38,38,30
2009-7-17,42,42,42,42,10
2009-7-24,38,38,38,38,40
2009-7-29,41,41,41,41,30
2009-7-31,41.5,41.5,41.5,41.5,40
2009-8-7,37.3,42.3,37.3,42,1390
2009-8-10,38,42,35.6,42,840
2009-8-11,42.5,42.5,41.5,41.5,50
2009-8-12,42.5,42.5,38,42.5,1740
2009-8-17,41,42,41,42,80
2009-8-19,41.25,41.25,41.25,41.25,50
2009-8-24,41.25,41.25,41.25,41.25,10
2009-8-26,43,43,42.5,42.5,20
2009-9-1,42,42,42,42,40
2009-9-11,42,43,42,43,820
2009-9-14,43,43,43,43,80
2009-9-15,43,45,43,43,710
2009-9-16,44.5,44.5,38,43,460
2009-9-17,44,44,35,43.5,1920
2009-9-18,39,44,35.035,43.999,2230
2009-9-21,43,43.1,37.153,43,300
2009-9-22,43.5,44.5,40.001,40.001,350
2009-9-23,43,44,43,43.96,220
2009-9-24,44,44,44,44,100
2009-9-25,44.25,45,44.25,45,600
2009-9-28,45,45.5,45,45.5,20
2009-9-29,45.5,46,45.5,45.5,170
2009-10-1,45,45.5,45,45.5,130
2009-10-5,45,45,45,45,30
2009-10-6,45,48.999,45,48.999,270
2009-10-7,48.999,48.999,48.999,48.999,10
2009-10-8,55,55,50,50,20
2009-10-9,45.301,49,45.301,49,60
2009-10-12,45.401,48.996,45.401,46,110
2009-10-13,48.999,49,48.999,49,110
2009-10-14,48.999,48.999,48.999,48.999,10
2009-10-15,45.001,45.001,45,45,80
2009-10-19,45.542,50,45.542,50,4790
2009-10-20,50,55,48.1,53,4200
2009-10-21,50.001,52.5,50,52.5,640
2009-10-22,51.999,52,51.999,52,40
2009-10-23,51,51,50.999,51,1000
2009-10-27,51,51,51,51,210
