Date,Open,High,Low,Close,Volume
2006-2-27,39.5,49,39.5,41,68
2006-2-28,44,72.9,44,63.1,54
2006-3-1,63.5,63.5,50,50,3
2006-3-2,50,53,45,49.51,14
2006-3-7,60,60,60,60,1
2006-3-9,50,59,50,59,4
2006-3-13,50,50,49,49,6
2006-3-15,40,40.01,37,37,24
2006-3-16,39.01,41,39.01,41,3
2006-3-17,42,42,40,40,7
2006-3-20,40,40,40,40,10
2006-3-21,41,42.4,41,42,152
2006-3-22,42.04,42.04,40,40,22
2006-3-23,40.5,40.5,39.5,39.51,16
2006-3-24,40,41,40,41,101
2006-3-27,44.99,45,40.05,40.05,145
2006-3-28,41.99,50.01,40,40.01,410
2006-3-29,46,50,40,44,397
2006-3-30,41,41,40.25,40.5,25
2006-3-31,39.7,48.95,39.03,48.95,328
2006-4-3,41,41.5,40.5,40.8,47
2006-4-4,40.5,40.7,39.1,39.5,129
2006-4-5,39.5,39.5,39,39,79
2006-4-6,39.3,39.3,38.5,38.5,3
2006-4-7,39.5,39.99,39.5,39.9,11
2006-4-10,39.5,39.5,38,38,118
2006-4-11,38,38.3,38,38.3,2
2006-4-12,38.5,38.5,38.5,38.5,5
2006-4-13,37.51,37.51,36.75,37,123
2006-4-14,38,42,38,38.81,212
2006-4-17,40,40,40,40,15
2006-4-18,36.5,36.5,36.5,36.5,5
2006-4-19,38.21,38.21,38.21,38.21,1
2006-4-20,37.51,38,36.52,38,17
2006-4-24,37.5,37.5,36.51,36.51,12
2006-4-26,37,37,36.5,36.5,31
2006-4-27,36.9,36.9,36.9,36.9,12
2006-5-2,38,38.98,38,38.98,19
2006-5-3,38.9,38.9,38.9,38.9,31
2006-5-10,37.8,37.8,37.8,37.8,6
2006-5-11,37.5,37.5,37.5,37.5,1
2006-5-12,37.9,38.9,37.9,38.9,22
2006-5-15,38.89,38.98,38.89,38.98,2
2006-5-18,37,37,37,37,1
2006-5-19,32.5,32.5,32.5,32.5,10
2006-5-22,33.62,35.25,33.62,35.25,4
2006-5-23,35.75,35.75,35.75,35.75,5
2006-5-24,36.5,37.44,36.5,37.44,12
2006-5-25,33.5,33.5,33,33,8
2006-5-29,37.44,37.44,37.44,37.44,7
2006-6-5,38.88,38.88,38.88,38.88,1
2006-6-14,33,33,33,33,20
2006-6-19,33.98,33.98,33.98,33.98,4
2006-6-23,32.54,32.54,32.54,32.54,1
2006-6-28,34.97,34.97,32.54,32.54,10
2006-6-29,32,32,32,32,4
2006-6-30,32.5,32.5,32.5,32.5,15
2006-7-3,31,31,31,31,2
2006-7-5,35,36,35,36,4
2006-7-7,32.02,34,32,34,9
2006-7-10,32.68,32.68,32,32,4
2006-7-11,37,37,32,32,10
2006-7-12,32.67,32.67,32,32,11
2006-7-17,34.99,37,32,32,19
2006-7-18,25.01,34.37,25.01,34.37,13
2006-7-19,34.37,34.37,34.37,34.37,4
2006-7-20,32,32,32,32,1
2006-7-21,32,32,31,31,5
2006-7-24,35.37,35.37,30,30,11
2006-7-25,32,32,30,30,30
2006-7-26,34.37,34.37,30,30,6
2006-7-27,34.37,34.37,34.37,34.37,1
2006-8-1,31.02,31.02,31,31,12
2006-8-2,34.37,34.37,34.37,34.37,1
2006-8-3,31.01,31.01,31,31,2
2006-8-7,34.37,34.37,34.37,34.37,1
2006-8-9,31,34,30.3,34,71
2006-8-23,34,34,34,34,7
2006-9-5,30.02,33.37,29.5,33.37,13
2006-9-6,30,30,29.5,29.5,29
2006-9-7,33.37,36,29.5,36,23
2006-9-11,29,33,26,33,24
2006-9-18,33,33,33,33,1
2006-9-21,34,34,34,34,2
2006-9-22,29.5,29.5,29,29,2
2006-9-25,30,33.99,30,33.99,2
