Date,Open,High,Low,Close,Volume
2012-1-13,0.6,0.7,0.6,0.7,3
2012-1-18,0.75,0.75,0.75,0.75,1
2012-3-5,0.775,0.775,0.775,0.775,1
2012-4-16,1,1,1,1,2
2012-5-12,0.65,0.65,0.65,0.65,1
2012-5-23,0.6499,0.6499,0.6499,0.6499,1
2012-6-19,0.6999,0.6999,0.6999,0.6999,1
2012-8-3,0.5,0.5,0.45,0.45,2
2012-8-10,0.4499,0.45,0.4499,0.45,2
2012-8-13,0.45,0.45,0.45,0.45,6
2012-8-14,0.45,0.45,0.45,0.45,8
2012-8-16,0.4,0.4,0.4,0.4,1
2012-8-17,0.4,0.4,0.4,0.4,1
2012-8-30,0.27,0.3,0.27,0.3,2
2012-8-31,0.3499,0.35,0.3499,0.35,3
2012-9-3,0.21,0.284,0.21,0.284,2
2012-9-21,0.3,0.3,0.3,0.3,6
2012-9-28,0.3599,0.3599,0.3599,0.3599,2
2012-10-8,0.5,0.5,0.3002,0.3002,2
2012-10-9,0.2401,0.2401,0.2401,0.2401,1
2012-10-10,0.336,0.3361,0.3003,0.3361,4
2012-10-11,0.1909,0.335,0.1909,0.335,3
2012-10-12,0.2355,0.4,0.2355,0.31,12
2012-10-15,0.4704,0.4704,0.4704,0.4704,4
2012-10-16,0.6586,0.6586,0.6586,0.6586,1
2012-10-17,0.6586,0.6586,0.6586,0.6586,1
2012-10-18,0.9219,0.922,0.9219,0.922,3
2012-10-22,0.557,0.6,0.5532,0.556,23
2012-10-23,0.3337,0.43,0.3337,0.43,2
2012-10-24,0.3214,0.3214,0.3214,0.3214,1
2012-10-25,0.38,0.45,0.278,0.4,10
2012-10-29,0.307,0.307,0.307,0.307,1
2012-10-30,0.4,0.45,0.4,0.45,4
2012-10-31,0.45,0.63,0.45,0.4748,12
2012-11-1,0.4499,0.47,0.4499,0.47,2
2012-11-2,0.4,0.4,0.4,0.4,1
2012-11-7,0.475,0.5,0.475,0.5,4
2012-11-9,0.4,0.4,0.4,0.4,1
2012-11-12,0.38,0.38,0.38,0.38,1
2012-11-13,0.3898,0.39,0.3898,0.39,2
2012-11-14,0.3,0.3,0.234,0.234,2
2012-11-19,0.34,0.35,0.34,0.35,2
2012-11-21,0.445,0.45,0.445,0.445,25
2012-11-23,0.455,0.455,0.45,0.45,4
2012-11-26,0.413,0.413,0.41,0.41,3
2012-12-7,0.4,0.4,0.4,0.4,2
2012-12-10,0.3333,0.3333,0.3333,0.3333,3
2012-12-12,0.36,0.36,0.36,0.36,1
2012-12-17,0.2162,0.33,0.2162,0.33,2
2012-12-18,0.405,0.405,0.405,0.405,3
2012-12-19,0.45,0.45,0.45,0.45,2
2012-12-20,0.405,0.405,0.405,0.405,1
2012-12-27,0.425,0.425,0.425,0.425,1
2012-12-28,0.41,0.415,0.41,0.415,5
2013-1-28,0.37,0.37,0.37,0.37,2
2013-1-31,0.345,0.345,0.345,0.345,1
2013-2-5,0.283,0.3989,0.283,0.3989,4
2013-2-7,0.321,0.321,0.321,0.321,2
2013-2-11,0.31,0.31,0.3064,0.3064,3
2013-2-13,0.27,0.31,0.27,0.31,4
2013-2-14,0.33,0.33,0.29,0.313,4
2013-2-22,0.25,0.27,0.25,0.27,10
2013-2-25,0.251,0.251,0.251,0.251,1
2013-2-26,0.22,0.246,0.22,0.246,2
2013-2-27,0.26,0.34,0.26,0.34,6
2013-2-28,0.287,0.35,0.287,0.34,4
2013-3-5,0.23,0.3,0.23,0.3,2
2013-3-7,0.35,0.35,0.35,0.35,1
2013-3-20,0.25,0.295,0.25,0.295,10
2013-4-3,0.233,0.27,0.233,0.27,10
2013-4-4,0.3199,0.375,0.2699,0.375,15
2013-4-5,0.41,0.49,0.41,0.49,4
